# Spinless fermions Hamiltonian with random disorder and nearest neighbour interactions
# L=64x1 (size), J=0.5 (hoping amplitude), V=0.5 (interaction), W/J=6 (disorder strength), N=200 (disorder realizations), T=500 (number of trajectories)
# Spectral function S(omega) as a function of omega (for fTWA_{NONLOC} method)
# omega/J, S(omega)

0.000000000000000000e+00 4.894935949009333171e+02
6.283185307179531970e-03 2.076173645938773404e+01
1.256637061435906394e-02 9.965145873215648820e+00
1.884955592153859591e-02 6.333577468720005932e+00
2.513274122871812788e-02 4.419558959418560917e+00
3.141592653589765638e-02 3.319351989096815725e+00
3.769911184307719182e-02 2.822690946759644159e+00
4.398229715025672032e-02 2.362839552586413649e+00
5.026548245743625576e-02 1.915919367060345158e+00
5.654866776461578426e-02 1.718160554640709936e+00
6.283185307179531276e-02 1.541653751498261338e+00
6.911503837897485514e-02 1.352684836853593531e+00
7.539822368615438364e-02 1.230789548160053481e+00
8.168140899333391214e-02 1.194613013954170189e+00
8.796459430051344064e-02 1.157963392607441966e+00
9.424777960769298302e-02 9.814685635142516018e-01
1.005309649148725115e-01 9.538543222507238628e-01
1.068141502220520400e-01 9.121814090117815743e-01
1.130973355292315685e-01 8.631100169250837117e-01
1.193805208364111109e-01 8.490907315415576750e-01
1.256637061435906255e-01 8.056773001130289602e-01
1.319468914507701540e-01 7.416618912622743309e-01
1.382300767579497103e-01 6.985165451499552036e-01
1.445132620651292388e-01 6.945719087601012198e-01
1.507964473723087673e-01 6.872079674456834653e-01
1.570796326794882958e-01 6.574016616757375475e-01
1.633628179866678243e-01 6.710321851219563927e-01
1.696460032938473528e-01 6.881033320482458082e-01
1.759291886010268813e-01 6.135128083617781281e-01
1.822123739082064098e-01 5.550549785356931887e-01
1.884955592153859660e-01 5.791422299157246156e-01
1.947787445225654945e-01 5.296722800265936115e-01
2.010619298297450230e-01 5.649159408592767662e-01
2.073451151369245793e-01 5.418026527296017081e-01
2.136283004441040800e-01 4.859351380371901286e-01
2.199114857512836085e-01 4.938101635513561516e-01
2.261946710584631370e-01 4.917809289786934657e-01
2.324778563656426655e-01 4.541982716017330945e-01
2.387610416728222218e-01 4.616351730102354889e-01
2.450442269800017225e-01 4.205031066082235425e-01
2.513274122871812510e-01 4.894222401921962118e-01
2.576105975943608350e-01 4.367665180314393436e-01
2.638937829015403080e-01 4.504782717703522676e-01
2.701769682087198921e-01 4.662508451689171274e-01
2.764601535158994206e-01 4.224940948961097287e-01
2.827433388230789491e-01 4.003591725921349376e-01
2.890265241302584776e-01 4.132052915514621283e-01
2.953097094374380061e-01 4.297955938308118951e-01
3.015928947446175346e-01 3.864118203487511560e-01
3.078760800517970631e-01 3.850320241056136017e-01
3.141592653589765916e-01 4.097076430574186356e-01
3.204424506661561201e-01 4.019426207634188009e-01
3.267256359733356486e-01 3.954471361700582221e-01
3.330088212805151771e-01 4.174399432076800753e-01
3.392920065876947056e-01 3.683342599415735386e-01
3.455751918948742341e-01 3.994723589514862505e-01
3.518583772020537626e-01 3.892223374875540820e-01
3.581415625092333466e-01 3.438424846963875070e-01
3.644247478164128196e-01 3.813099560766011198e-01
3.707079331235924036e-01 3.986363647778169983e-01
3.769911184307719321e-01 3.345074656889798215e-01
3.832743037379514606e-01 3.586343213701287391e-01
3.895574890451309891e-01 3.378426004036276797e-01
3.958406743523105176e-01 3.507783247926981041e-01
