# XXZ spin model with modualted magnetic field S=1/2
# function 0.2/W
# Diffusion constant D_{0} for P = 2
# Field strength W, Diffusion D_{0}

0.5	0.40000000
1.0	0.20000000
1.5	0.13333333
2.0	0.10000000
2.5	0.08000000
3.0	0.06666667
3.5	0.05714286
4.0	0.05000000
4.5	0.04444444
5.0	0.04000000
5.5	0.03636364
6.0	0.03333333
6.5	0.03076923
7.0	0.02857143
7.5	0.02666667
8.0	0.02500000
8.5	0.02352941
9.0	0.02222222
9.5	0.02105263
10.0 0.02000000
10.5 0.01904762
11.0 0.01818182
11.5 0.01739130
12.0 0.01666667
12.5 0.01600000
13.0 0.01538462
13.5 0.01481481
14.0 0.01428571
14.5 0.01379310
15.0 0.01333333
15.5 0.01290323
16.0 0.01250000
16.5 0.01212121
17.0 0.01176471
17.5 0.01142857
18.0 0.01111111
18.5 0.01081081
19.0 0.01052632
19.5 0.01025641
20.0 0.01000000
