# Interacting fermions with random potentials (interaction = pair hopping)
# L=14, t=1, V=1
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W <r>
1.500000000000000000e+00 5.307557448945109391e-01
1.750000000000000000e+00 5.306004445438622374e-01
2.000000000000000000e+00 5.308703582892748685e-01
2.250000000000000000e+00 5.305483174085827702e-01
2.500000000000000000e+00 5.306725196137723755e-01
2.750000000000000000e+00 5.304707018055887513e-01
3.000000000000000000e+00 5.303646019377750154e-01
3.250000000000000000e+00 5.295601084758482235e-01
3.500000000000000000e+00 5.275089506348802360e-01
3.750000000000000000e+00 5.243593485783432095e-01
4.000000000000000000e+00 5.195541458155998882e-01
4.500000000000000000e+00 5.056638208501995635e-01
5.000000000000000000e+00 4.879844746779249953e-01
5.250000000000000000e+00 4.791230946726866002e-01
5.500000000000000000e+00 4.699019432233034199e-01
5.750000000000000000e+00 4.617410725281094197e-01
6.000000000000000000e+00 4.535171611003500081e-01
6.250000000000000000e+00 4.461417563134826292e-01
6.500000000000000000e+00 4.406013413940119694e-01
6.750000000000000000e+00 4.342960396979104742e-01
7.000000000000000000e+00 4.290675183969749895e-01
7.250000000000000000e+00 4.246249071142288445e-01
7.500000000000000000e+00 4.205026928083084314e-01
8.000000000000000000e+00 4.139241740251749513e-01
1.000000000000000000e+01 3.997284080536750439e-01
