# Interacting fermions with random potentials (interaction = pair hopping)
# L=16, t=1, V=W=24.0
# Mean gap ratio for middle Z/3 levels.
# W/L W/L^2 <r>
6.250000000000000000e-02 3.906250000000000000e-03 5.307425388698029378e-01
1.250000000000000000e-01 7.812500000000000000e-03 5.307644234045999498e-01
1.875000000000000000e-01 1.171875000000000000e-02 5.307959216073500075e-01
2.500000000000000000e-01 1.562500000000000000e-02 5.307436006859500566e-01
3.125000000000000000e-01 1.953125000000000000e-02 5.306591506400498703e-01
3.750000000000000000e-01 2.343750000000000000e-02 5.306681820776000258e-01
4.375000000000000000e-01 2.734375000000000000e-02 5.307512236185999432e-01
5.000000000000000000e-01 3.125000000000000000e-02 5.303045079662499495e-01
6.250000000000000000e-01 3.906250000000000000e-02 5.269276182766500227e-01
7.500000000000000000e-01 4.687500000000000000e-02 5.172191852298557713e-01
8.750000000000000000e-01 5.468750000000000000e-02 5.022694944429807462e-01
1.000000000000000000e+00 6.250000000000000000e-02 4.851501451715728441e-01
1.250000000000000000e+00 7.812500000000000000e-02 4.557374943031731185e-01
1.375000000000000000e+00 8.593750000000000000e-02 4.448645498587999736e-01
1.500000000000000000e+00 9.375000000000000000e-02 4.354898104926500091e-01
1.687500000000000000e+00 1.054687500000000000e-01 4.255307367178999822e-01
1.875000000000000000e+00 1.171875000000000000e-01 4.182663784725999534e-01
2.062500000000000000e+00 1.289062500000000000e-01 4.130088363808999685e-01
2.250000000000000000e+00 1.406250000000000000e-01 4.086681326925999391e-01
