# Interacting fermions with random potentials (interaction = pair hopping)
# L=18, t=1, V=W=40
# Mean gap ratio for middle Z/3 levels.
# W/L W/L^2 <r>
5.555555555555555247e-02 3.086419753086419582e-03 5.307231516645238845e-01
2.222222222222222099e-01 1.234567901234567833e-02 5.307133242865285094e-01
3.888888888888888951e-01 2.160493827160493707e-02 5.307848536255713734e-01
5.555555555555555802e-01 3.086419753086419582e-02 5.305684210780476917e-01
7.222222222222222099e-01 4.012345679012345456e-02 5.287810825588571406e-01
7.777777777777777901e-01 4.320987654320987414e-02 5.267919600975713434e-01
8.888888888888888395e-01 4.938271604938271331e-02 5.196367297595237966e-01
1.055555555555555580e+00 5.864197530864197205e-02 5.018360750221905198e-01
1.111111111111111160e+00 6.172839506172839164e-02 4.948022149188095464e-01
1.166666666666666741e+00 6.481481481481481122e-02 4.877743587120477176e-01
1.333333333333333259e+00 7.407407407407406996e-02 4.676035353622857160e-01
1.500000000000000000e+00 8.333333333333332871e-02 4.508943160996666810e-01
1.666666666666666741e+00 9.259259259259258745e-02 4.377742199924761768e-01
1.944444444444444420e+00 1.080246913580246854e-01 4.225751635897321834e-01
2.222222222222222321e+00 1.234567901234567833e-01 4.130533787724371964e-01
