V=6^3									V=8^3									V=14^3									V=18^3								
time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum
0.01	-0.20547	0.08312	0.01	0.10187	0.07835	0.01	-0.05489	0.08709	0.01	0.19395	0.07765	0.01	-0.17466	0.07675	0.01	0.05937	0.07608	0.01	-0.04237	0.07667	0.01	-0.0728	0.07791	0.01	0.07379	0.07721	0.01	-0.06401	0.07559	0.01	0.15002	0.07572	0.01	-0.01376	0.08076
0.01023	-0.20546	0.08311	0.01023	0.10186	0.07834	0.01023	-0.05489	0.08708	0.01023	0.19394	0.07765	0.01023	-0.17466	0.07674	0.01023	0.05936	0.07607	0.01023	-0.04237	0.07666	0.01023	-0.0728	0.07791	0.01023	0.07378	0.07721	0.01023	-0.06401	0.07558	0.01023	0.15001	0.07571	0.01023	-0.01376	0.08075
0.01047	-0.20546	0.0831	0.01047	0.10186	0.07833	0.01047	-0.05489	0.08707	0.01047	0.19394	0.07764	0.01047	-0.17466	0.07673	0.01047	0.05935	0.07607	0.01047	-0.04238	0.07665	0.01047	-0.0728	0.0779	0.01047	0.07378	0.0772	0.01047	-0.06401	0.07557	0.01047	0.15	0.0757	0.01047	-0.01376	0.08074
0.01072	-0.20545	0.0831	0.01072	0.10186	0.07833	0.01072	-0.05489	0.08706	0.01072	0.19393	0.07763	0.01072	-0.17466	0.07673	0.01072	0.05934	0.07606	0.01072	-0.04238	0.07665	0.01072	-0.07281	0.07789	0.01072	0.07377	0.07719	0.01072	-0.06402	0.07557	0.01072	0.15	0.07569	0.01072	-0.01377	0.08073
0.01096	-0.20545	0.08309	0.01096	0.10186	0.07832	0.01096	-0.05489	0.08705	0.01096	0.19392	0.07762	0.01096	-0.17465	0.07672	0.01096	0.05934	0.07605	0.01096	-0.04238	0.07664	0.01096	-0.07281	0.07788	0.01096	0.07377	0.07718	0.01096	-0.06402	0.07556	0.01096	0.14999	0.07569	0.01096	-0.01377	0.08073
0.01122	-0.20544	0.08308	0.01122	0.10186	0.07831	0.01122	-0.05489	0.08704	0.01122	0.19391	0.07761	0.01122	-0.17465	0.07671	0.01122	0.05933	0.07604	0.01122	-0.04238	0.07663	0.01122	-0.07281	0.07787	0.01122	0.07376	0.07717	0.01122	-0.06402	0.07555	0.01122	0.14998	0.07568	0.01122	-0.01377	0.08072
0.01148	-0.20544	0.08307	0.01148	0.10186	0.0783	0.01148	-0.05488	0.08703	0.01148	0.1939	0.0776	0.01148	-0.17465	0.0767	0.01148	0.05932	0.07603	0.01148	-0.04239	0.07662	0.01148	-0.07282	0.07787	0.01148	0.07376	0.07716	0.01148	-0.06403	0.07554	0.01148	0.14997	0.07567	0.01148	-0.01378	0.08071
0.01175	-0.20543	0.08306	0.01175	0.10185	0.0783	0.01175	-0.05488	0.08702	0.01175	0.19388	0.07759	0.01175	-0.17465	0.07669	0.01175	0.05931	0.07602	0.01175	-0.04239	0.07661	0.01175	-0.07282	0.07786	0.01175	0.07375	0.07716	0.01175	-0.06403	0.07553	0.01175	0.14996	0.07566	0.01175	-0.01378	0.0807
0.01202	-0.20542	0.08305	0.01202	0.10185	0.07829	0.01202	-0.05488	0.08701	0.01202	0.19387	0.07758	0.01202	-0.17465	0.07668	0.01202	0.0593	0.07601	0.01202	-0.04239	0.0766	0.01202	-0.07282	0.07785	0.01202	0.07375	0.07715	0.01202	-0.06403	0.07552	0.01202	0.14995	0.07565	0.01202	-0.01378	0.08069
0.0123	-0.20542	0.08304	0.0123	0.10185	0.07828	0.0123	-0.05488	0.087	0.0123	0.19386	0.07757	0.0123	-0.17464	0.07667	0.0123	0.05929	0.076	0.0123	-0.0424	0.07659	0.0123	-0.07283	0.07784	0.0123	0.07374	0.07713	0.0123	-0.06404	0.07551	0.0123	0.14994	0.07564	0.0123	-0.01379	0.08068
0.01259	-0.20541	0.08303	0.01259	0.10185	0.07827	0.01259	-0.05488	0.08699	0.01259	0.19385	0.07756	0.01259	-0.17464	0.07666	0.01259	0.05928	0.07599	0.01259	-0.0424	0.07658	0.01259	-0.07283	0.07783	0.01259	0.07374	0.07712	0.01259	-0.06404	0.0755	0.01259	0.14993	0.07563	0.01259	-0.01379	0.08067
0.01288	-0.2054	0.08302	0.01288	0.10184	0.07826	0.01288	-0.05488	0.08697	0.01288	0.19383	0.07755	0.01288	-0.17464	0.07664	0.01288	0.05927	0.07598	0.01288	-0.0424	0.07657	0.01288	-0.07284	0.07781	0.01288	0.07373	0.07711	0.01288	-0.06405	0.07549	0.01288	0.14992	0.07562	0.01288	-0.0138	0.08065
0.01318	-0.20539	0.08301	0.01318	0.10184	0.07825	0.01318	-0.05487	0.08696	0.01318	0.19382	0.07754	0.01318	-0.17464	0.07663	0.01318	0.05926	0.07597	0.01318	-0.04241	0.07655	0.01318	-0.07284	0.0778	0.01318	0.07372	0.0771	0.01318	-0.06405	0.07548	0.01318	0.14991	0.0756	0.01318	-0.0138	0.08064
0.01349	-0.20538	0.083	0.01349	0.10184	0.07823	0.01349	-0.05487	0.08694	0.01349	0.19381	0.07753	0.01349	-0.17464	0.07662	0.01349	0.05925	0.07595	0.01349	-0.04241	0.07654	0.01349	-0.07285	0.07779	0.01349	0.07371	0.07709	0.01349	-0.06406	0.07547	0.01349	0.1499	0.07559	0.01349	-0.0138	0.08063
0.0138	-0.20538	0.08298	0.0138	0.10184	0.07822	0.0138	-0.05487	0.08693	0.0138	0.19379	0.07751	0.0138	-0.17463	0.0766	0.0138	0.05924	0.07594	0.0138	-0.04242	0.07653	0.0138	-0.07285	0.07778	0.0138	0.07371	0.07707	0.0138	-0.06406	0.07545	0.0138	0.14989	0.07558	0.0138	-0.01381	0.08062
0.01413	-0.20537	0.08297	0.01413	0.10183	0.07821	0.01413	-0.05487	0.08691	0.01413	0.19377	0.0775	0.01413	-0.17463	0.07659	0.01413	0.05922	0.07593	0.01413	-0.04242	0.07651	0.01413	-0.07286	0.07776	0.01413	0.0737	0.07706	0.01413	-0.06407	0.07544	0.01413	0.14987	0.07557	0.01413	-0.01381	0.0806
0.01445	-0.20536	0.08296	0.01445	0.10183	0.0782	0.01445	-0.05487	0.08689	0.01445	0.19376	0.07748	0.01445	-0.17463	0.07657	0.01445	0.05921	0.07591	0.01445	-0.04242	0.0765	0.01445	-0.07286	0.07775	0.01445	0.07369	0.07704	0.01445	-0.06407	0.07543	0.01445	0.14986	0.07555	0.01445	-0.01382	0.08059
0.01479	-0.20535	0.08294	0.01479	0.10183	0.07818	0.01479	-0.05486	0.08688	0.01479	0.19374	0.07747	0.01479	-0.17462	0.07656	0.01479	0.0592	0.0759	0.01479	-0.04243	0.07648	0.01479	-0.07287	0.07773	0.01479	0.07368	0.07703	0.01479	-0.06408	0.07541	0.01479	0.14984	0.07554	0.01479	-0.01383	0.08057
0.01514	-0.20534	0.08293	0.01514	0.10182	0.07817	0.01514	-0.05486	0.08686	0.01514	0.19372	0.07745	0.01514	-0.17462	0.07654	0.01514	0.05918	0.07588	0.01514	-0.04243	0.07647	0.01514	-0.07287	0.07772	0.01514	0.07367	0.07701	0.01514	-0.06409	0.0754	0.01514	0.14983	0.07552	0.01514	-0.01383	0.08056
0.01549	-0.20532	0.08291	0.01549	0.10182	0.07816	0.01549	-0.05486	0.08684	0.01549	0.1937	0.07744	0.01549	-0.17462	0.07653	0.01549	0.05917	0.07587	0.01549	-0.04244	0.07645	0.01549	-0.07288	0.0777	0.01549	0.07366	0.077	0.01549	-0.06409	0.07538	0.01549	0.14981	0.0755	0.01549	-0.01384	0.08054
0.01585	-0.20531	0.0829	0.01585	0.10182	0.07814	0.01585	-0.05486	0.08682	0.01585	0.19368	0.07742	0.01585	-0.17461	0.07651	0.01585	0.05915	0.07585	0.01585	-0.04245	0.07643	0.01585	-0.07289	0.07769	0.01585	0.07365	0.07698	0.01585	-0.0641	0.07536	0.01585	0.1498	0.07549	0.01585	-0.01384	0.08052
0.01622	-0.2053	0.08288	0.01622	0.10181	0.07812	0.01622	-0.05485	0.0868	0.01622	0.19366	0.0774	0.01622	-0.17461	0.07649	0.01622	0.05913	0.07583	0.01622	-0.04245	0.07641	0.01622	-0.0729	0.07767	0.01622	0.07364	0.07696	0.01622	-0.06411	0.07534	0.01622	0.14978	0.07547	0.01622	-0.01385	0.08051
0.0166	-0.20529	0.08286	0.0166	0.10181	0.07811	0.0166	-0.05485	0.08677	0.0166	0.19364	0.07738	0.0166	-0.17461	0.07647	0.0166	0.05912	0.07581	0.0166	-0.04246	0.0764	0.0166	-0.0729	0.07765	0.0166	0.07363	0.07694	0.0166	-0.06412	0.07533	0.0166	0.14976	0.07545	0.0166	-0.01386	0.08049
0.01698	-0.20528	0.08284	0.01698	0.1018	0.07809	0.01698	-0.05485	0.08675	0.01698	0.19362	0.07736	0.01698	-0.1746	0.07645	0.01698	0.0591	0.07579	0.01698	-0.04246	0.07638	0.01698	-0.07291	0.07763	0.01698	0.07362	0.07692	0.01698	-0.06412	0.07531	0.01698	0.14974	0.07543	0.01698	-0.01386	0.08047
0.01738	-0.20526	0.08282	0.01738	0.1018	0.07807	0.01738	-0.05484	0.08673	0.01738	0.19359	0.07734	0.01738	-0.1746	0.07643	0.01738	0.05908	0.07577	0.01738	-0.04247	0.07635	0.01738	-0.07292	0.07761	0.01738	0.07361	0.0769	0.01738	-0.06413	0.07529	0.01738	0.14972	0.07541	0.01738	-0.01387	0.08045
0.01778	-0.20525	0.0828	0.01778	0.1018	0.07805	0.01778	-0.05484	0.0867	0.01778	0.19357	0.07732	0.01778	-0.1746	0.0764	0.01778	0.05906	0.07575	0.01778	-0.04248	0.07633	0.01778	-0.07293	0.07759	0.01778	0.0736	0.07688	0.01778	-0.06414	0.07527	0.01778	0.1497	0.07539	0.01778	-0.01388	0.08042
0.0182	-0.20523	0.08278	0.0182	0.10179	0.07803	0.0182	-0.05484	0.08667	0.0182	0.19354	0.07729	0.0182	-0.17459	0.07638	0.0182	0.05904	0.07572	0.0182	-0.04248	0.07631	0.0182	-0.07294	0.07756	0.0182	0.07358	0.07685	0.0182	-0.06415	0.07524	0.0182	0.14968	0.07537	0.0182	-0.01389	0.0804
0.01862	-0.20522	0.08276	0.01862	0.10179	0.07801	0.01862	-0.05483	0.08665	0.01862	0.19351	0.07727	0.01862	-0.17459	0.07635	0.01862	0.05902	0.0757	0.01862	-0.04249	0.07628	0.01862	-0.07295	0.07754	0.01862	0.07357	0.07683	0.01862	-0.06416	0.07522	0.01862	0.14966	0.07534	0.01862	-0.0139	0.08038
