V=6^3									V=8^3									V=14^3									V=18^3																						
time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum	time	position	momentum														
0.01	-0.20547	0.08312	0.01	0.10187	0.07835	0.01	-0.05489	0.08709	0.01	0.19395	0.07765	0.01	-0.17466	0.01	0.38136	0.20784	0.01	0.5569	0.19648	0.01	0.49987	0.16891	0.01	0.45636	0.21302	0.01	0.33174	0.19653	0.01	-0.41841	0.22482	0.01	-0.48872	0.19305	0.01	0.40539	0.22544	0.01	-0.2411	0.20494	0.01	-0.41224	0.213	0.01	-0.44258	0.20706	0.01	0.31763	0.21188
0.01023	-0.20546	0.08311	0.01023	0.10186	0.07834	0.01023	-0.05489	0.08708	0.01023	0.19394	0.07765	0.01023	-0.17466	0.01023	0.38133	0.20779	0.01023	0.5569	0.19642	0.01023	0.49985	0.16886	0.01023	0.45634	0.21296	0.01023	0.33173	0.19647	0.01023	-0.4184	0.22476	0.01023	-0.4887	0.19299	0.01023	0.40538	0.22537	0.01023	-0.24108	0.20487	0.01023	-0.41223	0.21294	0.01023	-0.44255	0.207	0.01023	0.31762	0.21182
0.01047	-0.20546	0.0831	0.01047	0.10186	0.07833	0.01047	-0.05489	0.08707	0.01047	0.19394	0.07764	0.01047	-0.17466	0.01047	0.3813	0.20775	0.01047	0.55689	0.19636	0.01047	0.49983	0.1688	0.01047	0.45632	0.2129	0.01047	0.33171	0.19641	0.01047	-0.41838	0.2247	0.01047	-0.48868	0.19293	0.01047	0.40536	0.22531	0.01047	-0.24106	0.2048	0.01047	-0.41221	0.21287	0.01047	-0.44252	0.20694	0.01047	0.3176	0.21175
0.01072	-0.20545	0.0831	0.01072	0.10186	0.07833	0.01072	-0.05489	0.08706	0.01072	0.19393	0.07763	0.01072	-0.17466	0.01072	0.38126	0.20771	0.01072	0.55688	0.19629	0.01072	0.49981	0.16873	0.01072	0.4563	0.21284	0.01072	0.3317	0.19634	0.01072	-0.41836	0.22463	0.01072	-0.48867	0.19286	0.01072	0.40535	0.22524	0.01072	-0.24104	0.20473	0.01072	-0.41219	0.2128	0.01072	-0.44249	0.20688	0.01072	0.31758	0.21168
0.01096	-0.20545	0.08309	0.01096	0.10186	0.07832	0.01096	-0.05489	0.08705	0.01096	0.19392	0.07762	0.01096	-0.17465	0.01096	0.38123	0.20766	0.01096	0.55687	0.19623	0.01096	0.49978	0.16867	0.01096	0.45628	0.21277	0.01096	0.33168	0.19627	0.01096	-0.41833	0.22456	0.01096	-0.48865	0.19279	0.01096	0.40533	0.22516	0.01096	-0.24102	0.20466	0.01096	-0.41217	0.21273	0.01096	-0.44246	0.20681	0.01096	0.31756	0.21161
0.01122	-0.20544	0.08308	0.01122	0.10186	0.07831	0.01122	-0.05489	0.08704	0.01122	0.19391	0.07761	0.01122	-0.17465	0.01122	0.38119	0.20761	0.01122	0.55686	0.19616	0.01122	0.49976	0.1686	0.01122	0.45625	0.2127	0.01122	0.33167	0.1962	0.01122	-0.41831	0.22449	0.01122	-0.48863	0.19272	0.01122	0.40531	0.22509	0.01122	-0.24099	0.20458	0.01122	-0.41214	0.21265	0.01122	-0.44242	0.20674	0.01122	0.31754	0.21154
0.01148	-0.20544	0.08307	0.01148	0.10186	0.0783	0.01148	-0.05488	0.08703	0.01148	0.1939	0.0776	0.01148	-0.17465	0.01148	0.38115	0.20756	0.01148	0.55685	0.19608	0.01148	0.49973	0.16853	0.01148	0.45623	0.21262	0.01148	0.33165	0.19612	0.01148	-0.41829	0.22441	0.01148	-0.48861	0.19264	0.01148	0.40529	0.22501	0.01148	-0.24097	0.2045	0.01148	-0.41212	0.21257	0.01148	-0.44239	0.20666	0.01148	0.31751	0.21146
0.01175	-0.20543	0.08306	0.01175	0.10185	0.0783	0.01175	-0.05488	0.08702	0.01175	0.19388	0.07759	0.01175	-0.17465	0.01175	0.38111	0.2075	0.01175	0.55684	0.19601	0.01175	0.49971	0.16845	0.01175	0.4562	0.21255	0.01175	0.33163	0.19604	0.01175	-0.41826	0.22434	0.01175	-0.48859	0.19257	0.01175	0.40527	0.22492	0.01175	-0.24094	0.20441	0.01175	-0.4121	0.21249	0.01175	-0.44235	0.20658	0.01175	0.31749	0.21138
0.01202	-0.20542	0.08305	0.01202	0.10185	0.07829	0.01202	-0.05488	0.08701	0.01202	0.19387	0.07758	0.01202	-0.17465	0.01202	0.38107	0.20744	0.01202	0.55683	0.19593	0.01202	0.49968	0.16837	0.01202	0.45618	0.21247	0.01202	0.33161	0.19595	0.01202	-0.41824	0.22425	0.01202	-0.48857	0.19248	0.01202	0.40525	0.22484	0.01202	-0.24091	0.20432	0.01202	-0.41207	0.2124	0.01202	-0.44231	0.2065	0.01202	0.31747	0.21129
0.0123	-0.20542	0.08304	0.0123	0.10185	0.07828	0.0123	-0.05488	0.087	0.0123	0.19386	0.07757	0.0123	-0.17464	0.0123	0.38102	0.20738	0.0123	0.55682	0.19584	0.0123	0.49965	0.16829	0.0123	0.45615	0.21238	0.0123	0.33159	0.19586	0.0123	-0.41821	0.22417	0.0123	-0.48855	0.19239	0.0123	0.40523	0.22475	0.0123	-0.24088	0.20422	0.0123	-0.41204	0.21231	0.0123	-0.44227	0.20642	0.0123	0.31744	0.2112
0.01259	-0.20541	0.08303	0.01259	0.10185	0.07827	0.01259	-0.05488	0.08699	0.01259	0.19385	0.07756	0.01259	-0.17464	0.01259	0.38098	0.20732	0.01259	0.5568	0.19575	0.01259	0.49962	0.1682	0.01259	0.45612	0.21229	0.01259	0.33157	0.19577	0.01259	-0.41818	0.22408	0.01259	-0.48852	0.1923	0.01259	0.40521	0.22465	0.01259	-0.24085	0.20413	0.01259	-0.41202	0.21221	0.01259	-0.44223	0.20633	0.01259	0.31741	0.21111
0.01288	-0.2054	0.08302	0.01288	0.10184	0.07826	0.01288	-0.05488	0.08697	0.01288	0.19383	0.07755	0.01288	-0.17464	0.01288	0.38093	0.20725	0.01288	0.55679	0.19566	0.01288	0.49959	0.16811	0.01288	0.45609	0.2122	0.01288	0.33155	0.19567	0.01288	-0.41815	0.22398	0.01288	-0.4885	0.19221	0.01288	0.40519	0.22455	0.01288	-0.24082	0.20402	0.01288	-0.41199	0.21211	0.01288	-0.44218	0.20623	0.01288	0.31738	0.21101
0.01318	-0.20539	0.08301	0.01318	0.10184	0.07825	0.01318	-0.05487	0.08696	0.01318	0.19382	0.07754	0.01318	-0.17464	0.01318	0.38088	0.20719	0.01318	0.55678	0.19557	0.01318	0.49955	0.16801	0.01318	0.45606	0.2121	0.01318	0.33153	0.19557	0.01318	-0.41812	0.22388	0.01318	-0.48847	0.19211	0.01318	0.40517	0.22445	0.01318	-0.24079	0.20391	0.01318	-0.41196	0.21201	0.01318	-0.44214	0.20613	0.01318	0.31735	0.2109
0.01349	-0.20538	0.083	0.01349	0.10184	0.07823	0.01349	-0.05487	0.08694	0.01349	0.19381	0.07753	0.01349	-0.17464	0.01349	0.38082	0.20711	0.01349	0.55676	0.19546	0.01349	0.49952	0.16791	0.01349	0.45602	0.212	0.01349	0.33151	0.19547	0.01349	-0.41809	0.22378	0.01349	-0.48845	0.192	0.01349	0.40514	0.22434	0.01349	-0.24075	0.2038	0.01349	-0.41192	0.2119	0.01349	-0.44209	0.20603	0.01349	0.31732	0.2108
0.0138	-0.20538	0.08298	0.0138	0.10184	0.07822	0.0138	-0.05487	0.08693	0.0138	0.19379	0.07751	0.0138	-0.17463	0.0138	0.38077	0.20704	0.0138	0.55675	0.19536	0.0138	0.49948	0.16781	0.0138	0.45599	0.21189	0.0138	0.33148	0.19535	0.0138	-0.41805	0.22367	0.0138	-0.48842	0.19189	0.0138	0.40511	0.22422	0.0138	-0.24072	0.20368	0.0138	-0.41189	0.21178	0.0138	-0.44204	0.20592	0.0138	0.31729	0.21068
0.01413	-0.20537	0.08297	0.01413	0.10183	0.07821	0.01413	-0.05487	0.08691	0.01413	0.19377	0.0775	0.01413	-0.17463	0.01413	0.38071	0.20696	0.01413	0.55673	0.19525	0.01413	0.49944	0.1677	0.01413	0.45595	0.21178	0.01413	0.33146	0.19524	0.01413	-0.41802	0.22356	0.01413	-0.48839	0.19178	0.01413	0.40509	0.2241	0.01413	-0.24068	0.20356	0.01413	-0.41186	0.21166	0.01413	-0.44198	0.20581	0.01413	0.31726	0.21056
0.01445	-0.20536	0.08296	0.01445	0.10183	0.0782	0.01445	-0.05487	0.08689	0.01445	0.19376	0.07748	0.01445	-0.17463	0.01445	0.38065	0.20688	0.01445	0.55672	0.19513	0.01445	0.4994	0.16759	0.01445	0.45591	0.21166	0.01445	0.33143	0.19512	0.01445	-0.41798	0.22344	0.01445	-0.48836	0.19166	0.01445	0.40506	0.22398	0.01445	-0.24064	0.20343	0.01445	-0.41182	0.21153	0.01445	-0.44192	0.20569	0.01445	0.31722	0.21044
0.01479	-0.20535	0.08294	0.01479	0.10183	0.07818	0.01479	-0.05486	0.08688	0.01479	0.19374	0.07747	0.01479	-0.17462	0.01479	0.38058	0.20679	0.01479	0.5567	0.19501	0.01479	0.49936	0.16747	0.01479	0.45587	0.21154	0.01479	0.3314	0.19499	0.01479	-0.41794	0.22331	0.01479	-0.48833	0.19153	0.01479	0.40503	0.22384	0.01479	-0.2406	0.20329	0.01479	-0.41178	0.2114	0.01479	-0.44187	0.20557	0.01479	0.31718	0.21031
0.01514	-0.20534	0.08293	0.01514	0.10182	0.07817	0.01514	-0.05486	0.08686	0.01514	0.19372	0.07745	0.01514	-0.17462	0.01514	0.38051	0.2067	0.01514	0.55668	0.19488	0.01514	0.49931	0.16734	0.01514	0.45583	0.21141	0.01514	0.33137	0.19485	0.01514	-0.4179	0.22318	0.01514	-0.48829	0.1914	0.01514	0.405	0.22371	0.01514	-0.24055	0.20315	0.01514	-0.41174	0.21126	0.01514	-0.4418	0.20544	0.01514	0.31714	0.21017
0.01549	-0.20532	0.08291	0.01549	0.10182	0.07816	0.01549	-0.05486	0.08684	0.01549	0.1937	0.07744	0.01549	-0.17462	0.01549	0.38044	0.20661	0.01549	0.55666	0.19475	0.01549	0.49927	0.16721	0.01549	0.45578	0.21127	0.01549	0.33134	0.19471	0.01549	-0.41786	0.22305	0.01549	-0.48826	0.19126	0.01549	0.40496	0.22356	0.01549	-0.24051	0.203	0.01549	-0.4117	0.21112	0.01549	-0.44174	0.2053	0.01549	0.3171	0.21003
0.01585	-0.20531	0.0829	0.01585	0.10182	0.07814	0.01585	-0.05486	0.08682	0.01585	0.19368	0.07742	0.01585	-0.17461	0.01585	0.38037	0.20651	0.01585	0.55664	0.19461	0.01585	0.49922	0.16707	0.01585	0.45574	0.21113	0.01585	0.33131	0.19457	0.01585	-0.41781	0.2229	0.01585	-0.48822	0.19112	0.01585	0.40493	0.22341	0.01585	-0.24046	0.20284	0.01585	-0.41166	0.21097	0.01585	-0.44167	0.20516	0.01585	0.31706	0.20988
0.01622	-0.2053	0.08288	0.01622	0.10181	0.07812	0.01622	-0.05485	0.0868	0.01622	0.19366	0.0774	0.01622	-0.17461	0.01622	0.38029	0.2064	0.01622	0.55662	0.19447	0.01622	0.49916	0.16693	0.01622	0.45569	0.21099	0.01622	0.33128	0.19441	0.01622	-0.41777	0.22276	0.01622	-0.48818	0.19097	0.01622	0.40489	0.22325	0.01622	-0.24041	0.20268	0.01622	-0.41161	0.21081	0.01622	-0.4416	0.20501	0.01622	0.31701	0.20973
0.0166	-0.20529	0.08286	0.0166	0.10181	0.07811	0.0166	-0.05485	0.08677	0.0166	0.19364	0.07738	0.0166	-0.17461	0.0166	0.38021	0.20629	0.0166	0.5566	0.19432	0.0166	0.49911	0.16678	0.0166	0.45564	0.21083	0.0166	0.33124	0.19425	0.0166	-0.41772	0.2226	0.0166	-0.48814	0.19081	0.0166	0.40485	0.22309	0.0166	-0.24036	0.20251	0.0166	-0.41156	0.21064	0.0166	-0.44153	0.20486	0.0166	0.31697	0.20957
0.01698	-0.20528	0.08284	0.01698	0.1018	0.07809	0.01698	-0.05485	0.08675	0.01698	0.19362	0.07736	0.01698	-0.1746	0.01698	0.38012	0.20618	0.01698	0.55658	0.19416	0.01698	0.49905	0.16662	0.01698	0.45558	0.21067	0.01698	0.3312	0.19409	0.01698	-0.41767	0.22244	0.01698	-0.4881	0.19065	0.01698	0.40481	0.22291	0.01698	-0.2403	0.20233	0.01698	-0.41151	0.21047	0.01698	-0.44145	0.2047	0.01698	0.31692	0.2094
0.01738	-0.20526	0.08282	0.01738	0.1018	0.07807	0.01738	-0.05484	0.08673	0.01738	0.19359	0.07734	0.01738	-0.1746	0.01738	0.38003	0.20606	0.01738	0.55655	0.19399	0.01738	0.499	0.16646	0.01738	0.45553	0.2105	0.01738	0.33117	0.19391	0.01738	-0.41761	0.22227	0.01738	-0.48805	0.19047	0.01738	0.40477	0.22273	0.01738	-0.24025	0.20214	0.01738	-0.41146	0.21029	0.01738	-0.44137	0.20453	0.01738	0.31687	0.20922
