Superlattice								SYK2								Anderson				AA			
W=1.0				W=7.5				gamma=0.2				gamma=0.5				W=30				Alpha=1.5			
Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda	Energy	Lambda
-6.42086	-3.02285	-6.53032	-3.20924	-6.48211	-1.25828	-6.51323	-1.25453	-1.56436	-4.2417	-1.57962	-4.13076	-1.40167	-1.65788	-1.41535	-1.78887	-14.19702	0.01849	-14.63731	-2.67849	-1.99999	-2.79095	-2	-2.79095
-6.21817	-2.96261	-6.5127	-3.08453	-6.33187	-1.18232	-6.49974	-1.26236	-1.55596	-4.10332	-1.5788	-4.14601	-1.39268	-1.75384	-1.41265	-1.80415	-14.09172	-1.42632	-14.59816	-1.94353	-1.99996	-2.79093	-2	-2.79095
-6.11721	-2.93266	-6.47212	-3.12194	-6.18708	-1.18173	-6.48598	-1.22649	-1.54381	-4.13909	-1.57798	-4.08765	-1.37964	-1.71215	-1.41047	-1.79549	-14.06706	0.35967	-14.54821	-1.78934	-1.99991	-2.7909	-2	-2.79095
-6.01845	-3.00192	-6.46203	-3.08252	-6.14087	-1.2255	-6.48347	-1.2177	-1.5325	-4.10893	-1.57529	-4.13159	-1.36953	-1.6928	-1.40872	-1.78601	-13.98833	-3.29297	-14.41358	-0.65061	-1.99984	-2.79086	-2	-2.79095
-6.01113	-2.8944	-6.45536	-3.13618	-6.08209	-1.10572	-6.47708	-1.22293	-1.5251	-4.05855	-1.57444	-4.11913	-1.35429	-1.95752	-1.40861	-1.75274	-13.71235	-1.17415	-14.38878	-3.64019	-1.99975	-2.79081	-2	-2.79095
-5.97808	-2.95662	-6.45273	-3.04371	-6.04196	-1.13609	-6.46053	-1.22132	-1.51886	-3.96237	-1.57284	-4.13019	-1.34427	-1.81159	-1.40778	-1.78931	-13.57687	-1.06538	-14.36278	0.7477	-1.99965	-2.79075	-2	-2.79095
-5.94673	-2.97533	-6.4471	-3.02346	-6.00038	-1.17438	-6.45527	-1.23232	-1.50889	-4.08112	-1.57107	-4.11077	-1.33488	-1.62965	-1.40655	-1.75874	-13.40329	-0.25311	-14.34143	1.27896	-1.99952	-2.79067	-2	-2.79095
-5.83132	-2.83125	-6.424	-3.03932	-5.93442	-1.04523	-6.44409	-1.23159	-1.4956	-4.13622	-1.56975	-4.11762	-1.33355	-1.72331	-1.4056	-1.79732	-13.37169	-0.01598	-14.32313	-0.17344	-1.99937	-2.79059	-2	-2.79095
-5.79893	-2.74227	-6.41647	-3.06055	-5.91144	-1.1211	-6.43558	-1.22319	-1.4931	-4.04477	-1.56846	-4.11224	-1.32567	-1.67412	-1.40485	-1.76126	-13.36046	0.64049	-14.27625	-1.48	-1.9992	-2.79049	-2	-2.79095
-5.78623	-2.84786	-6.41163	-3.02906	-5.8587	-1.13522	-6.43237	-1.222	-1.48532	-4.06733	-1.56767	-4.10618	-1.3186	-1.54815	-1.40462	-1.77515	-13.34622	0.9439	-14.25971	-1.20675	-1.99902	-2.79037	-2	-2.79095
-5.75596	-2.7406	-6.40952	-3.09898	-5.82005	-1.05232	-6.43037	-1.21456	-1.48044	-4.07291	-1.56703	-4.10618	-1.31289	-1.71115	-1.40352	-1.79024	-13.31043	0.23267	-14.24686	-0.9028	-1.99881	-2.79024	-2	-2.79095
-5.71944	-2.84599	-6.40336	-3.07982	-5.76477	-1.11225	-6.42773	-1.22277	-1.4789	-4.07423	-1.56666	-4.10347	-1.31007	-1.64519	-1.40282	-1.78457	-13.28812	-0.1051	-14.22372	-0.1894	-1.99858	-2.79009	-2	-2.79095
-5.67366	-2.78633	-6.39807	-3.07495	-5.7604	-1.058	-6.41756	-1.20906	-1.47328	-4.11394	-1.56602	-4.12318	-1.30324	-1.75083	-1.40226	-1.79164	-13.27599	0.71819	-14.20414	-0.34538	-1.99834	-2.78992	-2	-2.79095
-5.64735	-2.71838	-6.38994	-3.07942	-5.74593	-1.00217	-6.41104	-1.19455	-1.46132	-4.00953	-1.56479	-4.10852	-1.30044	-1.81221	-1.40193	-1.75831	-13.26567	1.5559	-14.18318	-2.4613	-1.99807	-2.78974	-2	-2.79095
