# Long-range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.5
# Integrated spin conductivity I(omega)
# omega, I(omega)

0.0000000000000000 0.00401003
9.99999999999999955E-007 0.00475674
1.99999999999999991E-006 0.00514336
3.00000000000000008E-006 0.00612626
3.99999999999999982E-006 0.00700446
5.00000000000000041E-006 0.00781277
6.00000000000000015E-006 0.00924028
6.99999999999999989E-006 0.0118172
7.99999999999999964E-006 0.0145496
9.00000000000000023E-006 0.0155999
1.00000000000000008E-005 0.0167923
1.09999999999999997E-005 0.0176937
1.20000000000000003E-005 0.0187489
1.29999999999999992E-005 0.0203846
1.39999999999999998E-005 0.0219045
1.50000000000000004E-005 0.0227004
1.59999999999999993E-005 0.0230406
1.69999999999999999E-005 0.0239055
1.80000000000000005E-005 0.0263781
1.90000000000000010E-005 0.0276722
2.00000000000000016E-005 0.0294144
2.09999999999999988E-005 0.0298121
2.19999999999999994E-005 0.0301591
2.30000000000000000E-005 0.0310017
2.40000000000000006E-005 0.0316344
2.50000000000000012E-005 0.0334974
2.59999999999999984E-005 0.0358269
2.69999999999999990E-005 0.0374551
2.79999999999999996E-005 0.0385154
2.90000000000000002E-005 0.0390754
3.00000000000000008E-005 0.0401466
3.10000000000000014E-005 0.0412182
3.19999999999999986E-005 0.0419824
3.30000000000000025E-005 0.0438398
3.39999999999999997E-005 0.0460951
3.49999999999999969E-005 0.04797
3.60000000000000009E-005 0.0489341
3.69999999999999981E-005 0.0500095
3.80000000000000021E-005 0.0501485
3.89999999999999993E-005 0.0517146
4.00000000000000033E-005 0.0532508
4.10000000000000005E-005 0.0542574
4.19999999999999977E-005 0.0557235
4.30000000000000017E-005 0.0567276
4.39999999999999989E-005 0.0573544
4.50000000000000028E-005 0.0582183
4.60000000000000000E-005 0.0591501
4.69999999999999972E-005 0.059773
4.80000000000000012E-005 0.0613802
4.89999999999999984E-005 0.0633767
5.00000000000000024E-005 0.065095
5.09999999999999996E-005 0.0654575
5.19999999999999968E-005 0.0672299
5.30000000000000008E-005 0.0677298
5.39999999999999980E-005 0.0688198
5.50000000000000020E-005 0.0706653
5.59999999999999992E-005 0.0719326
5.70000000000000031E-005 0.0732965
5.80000000000000003E-005 0.0746188
5.89999999999999975E-005 0.0757109
6.00000000000000015E-005 0.0768721
6.09999999999999987E-005 0.0777071
6.20000000000000027E-005 0.0791081
6.29999999999999999E-005 0.0798867
6.39999999999999971E-005 0.0810575
6.49999999999999943E-005 0.0822213
6.60000000000000051E-005 0.0836648
6.70000000000000023E-005 0.0853527
6.79999999999999995E-005 0.0864153
6.89999999999999967E-005 0.0879476
6.99999999999999939E-005 0.0880381
7.10000000000000046E-005 0.0898353
7.20000000000000018E-005 0.0904427
7.29999999999999990E-005 0.0912629
7.39999999999999962E-005 0.0913731
7.49999999999999934E-005 0.0923988
7.60000000000000042E-005 0.0930485
7.70000000000000014E-005 0.0939043
7.79999999999999986E-005 0.0950624
7.89999999999999958E-005 0.0964012
8.00000000000000065E-005 0.0981231
8.10000000000000037E-005 0.0983828
8.20000000000000009E-005 0.0991368
8.29999999999999981E-005 0.0996514
8.39999999999999954E-005 0.100283
8.50000000000000061E-005 0.10182
8.60000000000000033E-005 0.102239
8.70000000000000005E-005 0.103074
8.79999999999999977E-005 0.103861
8.89999999999999949E-005 0.104686
9.00000000000000057E-005 0.105122
9.10000000000000029E-005 0.105584
9.20000000000000001E-005 0.106314
9.29999999999999973E-005 0.107548
9.39999999999999945E-005 0.109192
9.50000000000000052E-005 0.109424
9.60000000000000024E-005 0.110177
9.69999999999999996E-005 0.111099
9.79999999999999968E-005 0.11137
9.89999999999999940E-005 0.111517
1.00000000000000005E-004 0.111609
1.10000000000000004E-004 0.118256
1.20000000000000003E-004 0.128126
1.29999999999999989E-004 0.135188
1.39999999999999988E-004 0.142594
1.49999999999999987E-004 0.150073
1.60000000000000013E-004 0.158176
1.70000000000000012E-004 0.166912
1.80000000000000011E-004 0.174265
1.90000000000000010E-004 0.180619
2.00000000000000010E-004 0.186406
2.10000000000000009E-004 0.192662
2.20000000000000008E-004 0.199351
2.30000000000000007E-004 0.204125
2.40000000000000006E-004 0.209544
2.50000000000000005E-004 0.21634
2.59999999999999977E-004 0.221933
2.70000000000000003E-004 0.229003
2.79999999999999975E-004 0.235376
2.90000000000000002E-004 0.242024
2.99999999999999974E-004 0.247115
3.10000000000000000E-004 0.252674
3.20000000000000026E-004 0.25906
3.29999999999999998E-004 0.264528
3.40000000000000024E-004 0.268445
3.49999999999999996E-004 0.274691
3.60000000000000023E-004 0.278742
3.69999999999999995E-004 0.283204
3.80000000000000021E-004 0.288069
3.89999999999999993E-004 0.291642
4.00000000000000019E-004 0.296154
4.09999999999999991E-004 0.300556
4.20000000000000017E-004 0.304684
4.29999999999999989E-004 0.308231
4.40000000000000016E-004 0.312457
4.49999999999999988E-004 0.315477
4.60000000000000014E-004 0.318988
4.69999999999999986E-004 0.322868
4.80000000000000012E-004 0.327268
4.89999999999999984E-004 0.331362
5.00000000000000010E-004 0.334787
5.10000000000000037E-004 0.338296
5.19999999999999954E-004 0.342205
5.29999999999999981E-004 0.345439
5.40000000000000007E-004 0.348822
5.50000000000000033E-004 0.352309
5.59999999999999951E-004 0.355017
5.69999999999999977E-004 0.358883
5.80000000000000003E-004 0.362266
5.90000000000000030E-004 0.365632
5.99999999999999947E-004 0.369136
6.09999999999999974E-004 0.372058
6.20000000000000000E-004 0.375126
6.30000000000000026E-004 0.378375
6.40000000000000052E-004 0.38168
6.49999999999999970E-004 0.385068
6.59999999999999996E-004 0.389294
6.70000000000000023E-004 0.392405
6.80000000000000049E-004 0.395142
6.89999999999999967E-004 0.396856
6.99999999999999993E-004 0.400986
7.10000000000000019E-004 0.403682
7.20000000000000045E-004 0.406127
7.29999999999999963E-004 0.409521
7.39999999999999989E-004 0.411985
7.50000000000000016E-004 0.413983
7.60000000000000042E-004 0.415821
7.69999999999999960E-004 0.417554
7.79999999999999986E-004 0.419476
7.90000000000000012E-004 0.421359
8.00000000000000038E-004 0.423542
8.09999999999999956E-004 0.427054
8.19999999999999982E-004 0.429958
8.30000000000000009E-004 0.433026
8.40000000000000035E-004 0.435485
8.49999999999999953E-004 0.437926
8.59999999999999979E-004 0.439864
8.70000000000000005E-004 0.442246
8.80000000000000031E-004 0.444874
8.89999999999999949E-004 0.447514
8.99999999999999975E-004 0.449901
9.10000000000000002E-004 0.452667
9.20000000000000028E-004 0.455378
9.30000000000000054E-004 0.458274
9.39999999999999972E-004 0.460205
9.49999999999999998E-004 0.463023
9.60000000000000024E-004 0.465379
9.70000000000000051E-004 0.467066
9.79999999999999968E-004 0.469094
9.89999999999999995E-004 0.471501
1.00000000000000002E-003 0.473561
1.10000000000000007E-003 0.493561
1.19999999999999989E-003 0.512696
1.29999999999999994E-003 0.530629
1.39999999999999999E-003 0.546893
1.50000000000000003E-003 0.562609
1.60000000000000008E-003 0.577303
