# Generalized Haldane-Shastry model
# L = 20, J = 1.0, Delta = 0.6
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 3.14062e-07
1 9.99999999999999955E-007 7.08005e-07
1 1.99999999999999991E-006 1.28885e-06
1 3.00000000000000008E-006 1.60136e-06
1 3.99999999999999982E-006 2.02666e-06
1 5.00000000000000041E-006 2.28684e-06
1 6.00000000000000015E-006 2.67764e-06
1 6.99999999999999989E-006 3.03238e-06
1 7.99999999999999964E-006 3.56555e-06
1 9.00000000000000023E-006 3.98893e-06
1 1.00000000000000008E-005 4.40712e-06
1 1.09999999999999997E-005 4.89482e-06
1 1.20000000000000003E-005 5.25849e-06
1 1.29999999999999992E-005 6.48979e-06
1 1.39999999999999998E-005 6.83056e-06
1 1.50000000000000004E-005 7.16195e-06
1 1.59999999999999993E-005 7.58806e-06
1 1.69999999999999999E-005 7.92319e-06
1 1.80000000000000005E-005 8.29957e-06
1 1.90000000000000010E-005 8.63592e-06
1 2.00000000000000016E-005 9.10305e-06
1 2.09999999999999988E-005 9.58742e-06
1 2.19999999999999994E-005 9.78562e-06
1 2.30000000000000000E-005 1.01547e-05
1 2.40000000000000006E-005 1.03454e-05
1 2.50000000000000012E-005 1.05982e-05
1 2.59999999999999984E-005 1.09555e-05
1 2.69999999999999990E-005 1.12932e-05
1 2.79999999999999996E-005 1.16035e-05
1 2.90000000000000002E-005 1.19271e-05
1 3.00000000000000008E-005 1.23744e-05
1 3.10000000000000014E-005 1.26799e-05
1 3.19999999999999986E-005 1.29876e-05
1 3.30000000000000025E-005 1.32064e-05
1 3.39999999999999997E-005 1.35895e-05
1 3.49999999999999969E-005 1.39786e-05
1 3.60000000000000009E-005 1.43499e-05
1 3.69999999999999981E-005 1.47829e-05
1 3.80000000000000021E-005 1.51166e-05
1 3.89999999999999993E-005 1.56823e-05
1 4.00000000000000033E-005 1.61629e-05
1 4.10000000000000005E-005 1.65351e-05
1 4.19999999999999977E-005 1.69819e-05
1 4.30000000000000017E-005 1.72226e-05
1 4.39999999999999989E-005 1.75143e-05
1 4.50000000000000028E-005 1.78497e-05
1 4.60000000000000000E-005 1.82123e-05
1 4.69999999999999972E-005 1.8622e-05
1 4.80000000000000012E-005 1.89655e-05
1 4.89999999999999984E-005 1.93553e-05
1 5.00000000000000024E-005 1.96767e-05
1 5.09999999999999996E-005 1.99071e-05
1 5.19999999999999968E-005 2.02254e-05
1 5.30000000000000008E-005 2.08442e-05
1 5.39999999999999980E-005 2.12705e-05
1 5.50000000000000020E-005 2.15119e-05
1 5.59999999999999992E-005 2.2035e-05
1 5.70000000000000031E-005 2.23353e-05
1 5.80000000000000003E-005 2.27905e-05
1 5.89999999999999975E-005 2.30873e-05
1 6.00000000000000015E-005 2.34013e-05
1 6.09999999999999987E-005 2.36886e-05
1 6.20000000000000027E-005 2.40304e-05
1 6.29999999999999999E-005 2.45362e-05
1 6.39999999999999971E-005 2.49003e-05
1 6.49999999999999943E-005 2.53492e-05
1 6.60000000000000051E-005 2.56561e-05
1 6.70000000000000023E-005 2.60181e-05
1 6.79999999999999995E-005 2.65719e-05
1 6.89999999999999967E-005 2.68842e-05
1 6.99999999999999939E-005 2.73588e-05
1 7.10000000000000046E-005 2.78068e-05
1 7.20000000000000018E-005 2.83496e-05
1 7.29999999999999990E-005 2.90058e-05
1 7.39999999999999962E-005 2.93089e-05
1 7.49999999999999934E-005 2.96161e-05
1 7.60000000000000042E-005 2.99966e-05
1 7.70000000000000014E-005 3.03236e-05
1 7.79999999999999986E-005 3.07387e-05
1 7.89999999999999958E-005 3.11006e-05
1 8.00000000000000065E-005 3.12767e-05
1 8.10000000000000037E-005 3.16944e-05
1 8.20000000000000009E-005 3.20872e-05
1 8.29999999999999981E-005 3.25298e-05
1 8.39999999999999954E-005 3.28817e-05
1 8.50000000000000061E-005 3.33253e-05
1 8.60000000000000033E-005 3.37696e-05
1 8.70000000000000005E-005 3.39873e-05
1 8.79999999999999977E-005 3.46286e-05
1 8.89999999999999949E-005 3.52067e-05
1 9.00000000000000057E-005 3.56042e-05
1 9.10000000000000029E-005 3.58389e-05
1 9.20000000000000001E-005 3.61448e-05
1 9.29999999999999973E-005 3.65802e-05
1 9.39999999999999945E-005 3.69695e-05
1 9.50000000000000052E-005 3.75361e-05
1 9.60000000000000024E-005 3.78744e-05
1 9.69999999999999996E-005 3.83835e-05
1 9.79999999999999968E-005 3.86988e-05
1 9.89999999999999940E-005 3.92762e-05
1 1.00000000000000005E-004 3.96437e-05
1 1.10000000000000004E-004 4.40526e-05
1 1.20000000000000003E-004 4.77745e-05
1 1.29999999999999989E-004 5.16514e-05
1 1.39999999999999988E-004 5.57851e-05
1 1.49999999999999987E-004 6.00011e-05
1 1.60000000000000013E-004 6.4163e-05
1 1.70000000000000012E-004 6.81503e-05
1 1.80000000000000011E-004 7.16948e-05
1 1.90000000000000010E-004 7.53345e-05
1 2.00000000000000010E-004 7.88187e-05
1 2.10000000000000009E-004 8.25134e-05
1 2.20000000000000008E-004 8.62367e-05
1 2.30000000000000007E-004 8.99437e-05
1 2.40000000000000006E-004 9.40086e-05
1 2.50000000000000005E-004 9.73712e-05
1 2.59999999999999977E-004 0.000100837
1 2.70000000000000003E-004 0.000104538
1 2.79999999999999975E-004 0.000108006
1 2.90000000000000002E-004 0.000111619
1 2.99999999999999974E-004 0.000115159
1 3.10000000000000000E-004 0.000118791
1 3.20000000000000026E-004 0.000123095
1 3.29999999999999998E-004 0.000127292
1 3.40000000000000024E-004 0.000131045
1 3.49999999999999996E-004 0.000135363
1 3.60000000000000023E-004 0.000138735
1 3.69999999999999995E-004 0.000142229
1 3.80000000000000021E-004 0.000146783
1 3.89999999999999993E-004 0.000151128
1 4.00000000000000019E-004 0.000154741
1 4.09999999999999991E-004 0.000158263
1 4.20000000000000017E-004 0.000162029
1 4.29999999999999989E-004 0.000165823
1 4.40000000000000016E-004 0.000169359
1 4.49999999999999988E-004 0.000172773
1 4.60000000000000014E-004 0.000176709
1 4.69999999999999986E-004 0.000180671
1 4.80000000000000012E-004 0.000184693
1 4.89999999999999984E-004 0.000188789
1 5.00000000000000010E-004 0.000192729
1 5.10000000000000037E-004 0.000196697
