# Long-range Heisenberg model
# L = 20, J = 1.0, Delta = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 5.43705e-07
1 9.99999999999999955E-007 1.1189e-06
1 1.99999999999999991E-006 1.43959e-06
1 3.00000000000000008E-006 1.76886e-06
1 3.99999999999999982E-006 2.02416e-06
1 5.00000000000000041E-006 2.46727e-06
1 6.00000000000000015E-006 2.79478e-06
1 6.99999999999999989E-006 3.24824e-06
1 7.99999999999999964E-006 3.57955e-06
1 9.00000000000000023E-006 3.84494e-06
1 1.00000000000000008E-005 4.56327e-06
1 1.09999999999999997E-005 5.09921e-06
1 1.20000000000000003E-005 5.56264e-06
1 1.29999999999999992E-005 6.05445e-06
1 1.39999999999999998E-005 6.41602e-06
1 1.50000000000000004E-005 7.01688e-06
1 1.59999999999999993E-005 7.36352e-06
1 1.69999999999999999E-005 7.65668e-06
1 1.80000000000000005E-005 7.94165e-06
1 1.90000000000000010E-005 8.26905e-06
1 2.00000000000000016E-005 8.5601e-06
1 2.09999999999999988E-005 9.17362e-06
1 2.19999999999999994E-005 9.64485e-06
1 2.30000000000000000E-005 1.02635e-05
1 2.40000000000000006E-005 1.07341e-05
1 2.50000000000000012E-005 1.11222e-05
1 2.59999999999999984E-005 1.1683e-05
1 2.69999999999999990E-005 1.229e-05
1 2.79999999999999996E-005 1.25526e-05
1 2.90000000000000002E-005 1.29163e-05
1 3.00000000000000008E-005 1.33674e-05
1 3.10000000000000014E-005 1.39037e-05
1 3.19999999999999986E-005 1.44721e-05
1 3.30000000000000025E-005 1.52405e-05
1 3.39999999999999997E-005 1.56631e-05
1 3.49999999999999969E-005 1.62645e-05
1 3.60000000000000009E-005 1.65743e-05
1 3.69999999999999981E-005 1.70752e-05
1 3.80000000000000021E-005 1.78202e-05
1 3.89999999999999993E-005 1.82734e-05
1 4.00000000000000033E-005 1.85452e-05
1 4.10000000000000005E-005 1.89105e-05
1 4.19999999999999977E-005 1.94899e-05
1 4.30000000000000017E-005 2.0054e-05
1 4.39999999999999989E-005 2.04449e-05
1 4.50000000000000028E-005 2.08413e-05
1 4.60000000000000000E-005 2.12952e-05
1 4.69999999999999972E-005 2.17535e-05
1 4.80000000000000012E-005 2.22644e-05
1 4.89999999999999984E-005 2.26138e-05
1 5.00000000000000024E-005 2.30969e-05
1 5.09999999999999996E-005 2.36488e-05
1 5.19999999999999968E-005 2.42828e-05
1 5.30000000000000008E-005 2.46914e-05
1 5.39999999999999980E-005 2.50572e-05
1 5.50000000000000020E-005 2.56137e-05
1 5.59999999999999992E-005 2.61788e-05
1 5.70000000000000031E-005 2.66363e-05
1 5.80000000000000003E-005 2.71076e-05
1 5.89999999999999975E-005 2.75451e-05
1 6.00000000000000015E-005 2.83506e-05
1 6.09999999999999987E-005 2.86983e-05
1 6.20000000000000027E-005 2.89584e-05
1 6.29999999999999999E-005 2.93278e-05
1 6.39999999999999971E-005 2.97823e-05
1 6.49999999999999943E-005 3.02067e-05
1 6.60000000000000051E-005 3.06455e-05
1 6.70000000000000023E-005 3.12322e-05
1 6.79999999999999995E-005 3.14899e-05
1 6.89999999999999967E-005 3.18005e-05
1 6.99999999999999939E-005 3.20519e-05
1 7.10000000000000046E-005 3.2626e-05
1 7.20000000000000018E-005 3.32108e-05
1 7.29999999999999990E-005 3.3525e-05
1 7.39999999999999962E-005 3.39899e-05
1 7.49999999999999934E-005 3.43908e-05
1 7.60000000000000042E-005 3.49803e-05
1 7.70000000000000014E-005 3.53763e-05
1 7.79999999999999986E-005 3.57039e-05
1 7.89999999999999958E-005 3.60905e-05
1 8.00000000000000065E-005 3.64621e-05
1 8.10000000000000037E-005 3.6869e-05
1 8.20000000000000009E-005 3.72686e-05
1 8.29999999999999981E-005 3.77508e-05
1 8.39999999999999954E-005 3.83104e-05
1 8.50000000000000061E-005 3.87462e-05
1 8.60000000000000033E-005 3.90612e-05
1 8.70000000000000005E-005 3.95496e-05
1 8.79999999999999977E-005 3.99393e-05
1 8.89999999999999949E-005 4.01976e-05
1 9.00000000000000057E-005 4.08488e-05
1 9.10000000000000029E-005 4.11341e-05
1 9.20000000000000001E-005 4.16309e-05
1 9.29999999999999973E-005 4.19767e-05
1 9.39999999999999945E-005 4.24211e-05
1 9.50000000000000052E-005 4.28603e-05
1 9.60000000000000024E-005 4.33693e-05
1 9.69999999999999996E-005 4.36651e-05
1 9.79999999999999968E-005 4.42153e-05
1 9.89999999999999940E-005 4.46981e-05
1 1.00000000000000005E-004 4.50774e-05
1 1.10000000000000004E-004 4.90774e-05
1 1.20000000000000003E-004 5.4027e-05
1 1.29999999999999989E-004 5.83507e-05
1 1.39999999999999988E-004 6.24888e-05
1 1.49999999999999987E-004 6.71259e-05
1 1.60000000000000013E-004 7.15625e-05
1 1.70000000000000012E-004 7.77396e-05
1 1.80000000000000011E-004 8.21107e-05
1 1.90000000000000010E-004 8.6316e-05
1 2.00000000000000010E-004 9.01559e-05
1 2.10000000000000009E-004 9.43127e-05
1 2.20000000000000008E-004 9.89123e-05
1 2.30000000000000007E-004 0.000103016
1 2.40000000000000006E-004 0.000107571
1 2.50000000000000005E-004 0.00011189
1 2.59999999999999977E-004 0.000115981
1 2.70000000000000003E-004 0.000119848
1 2.79999999999999975E-004 0.000124203
1 2.90000000000000002E-004 0.000128588
1 2.99999999999999974E-004 0.000133262
1 3.10000000000000000E-004 0.000137403
1 3.20000000000000026E-004 0.000141576
1 3.29999999999999998E-004 0.000145804
1 3.40000000000000024E-004 0.00014995
1 3.49999999999999996E-004 0.000155012
1 3.60000000000000023E-004 0.000158916
1 3.69999999999999995E-004 0.000163285
1 3.80000000000000021E-004 0.000167147
1 3.89999999999999993E-004 0.000171401
1 4.00000000000000019E-004 0.000175609
1 4.09999999999999991E-004 0.000180177
1 4.20000000000000017E-004 0.000184869
1 4.29999999999999989E-004 0.000188992
1 4.40000000000000016E-004 0.000193736
1 4.49999999999999988E-004 0.000198138
1 4.60000000000000014E-004 0.000202161
1 4.69999999999999986E-004 0.00020653
1 4.80000000000000012E-004 0.000211085
1 4.89999999999999984E-004 0.000215621
1 5.00000000000000010E-004 0.000220068
1 5.10000000000000037E-004 0.000224715
1 5.19999999999999954E-004 0.000228907
1 5.29999999999999981E-004 0.000233184
1 5.40000000000000007E-004 0.000239532
1 5.50000000000000033E-004 0.000244396
1 5.59999999999999951E-004 0.000248466
1 5.69999999999999977E-004 0.000252764
1 5.80000000000000003E-004 0.000257191
1 5.90000000000000030E-004 0.000260837
1 5.99999999999999947E-004 0.000266037
1 6.09999999999999974E-004 0.000270666
1 6.20000000000000000E-004 0.000275164
1 6.30000000000000026E-004 0.000279466
1 6.40000000000000052E-004 0.000284096
1 6.49999999999999970E-004 0.000288271
1 6.59999999999999996E-004 0.000292512
1 6.70000000000000023E-004 0.000297529
1 6.80000000000000049E-004 0.000302092
1 6.89999999999999967E-004 0.000306452
1 6.99999999999999993E-004 0.000311068
1 7.10000000000000019E-004 0.000315301
1 7.20000000000000045E-004 0.000319102
1 7.29999999999999963E-004 0.000323078
1 7.39999999999999989E-004 0.00032736
1 7.50000000000000016E-004 0.00033184
1 7.60000000000000042E-004 0.000336301
1 7.69999999999999960E-004 0.000341203
1 7.79999999999999986E-004 0.000345635
1 7.90000000000000012E-004 0.000350051
1 8.00000000000000038E-004 0.000354613
1 8.09999999999999956E-004 0.000359243
1 8.19999999999999982E-004 0.000363524
1 8.30000000000000009E-004 0.000367757
1 8.40000000000000035E-004 0.000372763
1 8.49999999999999953E-004 0.000377152
1 8.59999999999999979E-004 0.000381396
1 8.70000000000000005E-004 0.000385797
1 8.80000000000000031E-004 0.000389788
1 8.89999999999999949E-004 0.000394798
1 8.99999999999999975E-004 0.000399415
1 9.10000000000000002E-004 0.000403813
1 9.20000000000000028E-004 0.000407707
1 9.30000000000000054E-004 0.000412648
1 9.39999999999999972E-004 0.000417821
1 9.49999999999999998E-004 0.000421511
1 9.60000000000000024E-004 0.000426013
1 9.70000000000000051E-004 0.000429597
1 9.79999999999999968E-004 0.000434115
1 9.89999999999999995E-004 0.000438138
1 1.00000000000000002E-003 0.000443146
1 1.10000000000000007E-003 0.000487779
1 1.19999999999999989E-003 0.000532763
1 1.29999999999999994E-003 0.000575055
1 1.39999999999999999E-003 0.000620365
1 1.50000000000000003E-003 0.000664619
1 1.60000000000000008E-003 0.000707159
1 1.69999999999999991E-003 0.000751825
1 1.79999999999999995E-003 0.000796349
1 1.90000000000000000E-003 0.000840178
1 2.00000000000000004E-003 0.000885456
1 2.09999999999999987E-003 0.000928306
1 2.20000000000000013E-003 0.000972175
1 2.29999999999999996E-003 0.00101556
1 2.39999999999999979E-003 0.00105845
1 2.50000000000000005E-003 0.00110311
1 2.59999999999999988E-003 0.00114727
1 2.70000000000000014E-003 0.00118927
1 2.79999999999999997E-003 0.00124193
1 2.89999999999999980E-003 0.0012875
1 3.00000000000000006E-003 0.00133226
1 3.09999999999999989E-003 0.0013773
1 3.20000000000000015E-003 0.00141895
1 3.29999999999999998E-003 0.00146344
1 3.39999999999999981E-003 0.00150738
1 3.50000000000000007E-003 0.00155022
1 3.59999999999999990E-003 0.00159401
1 3.70000000000000016E-003 0.00163791
1 3.79999999999999999E-003 0.00168161
1 3.89999999999999982E-003 0.0017253
1 4.00000000000000008E-003 0.00176955
1 4.10000000000000035E-003 0.0018115
1 4.19999999999999974E-003 0.00185902
1 4.30000000000000000E-003 0.00190261
1 4.40000000000000027E-003 0.00194692
1 4.49999999999999966E-003 0.00199044
1 4.59999999999999992E-003 0.00203378
1 4.70000000000000018E-003 0.00207741
1 4.79999999999999958E-003 0.00212014
1 4.89999999999999984E-003 0.0021627
1 5.00000000000000010E-003 0.00220529
1 5.10000000000000037E-003 0.00224901
1 5.19999999999999976E-003 0.00229345
1 5.30000000000000002E-003 0.00233671
1 5.40000000000000029E-003 0.00237768
1 5.49999999999999968E-003 0.00242287
1 5.59999999999999994E-003 0.00246893
1 5.70000000000000021E-003 0.00251334
1 5.79999999999999960E-003 0.00255741
1 5.89999999999999986E-003 0.0026008
1 6.00000000000000012E-003 0.00264592
1 6.10000000000000039E-003 0.00268828
1 6.19999999999999978E-003 0.00273112
