# long range t-V model of spinless fermions
# L = 18, t = 1.0, V = 0.4
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 0.0634234
1 9.9999999999999995E-007 0.0634253
1 1.9999999999999999E-006 0.0634253
1 3.0000000000000001E-006 0.0634257
1 3.9999999999999998E-006 0.0634368
1 5.0000000000000004E-006 0.0634368
1 6.0000000000000002E-006 0.0634368
1 6.9999999999999999E-006 0.0634384
1 7.9999999999999996E-006 0.0634384
1 9.0000000000000002E-006 0.0634384
1 1.0000000000000001E-005 0.0634459
1 1.1000000000000000E-005 0.0634459
1 1.2000000000000000E-005 0.063452
1 1.2999999999999999E-005 0.0634625
1 1.4000000000000000E-005 0.0634625
1 1.5000000000000000E-005 0.0634627
1 1.5999999999999999E-005 0.0634629
1 1.7000000000000000E-005 0.063467
1 1.8000000000000000E-005 0.0634914
1 1.9000000000000001E-005 0.0634997
1 2.0000000000000002E-005 0.0635004
1 2.0999999999999999E-005 0.0635006
1 2.1999999999999999E-005 0.063501
1 2.3000000000000000E-005 0.063501
1 2.4000000000000001E-005 0.0635011
1 2.5000000000000001E-005 0.0635011
1 2.5999999999999998E-005 0.0635106
1 2.6999999999999999E-005 0.0635111
1 2.8000000000000000E-005 0.0635111
1 2.9000000000000000E-005 0.0635143
1 3.0000000000000001E-005 0.0635151
1 3.1000000000000001E-005 0.0635171
1 3.1999999999999999E-005 0.063522
1 3.3000000000000003E-005 0.0635237
1 3.4000000000000000E-005 0.063524
1 3.4999999999999997E-005 0.063524
1 3.6000000000000001E-005 0.0635246
1 3.6999999999999998E-005 0.0635333
1 3.8000000000000002E-005 0.0635365
1 3.8999999999999999E-005 0.0635442
1 4.0000000000000003E-005 0.0635619
1 4.1000000000000000E-005 0.0635731
1 4.1999999999999998E-005 0.0635757
1 4.3000000000000002E-005 0.0635847
1 4.3999999999999999E-005 0.0635847
1 4.5000000000000003E-005 0.0635847
1 4.6000000000000000E-005 0.0635847
1 4.6999999999999997E-005 0.0635847
1 4.8000000000000001E-005 0.0635858
1 4.8999999999999998E-005 0.0635884
1 5.0000000000000002E-005 0.0635979
1 5.1000000000000000E-005 0.0635995
1 5.1999999999999997E-005 0.0636127
1 5.3000000000000001E-005 0.0636231
1 5.3999999999999998E-005 0.0636249
1 5.5000000000000002E-005 0.0636271
1 5.5999999999999999E-005 0.0636303
1 5.7000000000000003E-005 0.0636303
1 5.8000000000000000E-005 0.0636303
1 5.8999999999999998E-005 0.0636324
1 6.0000000000000002E-005 0.0636352
1 6.0999999999999999E-005 0.0636356
1 6.2000000000000003E-005 0.0636418
1 6.3000000000000000E-005 0.0636432
1 6.3999999999999997E-005 0.0636669
1 6.4999999999999994E-005 0.0636672
1 6.6000000000000005E-005 0.0636689
1 6.7000000000000002E-005 0.0636689
1 6.7999999999999999E-005 0.0636696
1 6.8999999999999997E-005 0.0636865
1 6.9999999999999994E-005 0.0636865
1 7.1000000000000005E-005 0.0636878
1 7.2000000000000002E-005 0.0636882
1 7.2999999999999999E-005 0.0636907
1 7.3999999999999996E-005 0.0636912
1 7.4999999999999993E-005 0.0636913
1 7.6000000000000004E-005 0.0636918
1 7.7000000000000001E-005 0.0636922
1 7.7999999999999999E-005 0.0636933
1 7.8999999999999996E-005 0.0636963
1 8.0000000000000007E-005 0.0637105
1 8.1000000000000004E-005 0.0637119
1 8.2000000000000001E-005 0.0637124
1 8.2999999999999998E-005 0.0637149
1 8.3999999999999995E-005 0.0637365
1 8.5000000000000006E-005 0.0637441
1 8.6000000000000003E-005 0.0637469
1 8.7000000000000001E-005 0.063747
1 8.7999999999999998E-005 0.0637486
1 8.8999999999999995E-005 0.0637486
1 9.0000000000000006E-005 0.0637486
1 9.1000000000000003E-005 0.0637662
1 9.2000000000000000E-005 0.0637662
1 9.2999999999999997E-005 0.0637723
1 9.3999999999999994E-005 0.0637726
1 9.5000000000000005E-005 0.0637727
1 9.6000000000000002E-005 0.0637728
1 9.7000000000000000E-005 0.0637877
1 9.7999999999999997E-005 0.0637877
1 9.8999999999999994E-005 0.0637913
1 1.0000000000000000E-004 0.063793
1 1.1000000000000000E-004 0.0638344
1 1.2000000000000000E-004 0.0638554
1 1.2999999999999999E-004 0.0638991
1 1.3999999999999999E-004 0.0639826
1 1.4999999999999999E-004 0.064043
1 1.6000000000000001E-004 0.0640829
1 1.7000000000000001E-004 0.0641207
1 1.8000000000000001E-004 0.0642211
1 1.9000000000000001E-004 0.0643793
1 2.0000000000000001E-004 0.0644191
1 2.1000000000000001E-004 0.0644581
1 2.2000000000000001E-004 0.0645075
1 2.3000000000000001E-004 0.0646262
1 2.4000000000000001E-004 0.0647207
1 2.5000000000000001E-004 0.0647798
1 2.5999999999999998E-004 0.0648604
1 2.7000000000000000E-004 0.064912
1 2.7999999999999998E-004 0.0649785
1 2.9000000000000000E-004 0.065047
1 2.9999999999999997E-004 0.0651065
1 3.1000000000000000E-004 0.0651559
1 3.2000000000000003E-004 0.0652159
1 3.3000000000000000E-004 0.0653153
1 3.4000000000000002E-004 0.0654149
1 3.5000000000000000E-004 0.065481
1 3.6000000000000002E-004 0.0655447
1 3.6999999999999999E-004 0.0657076
1 3.8000000000000002E-004 0.0657947
1 3.8999999999999999E-004 0.0658922
1 4.0000000000000002E-004 0.0659692
1 4.0999999999999999E-004 0.0660219
1 4.2000000000000002E-004 0.0660812
1 4.2999999999999999E-004 0.066139
1 4.4000000000000002E-004 0.0662586
1 4.4999999999999999E-004 0.0663126
1 4.6000000000000001E-004 0.0664477
1 4.6999999999999999E-004 0.0665059
1 4.8000000000000001E-004 0.0666239
1 4.8999999999999998E-004 0.0666968
1 5.0000000000000001E-004 0.066774
1 5.1000000000000004E-004 0.0668571
1 5.1999999999999995E-004 0.0669287
1 5.2999999999999998E-004 0.0670057
1 5.4000000000000001E-004 0.0670615
1 5.5000000000000003E-004 0.0671629
1 5.5999999999999995E-004 0.0672574
1 5.6999999999999998E-004 0.0673804
1 5.8000000000000000E-004 0.0674432
1 5.9000000000000003E-004 0.0675387
1 5.9999999999999995E-004 0.0676208
1 6.0999999999999997E-004 0.0677044
1 6.2000000000000000E-004 0.0678104
1 6.3000000000000003E-004 0.0678625
1 6.4000000000000005E-004 0.0679283
1 6.4999999999999997E-004 0.0680265
1 6.6000000000000000E-004 0.0682378
1 6.7000000000000002E-004 0.0683042
1 6.8000000000000005E-004 0.0683752
1 6.8999999999999997E-004 0.0684891
1 6.9999999999999999E-004 0.0685569
1 7.1000000000000002E-004 0.0686323
1 7.2000000000000005E-004 0.0687086
1 7.2999999999999996E-004 0.0688069
1 7.3999999999999999E-004 0.0688979
1 7.5000000000000002E-004 0.0689519
1 7.6000000000000004E-004 0.0690177
1 7.6999999999999996E-004 0.0691407
1 7.7999999999999999E-004 0.0692845
1 7.9000000000000001E-004 0.0694821
1 8.0000000000000004E-004 0.0695742
1 8.0999999999999996E-004 0.0696645
1 8.1999999999999998E-004 0.0698297
1 8.3000000000000001E-004 0.0699578
1 8.4000000000000003E-004 0.0701529
1 8.4999999999999995E-004 0.0702607
1 8.5999999999999998E-004 0.0703586
1 8.7000000000000001E-004 0.070467
1 8.8000000000000003E-004 0.0705659
1 8.8999999999999995E-004 0.0706668
1 8.9999999999999998E-004 0.0708544
1 9.1000000000000000E-004 0.0709341
1 9.2000000000000003E-004 0.0710106
1 9.3000000000000005E-004 0.0711312
1 9.3999999999999997E-004 0.071301
1 9.5000000000000000E-004 0.0713903
1 9.6000000000000002E-004 0.071525
1 9.7000000000000005E-004 0.0716274
1 9.7999999999999997E-004 0.071701
1 9.8999999999999999E-004 0.0718168
1 1.0000000000000000E-003 0.0719582
1 1.1000000000000001E-003 0.0729927
1 1.1999999999999999E-003 0.0742493
1 1.2999999999999999E-003 0.075299
1 1.4000000000000000E-003 0.0764124
1 1.5000000000000000E-003 0.0777636
1 1.6000000000000001E-003 0.0789606
1 1.6999999999999999E-003 0.0801504
1 1.8000000000000000E-003 0.0815759
1 1.9000000000000000E-003 0.0828716
1 2.0000000000000000E-003 0.084004
1 2.0999999999999999E-003 0.085389
1 2.2000000000000001E-003 0.086751
1 2.3000000000000000E-003 0.0881839
1 2.3999999999999998E-003 0.0895478
1 2.5000000000000001E-003 0.0907449
1 2.5999999999999999E-003 0.0919353
1 2.7000000000000001E-003 0.0931997
1 2.8000000000000000E-003 0.0945615
1 2.8999999999999998E-003 0.0958995
1 3.0000000000000001E-003 0.0970222
1 3.0999999999999999E-003 0.0983052
1 3.2000000000000002E-003 0.099714
1 3.3000000000000000E-003 0.101033
1 3.3999999999999998E-003 0.102318
1 3.5000000000000001E-003 0.103492
1 3.5999999999999999E-003 0.104787
1 3.7000000000000002E-003 0.106159
1 3.8000000000000000E-003 0.107207
1 3.8999999999999998E-003 0.108338
1 4.0000000000000001E-003 0.109681
1 4.1000000000000003E-003 0.110951
1 4.1999999999999997E-003 0.112294
1 4.3000000000000000E-003 0.113621
1 4.4000000000000003E-003 0.114789
1 4.4999999999999997E-003 0.115895
1 4.5999999999999999E-003 0.116947
1 4.7000000000000002E-003 0.118185
1 4.7999999999999996E-003 0.119327
1 4.8999999999999998E-003 0.120641
1 5.0000000000000001E-003 0.121833
1 5.1000000000000004E-003 0.122728
1 5.1999999999999998E-003 0.123912
1 5.3000000000000000E-003 0.125116
1 5.4000000000000003E-003 0.126267
1 5.4999999999999997E-003 0.127683
1 5.5999999999999999E-003 0.12886
1 5.7000000000000002E-003 0.129873
1 5.7999999999999996E-003 0.13102
1 5.8999999999999999E-003 0.132054
1 6.0000000000000001E-003 0.133113
1 6.1000000000000004E-003 0.134214
1 6.1999999999999998E-003 0.135304
1 6.3000000000000000E-003 0.136181
1 6.4000000000000003E-003 0.137194
1 6.4999999999999997E-003 0.138208
1 6.6000000000000000E-003 0.139266
1 6.7000000000000002E-003 0.140193
1 6.7999999999999996E-003 0.141152
1 6.8999999999999999E-003 0.142128
1 7.0000000000000001E-003 0.143128
1 7.1000000000000004E-003 0.144015
1 7.1999999999999998E-003 0.144962
1 7.3000000000000001E-003 0.145962
1 7.4000000000000003E-003 0.146924
1 7.4999999999999997E-003 0.147985
1 7.6000000000000000E-003 0.14889
1 7.7000000000000002E-003 0.150033
1 7.7999999999999996E-003 0.1509
1 7.9000000000000008E-003 0.151917
1 8.0000000000000002E-003 0.152716
1 8.0999999999999996E-003 0.153611
1 8.2000000000000007E-003 0.154568
1 8.3000000000000001E-003 0.155587
1 8.3999999999999995E-003 0.15652
1 8.5000000000000006E-003 0.157567
1 8.6000000000000000E-003 0.158472
1 8.6999999999999994E-003 0.159266
1 8.8000000000000005E-003 0.15998
1 8.8999999999999999E-003 0.16083
1 8.9999999999999993E-003 0.161694
1 9.1000000000000004E-003 0.162572
1 9.1999999999999998E-003 0.163546
1 9.2999999999999992E-003 0.164443
1 9.4000000000000004E-003 0.165336
1 9.4999999999999998E-003 0.166306
1 9.5999999999999992E-003 0.167202
1 9.7000000000000003E-003 0.168007
1 9.7999999999999997E-003 0.168838
1 9.9000000000000008E-003 0.16953
1 1.0000000000000000E-002 0.170285
1 1.0999999999999999E-002 0.178295
1 1.2000000000000000E-002 0.185767
1 1.2999999999999999E-002 0.193082
1 1.4000000000000000E-002 0.200018
1 1.4999999999999999E-002 0.2065
1 1.6000000000000000E-002 0.212755
1 1.7000000000000001E-002 0.218828
1 1.7999999999999999E-002 0.22464
1 1.9000000000000000E-002 0.230391
1 2.0000000000000000E-002 0.235905
1 2.1000000000000001E-002 0.241196
1 2.1999999999999999E-002 0.246724
1 2.3000000000000000E-002 0.25188
1 2.4000000000000000E-002 0.256722
1 2.5000000000000001E-002 0.261743
1 2.5999999999999999E-002 0.266624
1 2.7000000000000000E-002 0.271396
1 2.8000000000000001E-002 0.276131
1 2.9000000000000001E-002 0.280411
1 2.9999999999999999E-002 0.285161
1 3.1000000000000000E-002 0.289589
1 3.2000000000000001E-002 0.293947
1 3.3000000000000002E-002 0.2982
1 3.4000000000000002E-002 0.302455
1 3.5000000000000003E-002 0.306722
1 3.5999999999999997E-002 0.310839
1 3.6999999999999998E-002 0.315081
1 3.7999999999999999E-002 0.319186
1 3.9000000000000000E-002 0.323145
1 4.0000000000000001E-002 0.32718
1 4.1000000000000002E-002 0.331107
1 4.2000000000000003E-002 0.335298
1 4.2999999999999997E-002 0.339067
1 4.3999999999999997E-002 0.34297
1 4.4999999999999998E-002 0.346718
1 4.5999999999999999E-002 0.350449
1 4.7000000000000000E-002 0.354219
1 4.8000000000000001E-002 0.357945
1 4.9000000000000002E-002 0.361718
1 5.0000000000000003E-002 0.365369
1 5.0999999999999997E-002 0.369183
1 5.1999999999999998E-002 0.373123
1 5.2999999999999999E-002 0.376909
1 5.3999999999999999E-002 0.380578
1 5.5000000000000000E-002 0.384639
1 5.6000000000000001E-002 0.388144
1 5.7000000000000002E-002 0.391741
1 5.8000000000000003E-002 0.395496
1 5.8999999999999997E-002 0.399273
1 5.9999999999999998E-002 0.403139
1 6.0999999999999999E-002 0.406979
1 6.2000000000000000E-002 0.410682
1 6.3000000000000000E-002 0.414557
1 6.4000000000000001E-002 0.418399
1 6.5000000000000002E-002 0.422224
1 6.6000000000000003E-002 0.425853
1 6.7000000000000004E-002 0.4296
1 6.8000000000000005E-002 0.433386
1 6.9000000000000006E-002 0.437218
1 7.0000000000000007E-002 0.441037
1 7.0999999999999994E-002 0.444967
1 7.1999999999999995E-002 0.44905
1 7.2999999999999995E-002 0.452606
1 7.3999999999999996E-002 0.456343
1 7.4999999999999997E-002 0.460198
1 7.5999999999999998E-002 0.464159
1 7.6999999999999999E-002 0.468017
1 7.8000000000000000E-002 0.471659
1 7.9000000000000001E-002 0.475518
1 8.0000000000000002E-002 0.479415
1 8.1000000000000003E-002 0.483117
1 8.2000000000000003E-002 0.48697
1 8.3000000000000004E-002 0.490917
1 8.4000000000000005E-002 0.494911
1 8.5000000000000006E-002 0.49885
1 8.5999999999999993E-002 0.50258
1 8.6999999999999994E-002 0.506516
1 8.7999999999999995E-002 0.510389
