# J1-J2 AHM model
# L = 18, J = 1.0, Delta = 1.2
# Heatmap of integrated spin conductivity I(omega)
# alpha, omega, I(omega)

1 0.0000000000000000 4.74213e-06
1 9.9999999999999995E-007 8.1882e-06
1 1.9999999999999999E-006 9.25864e-06
1 3.0000000000000001E-006 9.4919e-06
1 3.9999999999999998E-006 1.218e-05
1 5.0000000000000004E-006 1.33385e-05
1 6.0000000000000002E-006 1.33385e-05
1 6.9999999999999999E-006 1.76618e-05
1 7.9999999999999996E-006 1.81925e-05
1 9.0000000000000002E-006 2.22748e-05
1 1.0000000000000001E-005 2.50469e-05
1 1.1000000000000000E-005 2.8268e-05
1 1.2000000000000000E-005 2.86723e-05
1 1.2999999999999999E-005 3.10764e-05
1 1.4000000000000000E-005 3.17844e-05
1 1.5000000000000000E-005 3.34427e-05
1 1.5999999999999999E-005 3.37961e-05
1 1.7000000000000000E-005 3.65901e-05
1 1.8000000000000000E-005 3.73396e-05
1 1.9000000000000001E-005 4.06707e-05
1 2.0000000000000002E-005 4.11109e-05
1 2.0999999999999999E-005 4.23482e-05
1 2.1999999999999999E-005 4.31588e-05
1 2.3000000000000000E-005 5.34032e-05
1 2.4000000000000001E-005 5.57434e-05
1 2.5000000000000001E-005 5.86005e-05
1 2.5999999999999998E-005 6.11712e-05
1 2.6999999999999999E-005 6.13912e-05
1 2.8000000000000000E-005 6.28969e-05
1 2.9000000000000000E-005 6.68861e-05
1 3.0000000000000001E-005 6.8492e-05
1 3.1000000000000001E-005 6.85712e-05
1 3.1999999999999999E-005 7.31529e-05
1 3.3000000000000003E-005 7.38167e-05
1 3.4000000000000000E-005 7.40016e-05
1 3.4999999999999997E-005 7.41759e-05
1 3.6000000000000001E-005 7.53251e-05
1 3.6999999999999998E-005 7.60582e-05
1 3.8000000000000002E-005 7.78837e-05
1 3.8999999999999999E-005 7.94276e-05
1 4.0000000000000003E-005 7.96312e-05
1 4.1000000000000000E-005 8.37619e-05
1 4.1999999999999998E-005 8.46628e-05
1 4.3000000000000002E-005 8.74526e-05
1 4.3999999999999999E-005 8.7696e-05
1 4.5000000000000003E-005 9.12001e-05
1 4.6000000000000000E-005 9.1313e-05
1 4.6999999999999997E-005 9.15216e-05
1 4.8000000000000001E-005 9.25783e-05
1 4.8999999999999998E-005 9.46516e-05
1 5.0000000000000002E-005 9.53618e-05
1 5.1000000000000000E-005 9.64147e-05
1 5.1999999999999997E-005 9.82822e-05
1 5.3000000000000001E-005 0.000103208
1 5.3999999999999998E-005 0.000107665
1 5.5000000000000002E-005 0.000107844
1 5.5999999999999999E-005 0.000109753
1 5.7000000000000003E-005 0.000111374
1 5.8000000000000000E-005 0.000112277
1 5.8999999999999998E-005 0.000112878
1 6.0000000000000002E-005 0.000113703
1 6.0999999999999999E-005 0.000119115
1 6.2000000000000003E-005 0.00012085
1 6.3000000000000000E-005 0.000121993
1 6.3999999999999997E-005 0.000123059
1 6.4999999999999994E-005 0.000123081
1 6.6000000000000005E-005 0.00012424
1 6.7000000000000002E-005 0.000125972
1 6.7999999999999999E-005 0.00012743
1 6.8999999999999997E-005 0.000130714
1 6.9999999999999994E-005 0.000130744
1 7.1000000000000005E-005 0.000132557
1 7.2000000000000002E-005 0.000137762
1 7.2999999999999999E-005 0.000141881
1 7.3999999999999996E-005 0.000142272
1 7.4999999999999993E-005 0.000143722
1 7.6000000000000004E-005 0.000145686
1 7.7000000000000001E-005 0.000146104
1 7.7999999999999999E-005 0.000151277
1 7.8999999999999996E-005 0.00015918
1 8.0000000000000007E-005 0.000160101
1 8.1000000000000004E-005 0.000160384
1 8.2000000000000001E-005 0.00016138
1 8.2999999999999998E-005 0.000161457
1 8.3999999999999995E-005 0.000165421
1 8.5000000000000006E-005 0.000166563
1 8.6000000000000003E-005 0.00016894
1 8.7000000000000001E-005 0.00016957
1 8.7999999999999998E-005 0.000172838
1 8.8999999999999995E-005 0.000175641
1 9.0000000000000006E-005 0.000177445
1 9.1000000000000003E-005 0.000177871
1 9.2000000000000000E-005 0.000180462
1 9.2999999999999997E-005 0.00018131
1 9.3999999999999994E-005 0.000186168
1 9.5000000000000005E-005 0.000190166
1 9.6000000000000002E-005 0.000191383
1 9.7000000000000000E-005 0.000196193
1 9.7999999999999997E-005 0.000197645
1 9.8999999999999994E-005 0.000201747
1 1.0000000000000000E-004 0.000203827
1 1.1000000000000000E-004 0.000214475
1 1.2000000000000000E-004 0.000234128
1 1.2999999999999999E-004 0.000247472
1 1.3999999999999999E-004 0.000263055
1 1.4999999999999999E-004 0.000278225
1 1.6000000000000001E-004 0.000291798
1 1.7000000000000001E-004 0.000310077
1 1.8000000000000001E-004 0.00033711
1 1.9000000000000001E-004 0.000351017
1 2.0000000000000001E-004 0.000356009
1 2.1000000000000001E-004 0.000370435
1 2.2000000000000001E-004 0.000382868
1 2.3000000000000001E-004 0.000398101
1 2.4000000000000001E-004 0.000412045
1 2.5000000000000001E-004 0.000421602
1 2.5999999999999998E-004 0.000440685
1 2.7000000000000000E-004 0.000458231
1 2.7999999999999998E-004 0.000469885
1 2.9000000000000000E-004 0.000501053
1 2.9999999999999997E-004 0.000516991
1 3.1000000000000000E-004 0.000530857
1 3.2000000000000003E-004 0.000547617
1 3.3000000000000000E-004 0.000573269
1 3.4000000000000002E-004 0.000591468
1 3.5000000000000000E-004 0.000604944
1 3.6000000000000002E-004 0.000619276
1 3.6999999999999999E-004 0.000633261
1 3.8000000000000002E-004 0.000652925
1 3.8999999999999999E-004 0.000672645
1 4.0000000000000002E-004 0.000688397
1 4.0999999999999999E-004 0.000699818
1 4.2000000000000002E-004 0.000706314
1 4.2999999999999999E-004 0.000722805
1 4.4000000000000002E-004 0.000748445
1 4.4999999999999999E-004 0.000758917
1 4.6000000000000001E-004 0.000775692
1 4.6999999999999999E-004 0.000785007
1 4.8000000000000001E-004 0.000796048
1 4.8999999999999998E-004 0.000822834
1 5.0000000000000001E-004 0.000839216
1 5.1000000000000004E-004 0.000855376
1 5.1999999999999995E-004 0.000877184
1 5.2999999999999998E-004 0.000892825
1 5.4000000000000001E-004 0.000907438
1 5.5000000000000003E-004 0.000919478
1 5.5999999999999995E-004 0.000946498
1 5.6999999999999998E-004 0.000958311
1 5.8000000000000000E-004 0.000981256
1 5.9000000000000003E-004 0.00099936
1 5.9999999999999995E-004 0.00101171
1 6.0999999999999997E-004 0.00103422
1 6.2000000000000000E-004 0.0010541
1 6.3000000000000003E-004 0.00106765
1 6.4000000000000005E-004 0.00109057
1 6.4999999999999997E-004 0.00110606
1 6.6000000000000000E-004 0.00112643
1 6.7000000000000002E-004 0.00114369
1 6.8000000000000005E-004 0.00116853
1 6.8999999999999997E-004 0.00118331
1 6.9999999999999999E-004 0.00120046
1 7.1000000000000002E-004 0.00121343
1 7.2000000000000005E-004 0.00122761
1 7.2999999999999996E-004 0.00123795
1 7.3999999999999999E-004 0.00125001
1 7.5000000000000002E-004 0.00127768
1 7.6000000000000004E-004 0.00129172
1 7.6999999999999996E-004 0.0013022
1 7.7999999999999999E-004 0.00131174
1 7.9000000000000001E-004 0.00133879
1 8.0000000000000004E-004 0.00134743
1 8.0999999999999996E-004 0.00136029
1 8.1999999999999998E-004 0.00137889
1 8.3000000000000001E-004 0.00139893
1 8.4000000000000003E-004 0.00141453
1 8.4999999999999995E-004 0.00142694
1 8.5999999999999998E-004 0.00143541
1 8.7000000000000001E-004 0.00145223
1 8.8000000000000003E-004 0.00147823
1 8.8999999999999995E-004 0.00148946
1 8.9999999999999998E-004 0.00150064
1 9.1000000000000000E-004 0.00151937
1 9.2000000000000003E-004 0.00153137
1 9.3000000000000005E-004 0.00154618
1 9.3999999999999997E-004 0.00156068
1 9.5000000000000000E-004 0.00157188
1 9.6000000000000002E-004 0.00158099
1 9.7000000000000005E-004 0.00160556
1 9.7999999999999997E-004 0.00161998
1 9.8999999999999999E-004 0.00164328
1 1.0000000000000000E-003 0.00166589
1 1.1000000000000001E-003 0.00183636
1 1.1999999999999999E-003 0.00201133
1 1.2999999999999999E-003 0.00218269
1 1.4000000000000000E-003 0.00235072
1 1.5000000000000000E-003 0.00254406
1 1.6000000000000001E-003 0.00269303
1 1.6999999999999999E-003 0.00285686
1 1.8000000000000000E-003 0.00299883
1 1.9000000000000000E-003 0.00317567
1 2.0000000000000000E-003 0.00332737
1 2.0999999999999999E-003 0.00349288
1 2.2000000000000001E-003 0.0036692
1 2.3000000000000000E-003 0.0038216
1 2.3999999999999998E-003 0.00397465
1 2.5000000000000001E-003 0.00413722
1 2.5999999999999999E-003 0.00428665
1 2.7000000000000001E-003 0.00448393
1 2.8000000000000000E-003 0.00465629
1 2.8999999999999998E-003 0.00482195
1 3.0000000000000001E-003 0.00500603
1 3.0999999999999999E-003 0.00515962
1 3.2000000000000002E-003 0.0053272
1 3.3000000000000000E-003 0.00549337
1 3.3999999999999998E-003 0.00565239
1 3.5000000000000001E-003 0.00581605
1 3.5999999999999999E-003 0.00599538
1 3.7000000000000002E-003 0.00617734
1 3.8000000000000000E-003 0.00633543
1 3.8999999999999998E-003 0.00651752
1 4.0000000000000001E-003 0.0066959
1 4.1000000000000003E-003 0.00689091
1 4.1999999999999997E-003 0.00705019
1 4.3000000000000000E-003 0.00723747
1 4.4000000000000003E-003 0.00742326
1 4.4999999999999997E-003 0.00761028
1 4.5999999999999999E-003 0.00776204
1 4.7000000000000002E-003 0.00793594
1 4.7999999999999996E-003 0.00810921
1 4.8999999999999998E-003 0.00826614
1 5.0000000000000001E-003 0.00846282
1 5.1000000000000004E-003 0.00865014
1 5.1999999999999998E-003 0.00883426
1 5.3000000000000000E-003 0.00902125
1 5.4000000000000003E-003 0.00917208
1 5.4999999999999997E-003 0.00932757
1 5.5999999999999999E-003 0.00948423
1 5.7000000000000002E-003 0.00964563
1 5.7999999999999996E-003 0.00979129
1 5.8999999999999999E-003 0.00996725
1 6.0000000000000001E-003 0.0101161
1 6.1000000000000004E-003 0.0102881
1 6.1999999999999998E-003 0.0104636
1 6.3000000000000000E-003 0.0106648
1 6.4000000000000003E-003 0.0108505
1 6.4999999999999997E-003 0.0110141
1 6.6000000000000000E-003 0.0111755
1 6.7000000000000002E-003 0.0113552
1 6.7999999999999996E-003 0.0115259
1 6.8999999999999999E-003 0.0116683
1 7.0000000000000001E-003 0.0118079
1 7.1000000000000004E-003 0.011992
1 7.1999999999999998E-003 0.0122103
1 7.3000000000000001E-003 0.012377
1 7.4000000000000003E-003 0.0125541
1 7.4999999999999997E-003 0.0126909
1 7.6000000000000000E-003 0.0128316
1 7.7000000000000002E-003 0.0129819
1 7.7999999999999996E-003 0.0131418
1 7.9000000000000008E-003 0.0133132
1 8.0000000000000002E-003 0.0134989
1 8.0999999999999996E-003 0.0136466
1 8.2000000000000007E-003 0.0138406
1 8.3000000000000001E-003 0.0139999
1 8.3999999999999995E-003 0.0141821
1 8.5000000000000006E-003 0.0143461
1 8.6000000000000000E-003 0.0145066
1 8.6999999999999994E-003 0.014682
1 8.8000000000000005E-003 0.0148835
1 8.8999999999999999E-003 0.0150758
1 8.9999999999999993E-003 0.0152694
1 9.1000000000000004E-003 0.0154366
1 9.1999999999999998E-003 0.015602
1 9.2999999999999992E-003 0.0157774
1 9.4000000000000004E-003 0.0159673
1 9.4999999999999998E-003 0.016138
1 9.5999999999999992E-003 0.0162993
1 9.7000000000000003E-003 0.0164892
1 9.7999999999999997E-003 0.0166814
1 9.9000000000000008E-003 0.0168453
1 1.0000000000000000E-002 0.0170221
1 1.0999999999999999E-002 0.0186818
1 1.2000000000000000E-002 0.0204158
1 1.2999999999999999E-002 0.0220545
1 1.4000000000000000E-002 0.0237706
1 1.4999999999999999E-002 0.0255081
1 1.6000000000000000E-002 0.027178
1 1.7000000000000001E-002 0.0289435
1 1.7999999999999999E-002 0.0306026
1 1.9000000000000000E-002 0.0323022
1 2.0000000000000000E-002 0.0339863
1 2.1000000000000001E-002 0.0356921
1 2.1999999999999999E-002 0.0373922
1 2.3000000000000000E-002 0.0390036
1 2.4000000000000000E-002 0.0407391
1 2.5000000000000001E-002 0.0424631
1 2.5999999999999999E-002 0.0441992
1 2.7000000000000000E-002 0.0459696
1 2.8000000000000001E-002 0.0476924
1 2.9000000000000001E-002 0.0493506
1 2.9999999999999999E-002 0.0510876
1 3.1000000000000000E-002 0.0528077
1 3.2000000000000001E-002 0.0545549
1 3.3000000000000002E-002 0.0563005
1 3.4000000000000002E-002 0.0580617
