# long range Heisenberg model
# L = 18, J = 1.0, Delta = 0.50, Alpha = 2.0
# Contribution of Si to the sum rule for spin conductivity vs corresponding frequency
# omega_i, Si  

1996.66 0.15679415062821883
2783.67 8.7551879048675438E-002
3127.36 6.1125573355018864E-002
3582.5 4.7399668201566658E-002
3891.64 3.8765969276309632E-002
4142.1 3.2812444796996569E-002
4385.87 2.8358555064488138E-002
4667.54 2.4972237734762499E-002
4851.24 2.2219917674431433E-002
5159.83 2.0025601718918221E-002
5362.53 1.8204488537841720E-002
5631.77 1.6659637748673690E-002
5839.36 1.5330027891440884E-002
6046.05 1.4175065499955524E-002
6253.81 1.3172248618149847E-002
6448.44 1.2281736789275586E-002
6736.17 1.1488851737753018E-002
6928.89 1.0777599719134600E-002
7083.71 1.0141673736189148E-002
7352.29 9.5620574083469263E-003
7543.18 9.0324189365409979E-003
7725.96 8.5549514043151958E-003
8105.41 8.1159617880601203E-003
8267.35 7.7130045846994389E-003
8484.62 7.3437722716521081E-003
8661.63 7.0067849992420045E-003
9035.47 6.6878445550770868E-003
9085.49 6.3947712682446197E-003
9235.57 6.1246080644794957E-003
9527.92 5.8737445782469444E-003
9798.69 5.6374054556304213E-003
9922.41 5.4163773414073347E-003
10162.9 5.2092772383104807E-003
10319 5.0167450825766039E-003
10691.2 4.8351389106301270E-003
10770.9 4.6614701371552507E-003
11068 4.4980203223624641E-003
11211.6 4.3443682836232659E-003
11389.7 4.1987586823470941E-003
11754.3 4.0600164789889323E-003
11946.2 3.9308325419401937E-003
12160.8 3.8081198426421822E-003
12288.9 3.6910974827238322E-003
12452.7 3.5791276181349743E-003
12803.5 3.4722100839887321E-003
12844.8 3.3706224793614934E-003
13042 3.2735418011915506E-003
13319.6 3.1810681662044369E-003
13336.9 3.0917529281896065E-003
13616.3 3.0077936241787030E-003
13828.2 2.9263538485856540E-003
13987.2 2.8488154941004682E-003
14382.5 2.7756328354011316E-003
14323.2 2.7051313942164927E-003
14589.8 2.6367312252475613E-003
14745 2.5715890815404293E-003
14973.6 2.5088881193830385E-003
14908.1 2.4490013960136621E-003
15358.6 2.3904446056525748E-003
15439 2.3347053757862141E-003
15628.6 2.2809649515269353E-003
15832.3 2.2293646524459906E-003
15944.1 2.1790609292656046E-003
16210.3 2.1309976321500839E-003
16309.1 2.0842633992493613E-003
16436.3 2.0388793358570557E-003
16631.6 1.9953855490138905E-003
16888.8 1.9539945308423719E-003
17030.8 1.9134743803480327E-003
17010 1.8744490962273911E-003
17280.7 1.8368185560695028E-003
17317.5 1.7997397933520664E-003
17636.2 1.7640353745399511E-003
17712.2 1.7286084950683958E-003
17872.8 1.6945571854564256E-003
18099.6 1.6618629748286760E-003
18171.9 1.6298750346644376E-003
18247.4 1.5990987460549491E-003
18504.1 1.5694694648381359E-003
18793.2 1.5404515015926461E-003
18870.3 1.5122447483524918E-003
18981.9 1.4852533718553065E-003
19073.6 1.4583718403231253E-003
19177.1 1.4327801867641719E-003
19401.9 1.4073532474625124E-003
19608.1 1.3830697847765309E-003
19640.1 1.3591922609404487E-003
19880.9 1.3361280063782723E-003
19777.4 1.3131877996031757E-003
20116.5 1.2906653211882063E-003
20199.1 1.2691366023607645E-003
20442.8 1.2481443221575702E-003
20426.6 1.2277325900143920E-003
20486.2 1.2078541066865317E-003
20682.4 1.1883651770602020E-003
20972.8 1.1695417725425949E-003
21021.9 1.1511282392540896E-003
21144.6 1.1331347586926496E-003
21354 1.1155310549524017E-003
21385 1.0982916933458520E-003
21490.7 1.0813171233680736E-003
21731.2 1.0649313612865229E-003
21711.2 1.0486908233781193E-003
22124.4 1.0330892793459754E-003
22014.4 1.0178172620669008E-003
22321.1 1.0028632072344450E-003
22349 9.8797135143218612E-004
22456.7 9.7364615645036449E-004
22770.8 9.5950479500061148E-004
22697 9.4575916980152127E-004
22943 9.3238609300461909E-004
22844.4 9.1919636948411306E-004
23053.6 9.0604678832396641E-004
23218.7 8.9333634080390929E-004
23218.2 8.8105043920340225E-004
23433 8.6895892198789312E-004
23462.4 8.5699520197889828E-004
23660.7 8.4534449075282622E-004
23755.2 8.3394098009892989E-004
23744.6 8.2281953439209256E-004
23900.7 8.1170365730417614E-004
24165.9 8.0088400828641146E-004
24338.1 7.9031085111359075E-004
24488.1 7.7995964710784159E-004
24573.5 7.6973590495858259E-004
24523.2 7.5968505582976341E-004
24738.4 7.4986654651590726E-004
24811.5 7.4028914453110875E-004
25082.3 7.3082292047775294E-004
24968.7 7.2156529845612783E-004
25084 7.1244609609906484E-004
25255.6 7.0349346508127245E-004
25310.8 6.9459581374036795E-004
25465.5 6.8601105905843277E-004
25430.2 6.7760179886495531E-004
25774.3 6.6926264499630160E-004
25732.5 6.6108196516907248E-004
26049.8 6.5300726269797464E-004
26101.2 6.4507078438854303E-004
26029.3 6.3735760013629533E-004
26082.6 6.2977476456973667E-004
26214.7 6.2225009464434821E-004
26525.4 6.1488991106327731E-004
26631.4 6.0763084690960132E-004
26450.1 6.0040386003819117E-004
26585.7 5.9340130445650907E-004
26879.5 5.8651215126391814E-004
26951.1 5.7966385103088239E-004
27026.7 5.7291846603597951E-004
27167.6 5.6629103073257904E-004
27089.7 5.5984172368707711E-004
27390.7 5.5347855304680674E-004
27330.4 5.4713378181053568E-004
27364.2 5.4101372097319078E-004
27588.6 5.3492347129318522E-004
27599.1 5.2891488073971208E-004
27730.9 5.2303009136910885E-004
28067.6 5.1719177627190533E-004
27966.4 5.1143512100314996E-004
28032.5 5.0581180225949213E-004
28329.1 5.0031729034015514E-004
28305.3 4.9486606564802104E-004
28406 4.8950574120791047E-004
28484.5 4.8421365027453739E-004
28583.5 4.7903248392008267E-004
28571.2 4.7387747937403400E-004
28680.3 4.6877359395715008E-004
28906.2 4.6378538832502907E-004
28960.4 4.5891474411216586E-004
29067.2 4.5407875142455806E-004
29041.7 4.4933119824953048E-004
29328.8 4.4461490353428685E-004
29361.5 4.4001176153798488E-004
29246 4.3545265199839268E-004
29478.6 4.3093839390831277E-004
29630.8 4.2649463311134316E-004
29683.4 4.2211340458000866E-004
29810.8 4.1778023094006663E-004
29778.5 4.1347244392853078E-004
29958.5 4.0926218401171247E-004
30126.6 4.0510245522227314E-004
30073.4 4.0100123846442025E-004
30254.5 3.9697963239120895E-004
30297.4 3.9300708145025741E-004
30559.7 3.8905501029129421E-004
30674.3 3.8514941283225828E-004
30646.4 3.8128123058780452E-004
30754 3.7746403121062105E-004
30768.6 3.7378296530175272E-004
30877 3.7008998837618573E-004
30962.8 3.6648660663630235E-004
30928.9 3.6288663550263406E-004
