# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the projection of I3 on A3 (cf. Chapter V in the paper)
# Alpha, Delta, Projection

2.00 0 4.377566061319193014e-01
2.10 0 1.895642049536189829e-28
2.20 0 1.383293672668069841e-29
2.30 0 0.000000000000000000e+00
2.40 0 0.000000000000000000e+00
2.50 0 1.611950930757942899e-30
2.60 0 7.155659811142227702e-28
2.70 0 3.566950468343339294e-30
2.80 0 0.000000000000000000e+00
2.90 0 2.177657077770160071e-30
3.00 0 0.000000000000000000e+00
3.10 0 0.000000000000000000e+00
3.20 0 0.000000000000000000e+00
3.30 0 0.000000000000000000e+00
3.40 0 0.000000000000000000e+00
3.50 0 2.065357635831341130e-28
3.60 0 3.773203963110703267e-30
3.70 0 9.647804721800063647e-30
3.80 0 1.243607834734445492e-29
3.90 0 0.000000000000000000e+00
4.00 0 0.000000000000000000e+00
4.10 0 0.000000000000000000e+00
4.20 0 0.000000000000000000e+00
4.30 0 0.000000000000000000e+00
4.40 0 0.000000000000000000e+00
4.50 0 0.000000000000000000e+00
4.60 0 2.081182066479937917e-30
4.70 0 3.190596920779870196e-30
4.80 0 0.000000000000000000e+00
4.90 0 1.327271812591560953e-28
5.00 0 0.000000000000000000e+00
 
2.00 0.1 1.165254852163258445e-30
2.10 0.1 7.684875806658855672e-30
2.20 0.1 3.845038950199791782e-30
2.30 0.1 2.109710882043868288e-30
2.40 0.1 2.226023776383095752e-30
2.50 0.1 4.314267409698865565e-30
2.60 0.1 7.547346675046172742e-30
2.70 0.1 0.000000000000000000e+00
2.80 0.1 0.000000000000000000e+00
2.90 0.1 0.000000000000000000e+00
3.00 0.1 0.000000000000000000e+00
3.10 0.1 0.000000000000000000e+00
3.20 0.1 1.163478388146027435e-28
3.30 0.1 6.575827923996074888e-30
3.40 0.1 0.000000000000000000e+00
3.50 0.1 1.183819123213798991e-28
3.60 0.1 1.807886942488321441e-26
3.70 0.1 5.893549014349431792e-01
3.80 0.1 6.014516456708751679e-01
3.90 0.1 6.317057387246244327e-01
4.00 0.1 6.463420832131524518e-01
4.10 0.1 6.433965141440025626e-01
4.20 0.1 6.347080289155551114e-01
4.30 0.1 6.537174345818228538e-01
4.40 0.1 7.610780739364058078e-01
4.50 0.1 8.132129435087783742e-01
4.60 0.1 7.704756611567395996e-01
4.70 0.1 7.551241793243398392e-01
4.80 0.1 7.375186920005264435e-01
4.90 0.1 7.335228494844848735e-01
5.00 0.1 7.169234317725104999e-01
 
2.00 0.2 7.943490530978683473e-26
2.10 0.2 6.190174992498068266e-27
2.20 0.2 3.499681471574048469e-30
2.30 0.2 0.000000000000000000e+00
2.40 0.2 1.194028537969327720e-29
2.50 0.2 2.153661672126265566e-30
2.60 0.2 1.416209145625384525e-28
2.70 0.2 1.549152610430515075e-28
2.80 0.2 2.274584992303881899e-25
2.90 0.2 3.968183916040292636e-01
3.00 0.2 4.841720036040713659e-01
