# long range Heisenberg model
# L = 16, J = 1.0
# Heatmap of the stifness of I1 (cf. Chapter V in the paper)
# Alpha, Delta, stifness

2.00 0 4.419405392068903038e-01
2.10 0 4.740800561562977800e-01
2.20 0 4.988963181956017068e-01
2.30 0 5.264061579382658396e-01
2.40 0 5.492590677897276619e-01
2.50 0 5.801117013924287358e-01
2.60 0 6.079041380180936205e-01
2.70 0 6.287842183999681200e-01
2.80 0 6.499013414355632179e-01
2.90 0 6.670450303703306938e-01
3.00 0 6.863414520595868540e-01
3.10 0 7.013073145259849372e-01
3.20 0 7.124975969300449963e-01
3.30 0 7.281448833121775266e-01
3.40 0 7.397207253103973423e-01
3.50 0 7.516907088956409355e-01
3.60 0 7.613773588016055083e-01
3.70 0 7.662353822794154556e-01
3.80 0 7.694123013678251244e-01
3.90 0 7.729435916038298604e-01
4.00 0 7.780673846956943640e-01
4.10 0 7.823335211474153894e-01
4.20 0 7.868633793583499347e-01
4.30 0 7.895358491269564016e-01
4.40 0 7.916510895062716102e-01
4.50 0 7.934692956772374517e-01
4.60 0 7.955447621975838546e-01
4.70 0 7.973786091844018431e-01
4.80 0 7.990241131458222235e-01
4.90 0 8.005347223024512626e-01
5.00 0 8.019255654634978026e-01
 
2.00 0.1 4.809865941118212085e-01
2.10 0.1 5.108304662003441132e-01
2.20 0.1 5.463276174315160327e-01
2.30 0.1 5.788322003959437412e-01
2.40 0.1 6.062497646673886686e-01
2.50 0.1 6.333099607747745274e-01
2.60 0.1 6.476108888691467502e-01
2.70 0.1 6.662880631735954573e-01
2.80 0.1 6.891684545509658699e-01
2.90 0.1 7.161161367772811426e-01
3.00 0.1 7.277479381317871754e-01
3.10 0.1 7.352959246737935661e-01
3.20 0.1 7.432046981119643236e-01
3.30 0.1 7.468244385304709798e-01
3.40 0.1 7.521843740481712892e-01
3.50 0.1 7.607190957382489183e-01
3.60 0.1 7.640797732660843389e-01
3.70 0.1 7.717784704622685510e-01
3.80 0.1 7.786677569270983312e-01
3.90 0.1 7.890605188637013212e-01
4.00 0.1 7.933596901571791093e-01
4.10 0.1 7.997155395059822869e-01
4.20 0.1 8.036105359371831236e-01
4.30 0.1 8.039665132524457247e-01
4.40 0.1 8.063354611055025822e-01
4.50 0.1 8.092570192920288674e-01
4.60 0.1 8.160096210050413745e-01
4.70 0.1 8.169729993661241085e-01
4.80 0.1 8.202098215940887282e-01
4.90 0.1 8.147941168100590881e-01
5.00 0.1 8.178880696471597656e-01
 
2.00 0.2 5.306366068418399973e-01
2.10 0.2 5.631870729110820539e-01
2.20 0.2 6.019133674388573718e-01
2.30 0.2 6.269464204098811333e-01
2.40 0.2 6.470531543471779168e-01
2.50 0.2 6.673158369795819667e-01
2.60 0.2 6.933311131600474742e-01
2.70 0.2 7.140229928699656226e-01
2.80 0.2 7.317599981070018744e-01
2.90 0.2 7.463725664008458160e-01
3.00 0.2 7.551314868248989454e-01
3.10 0.2 7.612835139557979636e-01
3.20 0.2 7.739002309179624506e-01
3.30 0.2 7.911299536976003077e-01
3.40 0.2 7.948661169114944469e-01
3.50 0.2 7.965797991938610156e-01
3.60 0.2 7.995121547541728102e-01
3.70 0.2 8.100614070213421058e-01
3.80 0.2 8.131054979866889632e-01
3.90 0.2 8.090052161288818766e-01
4.00 0.2 8.120058220698723739e-01
4.10 0.2 8.097940212136859328e-01
4.20 0.2 8.045169926856060583e-01
4.30 0.2 8.153842877641735987e-01
4.40 0.2 8.213393436223174193e-01
4.50 0.2 8.237598690443750371e-01
4.60 0.2 8.252850382194414358e-01
4.70 0.2 8.257442141062298901e-01
4.80 0.2 8.236485682664755892e-01
4.90 0.2 8.239972834415493219e-01
5.00 0.2 8.246895882194644756e-01
 
2.00 0.3 5.765310629425770550e-01
2.10 0.3 6.085880853000297241e-01
2.20 0.3 6.391882939637153482e-01
2.30 0.3 6.736732454229940048e-01
2.40 0.3 6.863116734146910147e-01
2.50 0.3 7.104242154216927618e-01
2.60 0.3 7.264942823521730597e-01
2.70 0.3 7.498626391494453980e-01
2.80 0.3 7.623987003403053242e-01
2.90 0.3 7.791728184399746571e-01
3.00 0.3 7.838071496906879876e-01
3.10 0.3 7.889993621073378982e-01
3.20 0.3 7.972405854703988881e-01
3.30 0.3 8.020421961152096602e-01
3.40 0.3 7.990018067490305409e-01
3.50 0.3 8.062863982349790515e-01
3.60 0.3 8.133722540087562347e-01
3.70 0.3 8.084593384790901283e-01
3.80 0.3 8.063684046328565280e-01
3.90 0.3 8.106118832729813928e-01
4.00 0.3 8.201130846717504808e-01
4.10 0.3 8.247502634263661481e-01
4.20 0.3 8.223841276769041642e-01
4.30 0.3 8.215593186443852503e-01
4.40 0.3 8.250030845394563661e-01
4.50 0.3 8.241636128851526077e-01
4.60 0.3 8.252011479782389580e-01
4.70 0.3 8.253467992289147404e-01
4.80 0.3 8.221985615699343164e-01
4.90 0.3 8.223075588407853243e-01
5.00 0.3 8.244513226487816260e-01
 
2.00 0.4 6.270819523956620012e-01
2.10 0.4 6.577739796909534142e-01
2.20 0.4 6.779446093383982852e-01
2.30 0.4 7.033336548431050606e-01
2.40 0.4 7.328707645834320328e-01
2.50 0.4 7.494090242918968192e-01
2.60 0.4 7.695733973471596823e-01
2.70 0.4 7.777695162708196941e-01
2.80 0.4 7.803475964172942314e-01
2.90 0.4 7.940038974845348152e-01
3.00 0.4 7.988425488510364492e-01
3.10 0.4 7.971633074266846197e-01
3.20 0.4 8.058767131524259275e-01
3.30 0.4 8.081616329965671808e-01
3.40 0.4 8.005144265825363536e-01
3.50 0.4 8.072543746136254805e-01
3.60 0.4 8.152786279675171555e-01
3.70 0.4 8.165203751264680232e-01
3.80 0.4 8.199553016469842692e-01
3.90 0.4 8.159207017154298525e-01
4.00 0.4 8.115853344764448751e-01
4.10 0.4 8.143216789041491932e-01
4.20 0.4 8.173975689298147440e-01
4.30 0.4 8.160540350723736180e-01
