delta*U,1/t3+,1/t3-,1/t4-,1/t4+
2.890000000000000555e-02,5.948486110284932453e-04,3.831417624521075288e-02,3.690036900369005751e-02,2.363507445048452019e-03
3.610000000000000014e-02,9.802960494069209042e-04,4.329004329004332297e-02,4.149377593360998456e-02,3.859513701273640032e-03
4.000000000000000777e-02,1.225340031858840979e-03,4.524886877828057652e-02,4.329004329004332297e-02,4.782400765184123548e-03
4.839999999999999858e-02,1.837897445322551416e-03,5.235602094240841831e-02,4.975124378109456458e-02,7.037297677691767804e-03
5.759999999999999842e-02,2.630886608787161556e-03,5.847953216374274926e-02,5.524861878453043995e-02,9.891196834817015532e-03
6.760000000000000731e-02,3.621876131836291451e-03,6.211180124223608656e-02,5.847953216374274926e-02,1.314060446780552192e-02
7.840000000000001135e-02,4.828585224529213620e-03,6.622516556291398182e-02,6.622516556291398182e-02,1.692047377326565821e-02
8.999999999999999667e-02,6.285355122564425905e-03,7.633587786259551922e-02,7.092198581560292536e-02,2.123142250530786479e-02
1.089000000000000107e-01,8.920606601248886811e-03,8.264462809917366704e-02,7.633587786259551922e-02,2.849002849002850446e-02
1.295999999999999930e-01,1.203369434416366041e-02,9.009009009009022462e-02,9.009009009009022462e-02,3.690036900369005751e-02
1.521000000000000130e-01,1.584786053882726239e-02,9.900990099009916723e-02,9.900990099009916723e-02,4.524886877828057652e-02
1.763999999999999735e-01,2.036659877800408094e-02,1.136363636363638269e-01,1.098901098901100826e-01,5.524861878453043995e-02
2.025000000000000133e-01,2.557544757033249419e-02,1.234567901234569914e-01,1.190476190476192492e-01,6.622516556291398182e-02
2.400999999999999801e-01,3.322259136212626224e-02,1.369863013698632004e-01,1.333333333333335258e-01,7.633587786259551922e-02
2.809000000000000385e-01,4.149377593360998456e-02,1.515151515151516581e-01,1.470588235294119361e-01,9.009009009009022462e-02
3.248999999999999666e-01,5.235602094240841831e-02,1.666666666666668239e-01,1.587301587301588879e-01,1.136363636363638269e-01
3.844000000000000195e-01,6.622516556291398182e-02,1.851851851851852859e-01,1.785714285714286864e-01,1.351351351351353369e-01
4.489000000000000767e-01,8.264462809917366704e-02,2.040816326530612845e-01,1.960784313725491002e-01,1.587301587301588879e-01
5.328999999999999293e-01,9.900990099009916723e-02,2.272727272727272652e-01,2.173913043478261087e-01,1.851851851851852859e-01
6.241000000000000991e-01,1.298701298701300522e-01,2.499999999999998890e-01,2.380952380952380265e-01,2.173913043478261087e-01
7.224999999999999201e-01,1.562500000000001665e-01,2.777777777777776236e-01,2.631578947368419796e-01,2.439024390243901552e-01
8.464000000000000412e-01,1.923076923076923739e-01,3.030303030303028167e-01,2.941176470588233727e-01,2.857142857142855319e-01
1.000000000000000000e+00,2.380952380952380265e-01,3.448275862068964637e-01,3.225806451612902026e-01,3.225806451612902026e-01
