,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.05,,,,,,,0.9320766008378216,0.8780395658744332,0.8173097980815558,0.7626909198754387,0.6919036940871003,0.6295883586785528,0.5680848036425726,0.5189104007203963,0.4722832914572865,0.427492692432608,0.3933559209982646,0.3651685393258427,0.33696938948080496,0.31842304776345715
U_0.10,,,,0.9786504597163784,0.9501640038091208,0.9105193516374464,0.8574333483958427,0.7997747113489158,0.7352941176470588,0.6725468577728776,0.6045949214026601,0.5428694528220595,0.4839439167797377,0.4317221961520413,0.38259206121472983,0.3412969283276451,0.3069744597249509,0.27349577324714075,0.24799599198396793,0.21989005497251374
U_0.15,,,0.9865605776945708,0.9630187416331996,0.9281883194278903,0.8840515326521545,0.8274021352313166,0.7675597393193339,0.7052896725440806,0.6442577030812325,0.5852674066599395,0.5155746509129968,0.4631696428571429,0.4099307159353349,0.3642773207990599,0.3210463733650416,0.2888086642599278,0.2557856272838002,0.23142509135200973,0.19975786924939468
U_0.20,,0.9940142638818134,0.9780408036131445,0.9482167352537723,0.9120046620046619,0.8636748518204912,0.7991120976692564,0.7422402159244265,0.686427457098284,0.6196213425129088,0.5545286506469501,0.5088062622309197,0.44806517311608957,0.395010395010395,0.3540772532188841,0.31798245614035087,0.2741228070175438,0.25219298245614036,0.22172949002217293,0.19955654101995565
U_0.25,,0.9896077146334614,0.96824942791762,0.935502614758861,0.8943862987630828,0.8355978260869565,0.7685512367491167,0.7188841201716739,0.6527093596059114,0.5929919137466307,0.5346820809248555,0.4754601226993865,0.4272151898734177,0.39867109634551495,0.3547297297297297,0.30927835051546393,0.274914089347079,0.24054982817869414,0.20618556701030927,0.1923076923076923
U_0.30,,0.9865630564999192,0.9623923878568191,0.9249779346866726,0.8764204545454546,0.8183652875882946,0.7416879795396419,0.6853582554517134,0.6405693950177935,0.56640625,0.5296610169491525,0.46460176991150437,0.4072398190045249,0.3791469194312796,0.3317535545023697,0.3155339805825243,0.26699029126213597,0.24875621890547267,0.1990049751243781,0.1990049751243781
U_0.35,0.9977501695644262,0.9832078034325227,0.9550488599348536,0.9125546533416614,0.857847976307996,0.7983425414364641,0.734982332155477,0.6743215031315242,0.6199524940617578,0.5561497326203207,0.5043227665706052,0.4561933534743203,0.391566265060241,0.3525641025641026,0.33112582781456956,0.2884615384615385,0.26490066225165565,0.23972602739726032,0.19867549668874177,0.19867549668874177
U_0.40,0.9968688200395518,0.9796355841371917,0.9470077661032434,0.8999999999999999,0.8423127463863338,0.7749077490774907,0.7136258660508082,0.6493150684931508,0.5835962145110409,0.5294117647058824,0.4833948339483395,0.43083003952569177,0.3902439024390244,0.3529411764705883,0.34166666666666673,0.29613733905579404,0.2796610169491525,0.23684210526315794,0.2260869565217391,0.21551724137931036
U_0.45,0.9959554271564176,0.9759803921568628,0.9406060606060606,0.8890122086570477,0.8247422680412371,0.7541371158392435,0.6826347305389222,0.6210526315789475,0.5703125,0.5000000000000001,0.4703196347031963,0.4312796208530805,0.38916256157635465,0.3505154639175258,0.30107526881720426,0.28723404255319146,0.2804232804232804,0.22651933701657453,0.21311475409836061,0.20652173913043478
U_0.50,0.995009864221887,0.9722042663219133,0.9319620253164558,0.8733812949640287,0.8065934065934066,0.7321428571428572,0.667870036101083,0.5877192982456141,0.5406698564593301,0.4842105263157894,0.4475138121546961,0.4069767441860465,0.36196319018404904,0.3116883116883117,0.2948717948717949,0.28662420382165604,0.2297297297297297,0.20547945205479456,0.1780821917808219,0.16438356164383564
