,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.05,,,0.9861619214251631,0.9622362585673969,0.923132183908046,0.871239911958914,0.8079567779960707,0.7397342995169082,0.6626928471248247,0.608728943338438,0.5461165048543689,0.4842931937172775,0.4294755877034358,0.37292817679558016,0.3392193308550186,0.2982954545454546,0.25334608030592737,0.24015369836695485,0.2017291066282421,0.1825168107588857
U_0.10,,0.989529289689652,0.9628886659979939,0.9140201394268009,0.8430609597924774,0.7823741007194246,0.7062780269058296,0.6561679790026247,0.5803571428571428,0.5144694533762058,0.4560810810810811,0.4270462633451957,0.3804347826086956,0.33210332103321033,0.2952029520295203,0.24436090225563908,0.22140221402214022,0.20676691729323307,0.19157088122605362,0.1532567049808429
U_0.15,0.9963514217872241,0.9792899408284025,0.9303322615219721,0.8549107142857143,0.7712305025996533,0.6902050113895217,0.6226415094339622,0.5590062111801242,0.5034013605442177,0.4565217391304348,0.4200743494423792,0.3517786561264823,0.34117647058823536,0.3089430894308943,0.2583333333333333,0.19841269841269843,0.19841269841269843,0.1652892561983471,0.1652892561983471,0.11904761904761905
U_0.20,0.9918101442531408,0.9563275434243176,0.8769230769230769,0.7540983606557378,0.6484375,0.5760368663594471,0.5080213903743316,0.4636871508379889,0.38749999999999996,0.3788819875776397,0.32894736842105265,0.3202614379084967,0.24475524475524474,0.2253521126760563,0.19424460431654683,0.18248175182481752,0.1678832116788321,0.15942028985507248,0.13235294117647056,0.11594202898550728
U_0.25,0.9769553072625697,0.8829787234042554,0.676470588235294,0.5714285714285715,0.44715447154471544,0.3928571428571429,0.33980582524271846,0.3069306930693069,0.2653061224489796,0.25,0.22105263157894733,0.20000000000000004,0.1827956989247312,0.16129032258064518,0.15217391304347827,0.1397849462365591,0.13043478260869568,0.10869565217391305,0.09677419354838704,0.08695652173913042
U_0.30,0.2876712328767123,0.27999999999999997,0.26027397260273966,0.24999999999999997,0.23943661971830987,0.21739130434782608,0.21739130434782608,0.17647058823529416,0.17647058823529416,0.13432835820895522,0.14705882352941177,0.12121212121212126,0.13432835820895522,0.10447761194029853,0.10447761194029853,0.10447761194029853,0.08823529411764706,0.07462686567164178,0.07462686567164178,0.07462686567164178
U_0.35,0.1538461538461538,0.13725490196078427,0.1538461538461538,0.13725490196078427,0.11538461538461542,0.11538461538461542,0.09803921568627452,0.09803921568627452,0.09803921568627452,0.09803921568627452,0.07692307692307691,0.07692307692307691,0.07692307692307691,0.05882352941176476,0.07692307692307691,0.05660377358490563,0.05882352941176476,0.03846153846153849,0.03846153846153849,0.03846153846153849
U_0.40,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.07317073170731714,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.04761904761904766,0.02325581395348839,0.04761904761904766,0.02325581395348839,0.02325581395348839,0.02325581395348839
U_0.45,0.058823529411764684,0.0285714285714286,0.058823529411764684,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0285714285714286,0.0,0.0,0.0,0.0
U_0.50,0.0,0.0,0.03225806451612906,0.0,0.0,0.0,0.03225806451612906,0.0,0.03225806451612906,0.0,0.0,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906,0.03225806451612906
U_0.55,0.037037037037036986,0.0,0.037037037037036986,0.0,0.037037037037036986,0.0,0.037037037037036986,0.037037037037036986,0.037037037037036986,0.037037037037036986,0.037037037037036986,0.037037037037036986,0.037037037037036986,0.0,0.037037037037036986,0.0,0.0,0.0,0.037037037037036986,0.0
U_0.60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.75,0.0,0.0,0.0,0.0,0.05263157894736841,0.0,0.05263157894736841,0.0,0.0,0.05263157894736841,0.0,0.05263157894736841,0.05263157894736841,0.0,0.0,0.05263157894736841,0.0,0.05263157894736841,0.0,0.0
U_0.80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_1.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
