,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.05,,,,,0.9164754992290624,0.7941777323799796,0.6748641692879611,0.5724488691700033,0.48686156296212035,0.4326708351942831,0.36411975494162524,0.316055625790139,0.2695741758241758,0.2389915582934063,0.21230114272910594,0.1876513317191283,0.16971138255323745,0.1563319693631308,0.1471350119158636,0.1391120932101245
U_0.10,,,0.9741051574492505,0.8971605821999522,0.7821824381926683,0.6507844276583382,0.5318428184281843,0.42514534883720934,0.35766961651917406,0.29129793510324486,0.2434593023255814,0.20270270270270271,0.16771488469601678,0.13392857142857142,0.11029411764705883,0.08491182233834095,0.06748071979434447,0.0502828409805154,0.040222772277227724,0.02717391304347826
U_0.15,,0.9873392549383535,0.9368452559114037,0.836864406779661,0.7150964812712827,0.584319526627219,0.47818791946308725,0.37985865724381623,0.3147482014388489,0.267379679144385,0.22084805653710243,0.18229166666666663,0.15228426395939082,0.12376237623762372,0.09661835748792266,0.07188498402555905,0.054179566563467445,0.038109756097560926,0.022522522522522525,0.014684287812041117
U_0.20,,0.9693544881547489,0.8997155049786628,0.7830459770114944,0.6507592190889371,0.5327868852459016,0.4229607250755287,0.3639240506329114,0.28938906752411575,0.23734177215189872,0.20569620253164556,0.1557632398753894,0.1380368098159509,0.10416666666666666,0.0879765395894428,0.0722543352601156,0.042134831460674156,0.027700831024930747,0.026954177897574122,0.013297872340425532
U_0.25,0.9951941377997714,0.9480337078651684,0.8541392904073588,0.7266009852216749,0.5769230769230769,0.47619047619047616,0.3935185185185185,0.3155339805825243,0.24875621890547267,0.21844660194174756,0.1699029126213592,0.1699029126213592,0.14218009478672985,0.11574074074074073,0.09049773755656108,0.0663716814159292,0.0663716814159292,0.04329004329004329,0.0211864406779661,0.0211864406779661
U_0.30,0.9903159724377678,0.9327659574468085,0.8223684210526316,0.6737864077669904,0.5396825396825398,0.4347826086956522,0.33112582781456956,0.28368794326241137,0.23972602739726032,0.21276595744680854,0.1712328767123288,0.13245033112582785,0.13245033112582785,0.0961538461538462,0.0961538461538462,0.06211180124223607,0.06211180124223607,0.03012048192771084,0.03012048192771084,0.03012048192771084
U_0.35,0.9839699436443332,0.908835904628331,0.778894472361809,0.5988200589970502,0.46360153256704983,0.37606837606837606,0.2995391705069125,0.2818181818181818,0.23004694835680756,0.20737327188940094,0.1909090909090909,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.04310344827586207,0.04310344827586207,0.04310344827586207,0.0,0.03968253968253968,0.03968253968253968
U_0.40,0.9770456960680128,0.8806629834254143,0.7150259067357513,0.4519230769230768,0.3862433862433863,0.29824561403508765,0.28323699421965315,0.2242424242424242,0.20238095238095233,0.18823529411764703,0.16763005780346818,0.1477272727272727,0.13483146067415727,0.12222222222222218,0.10382513661202189,0.09189189189189186,0.08021390374331551,0.06878306878306874,0.05759162303664919,0.0
U_0.45,0.9652436720816018,0.8373702422145328,0.43195266272189353,0.3466666666666666,0.27536231884057977,0.2388059701492538,0.20300751879699247,0.1818181818181818,0.15789473684210528,0.13432835820895522,0.1111111111111111,0.0948905109489051,0.08695652173913045,0.06474820143884895,0.05633802816901407,0.04895104895104896,0.034482758620689655,0.02040816326530611,0.013513513513513525,0.0
U_0.50,0.29914529914529914,0.2869565217391305,0.2566371681415929,0.2321428571428572,0.21818181818181823,0.18918918918918917,0.1636363636363637,0.14545454545454542,0.12727272727272732,0.10714285714285716,0.09734513274336287,0.07964601769911499,0.07017543859649122,0.051724137931034454,0.042735042735042736,0.033898305084745714,0.016666666666666607,0.016393442622950834,0.00813008130081305,0.0
