,delta_0.05,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.05,,0.9932961635470596,0.9649851632047479,0.2566371681415929,0.13513513513513511,0.07142857142857141,0.06666666666666662,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.10,0.9830293641292868,0.9282018111254849,0.6374622356495468,0.24324324324324323,0.12328767123287664,0.07142857142857141,0.04347826086956516,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.15,0.9020245842371655,0.733173076923077,0.4178403755868544,0.21818181818181823,0.10810810810810809,0.07142857142857141,0.04347826086956516,0.025641025641025664,0.030303030303030266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.20,0.7514450867052024,0.56640625,0.3505154639175258,0.1962616822429907,0.10810810810810809,0.07142857142857141,0.04347826086956516,0.025641025641025664,0.030303030303030266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.25,0.626410835214447,0.43981481481481477,0.30107526881720426,0.16981132075471694,0.08108108108108109,0.05263157894736839,0.04347826086956516,0.0,0.030303030303030266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.30,0.49934296977660975,0.38265306122448983,0.24719101123595502,0.14018691588785048,0.08108108108108109,0.05263157894736839,0.021276595744680875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_0.35,0.41201117318435754,0.2956989247311828,0.24022346368715083,0.13207547169811323,0.06666666666666667,0.03448275862068969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736841,0.0,0.0,0.06666666666666672,0.0,0.0
U_0.40,0.3376436781609195,0.24193548387096778,0.16763005780346818,0.10280373831775706,0.06666666666666667,0.03448275862068969,0.0,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.0,0.0,0.0,0.0,0.05263157894736841,0.058823529411764684,0.0,0.0,0.0,0.0
U_0.45,0.27496382054992763,0.22099447513812157,0.15428571428571425,0.09259259259259259,0.05263157894736841,0.03448275862068969,0.0,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.037037037037036986,0.04347826086956516,0.04761904761904766,0.0,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.0,0.0
U_0.50,0.23154848046309692,0.18817204301075272,0.13483146067415727,0.07407407407407406,0.03896103896103894,0.016949152542372895,0.021276595744680875,0.025641025641025664,0.030303030303030266,0.03448275862068969,0.037037037037036986,0.04347826086956516,0.0,0.0,0.05263157894736841,0.058823529411764684,0.0,0.06666666666666672,0.0,0.0
