,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.10,0.00013972139553729862,0.00013972139553729862,0.00013972139553729862,0.00013972139553729862,0.0003337672307332866,0.000519183842998806,0.0006919936336585704,0.0008619946556331352,0.0009989012086704624,0.001162655505173817,0.001300221037576388,0.0014324595330181922,0.0015429717636167258,0.0016417665407978984,0.001729804532087874,0.001795009872554299,0.001861850679575498,0.001915341888527102,0.0019527436047646943
U_0.15,0.00013972139553729862,0.00013972139553729862,0.00032625362957162897,0.0006929526713325481,0.0011196954428395476,0.0015820281601012498,0.002027986209693774,0.0024503798088703747,0.0028401022436807723,0.003214400514304082,0.0035701535166012136,0.0038895371450797353,0.004182350480970306,0.004422821760283061,0.004649000464900047,0.004828585224529213,0.004997501249375313,0.00512557662737058,0.0052328623757195184
U_0.20,0.00013972139553729862,0.0002891761371851595,0.0007935878104912309,0.0014596409283316304,0.0022466861379465287,0.00308546744831842,0.003935458480913027,0.004714757190004715,0.005461496450027308,0.0061312078479460455,0.006798096532970768,0.0073475385745775165,0.007867820613690008,0.008396305625524769,0.008764241893076249,0.00916590284142988,0.009425070688030161,0.009699321047526674,0.009891196834817014
U_0.25,0.00013972139553729862,0.0006269199423233654,0.0014102383302778169,0.0024503798088703747,0.003702332469455757,0.005047955577990914,0.006365372374283896,0.007627765064836004,0.008764241893076249,0.009891196834817014,0.010857763300760045,0.011750881316098707,0.012642225031605564,0.013315579227696406,0.014064697609001408,0.014471780028943561,0.015128593040847203,0.015360983102918589,0.01584786053882726
U_0.30,0.00029273147741576655,0.0010340192327577293,0.002168726957276079,0.0036751194413818444,0.005431830526887562,0.007401924500370097,0.009250693802035153,0.011098779134295229,0.012804097311139566,0.014265335235378032,0.01584786053882726,0.01721170395869191,0.018148820326678767,0.019193857965451054,0.020366598778004074,0.021231422505307854,0.021691973969631236,0.022172949002217293,0.022675736961451247
U_0.35,0.00048588503959963073,0.0015012760846719712,0.0030385900941962926,0.005047955577990914,0.007457121551081283,0.00999000999000999,0.012642225031605564,0.015128593040847203,0.017513134851138354,0.019569471624266144,0.021691973969631236,0.02320185614849188,0.024937655860349125,0.026246719160104987,0.027700831024930747,0.02849002849002849,0.029325513196480937,0.030211480362537763,0.03115264797507788
U_0.40,0.0007142346975216057,0.002040399918384003,0.004046944556859571,0.0066181336863004635,0.009699321047526674,0.01297016861219196,0.016366612111292964,0.019569471624266144,0.022675736961451247,0.02557544757033248,0.027700831024930747,0.030211480362537763,0.03215434083601286,0.034364261168384876,0.03558718861209964,0.03690036900369004,0.038314176245210725,0.0398406374501992,0.0398406374501992
U_0.45,0.0009651578033008398,0.0026448029621793175,0.00512557662737058,0.008396305625524769,0.01218026796589525,0.01610305958132045,0.020366598778004074,0.024330900243309,0.02849002849002849,0.03215434083601286,0.034364261168384876,0.038314176245210725,0.0398406374501992,0.04329004329004329,0.04524886877828054,0.04739336492890995,0.04739336492890995,0.04975124378109452,0.04975124378109452
U_0.50,0.0012283503255128363,0.003299241174529858,0.006325110689437066,0.010298661174047374,0.01490312965722802,0.01996007984031936,0.024937655860349125,0.030211480362537763,0.034364261168384876,0.038314176245210725,0.04329004329004329,0.04524886877828054,0.04975124378109452,0.05235602094240837,0.055248618784530384,0.05847953216374269,0.05847953216374269,0.06211180124223602,0.06211180124223602
U_0.55,0.0015103458692040477,0.003982477100756671,0.007627765064836004,0.012330456226880395,0.017825311942959002,0.023752969121140142,0.029325513196480937,0.03558718861209964,0.04149377593360996,0.04524886877828054,0.04975124378109452,0.055248618784530384,0.05847953216374269,0.06211180124223602,0.06622516556291391,0.06622516556291391,0.07092198581560284,0.07092198581560284,0.07633587786259542
U_0.60,0.0017758835020422659,0.004692632566870014,0.008920606601248885,0.014265335235378032,0.020790020790020788,0.027700831024930747,0.034364261168384876,0.04149377593360996,0.04739336492890995,0.055248618784530384,0.05847953216374269,0.06622516556291391,0.07092198581560284,0.07092198581560284,0.07633587786259542,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.0900900900900901
U_0.65,0.002082899395959175,0.005431830526887562,0.010298661174047374,0.016366612111292964,0.023752969121140142,0.03115264797507788,0.0398406374501992,0.04739336492890995,0.055248618784530384,0.06211180124223602,0.07092198581560284,0.07633587786259542,0.08264462809917356,0.08264462809917356,0.0900900900900901,0.0900900900900901,0.09900990099009901,0.09900990099009901,0.09900990099009901
U_0.70,0.002414875633904854,0.006207324643078833,0.011750881316098707,0.018832391713747645,0.026954177897574122,0.03558718861209964,0.04524886877828054,0.055248618784530384,0.06211180124223602,0.07092198581560284,0.07633587786259542,0.08264462809917356,0.0900900900900901,0.09900990099009901,0.09900990099009901,0.1111111111111111,0.1149425287356322,0.11904761904761904,0.1234567901234568
