,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.10,0.02320185614849188,0.018832391713747645,0.015128593040847203,0.012484394506866418,0.010298661174047374,0.008539709649871904,0.007293946024799417,0.006325110689437066,0.005614823133071308,0.005099439061703213,0.004714757190004715,0.004384042086804033,0.00414765657403567,0.003935458480913027,0.003757985719654265,0.0036088054853843374,0.003495281370150297,0.0033886818027787187,0.0032776138970829235
U_0.15,0.038314176245210725,0.03558718861209964,0.03115264797507788,0.026954177897574122,0.023752969121140142,0.020366598778004074,0.017825311942959002,0.01610305958132045,0.014265335235378032,0.01314060446780552,0.012033694344163659,0.011223344556677891,0.010626992561105207,0.00999000999000999,0.009514747859181731,0.00916590284142988,0.008841732979664015,0.008539709649871904,0.008257638315441783
U_0.20,0.055248618784530384,0.05235602094240837,0.04739336492890995,0.04329004329004329,0.0398406374501992,0.03558718861209964,0.03215434083601286,0.029325513196480937,0.026246719160104987,0.024330900243309,0.022675736961451247,0.020790020790020788,0.01996007984031936,0.018484288354898334,0.017825311942959002,0.01721170395869191,0.016366612111292964,0.01584786053882726,0.015360983102918589
U_0.25,0.07092198581560284,0.07092198581560284,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.05235602094240837,0.04975124378109452,0.04524886877828054,0.04149377593360996,0.038314176245210725,0.03558718861209964,0.03322259136212624,0.03115264797507788,0.030211480362537763,0.02849002849002849,0.026954177897574122,0.026246719160104987,0.02557544757033248,0.024330900243309
U_0.30,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.07633587786259542,0.07092198581560284,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.055248618784530384,0.05235602094240837,0.04975124378109452,0.04524886877828054,0.04329004329004329,0.04149377593360996,0.0398406374501992,0.038314176245210725,0.03690036900369004,0.03558718861209964
U_0.35,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.07633587786259542,0.07092198581560284,0.07092198581560284,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.055248618784530384,0.055248618784530384,0.05235602094240837,0.04975124378109452,0.04975124378109452
U_0.40,0.12820512820512822,0.12658227848101264,0.125,0.12195121951219513,0.11764705882352941,0.11363636363636363,0.10989010989010989,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.07633587786259542,0.07092198581560284,0.07092198581560284,0.06622516556291391,0.06622516556291391,0.06211180124223602
U_0.45,0.14925373134328357,0.14705882352941177,0.14492753623188406,0.14084507042253522,0.1388888888888889,0.13333333333333333,0.12987012987012986,0.125,0.12048192771084336,0.11627906976744186,0.11235955056179775,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.08264462809917356
U_0.50,0.1694915254237288,0.1694915254237288,0.16666666666666666,0.1639344262295082,0.15873015873015872,0.15625,0.15151515151515152,0.14705882352941177,0.14285714285714285,0.1388888888888889,0.13333333333333333,0.12820512820512822,0.125,0.11904761904761904,0.11627906976744186,0.1111111111111111,0.09900990099009901,0.09900990099009901,0.09900990099009901
U_0.55,0.1923076923076923,0.1923076923076923,0.18867924528301888,0.18518518518518517,0.18181818181818182,0.17857142857142858,0.17543859649122806,0.1694915254237288,0.1639344262295082,0.16129032258064516,0.15625,0.15151515151515152,0.14492753623188406,0.14084507042253522,0.136986301369863,0.13333333333333333,0.12987012987012986,0.12658227848101264,0.12195121951219513
U_0.60,0.2173913043478261,0.2173913043478261,0.2127659574468085,0.20833333333333334,0.2040816326530612,0.2040816326530612,0.19607843137254904,0.1923076923076923,0.18867924528301888,0.18181818181818182,0.17857142857142858,0.1724137931034483,0.1694915254237288,0.1639344262295082,0.15873015873015872,0.15625,0.15151515151515152,0.14705882352941177,0.14492753623188406
U_0.65,0.24390243902439027,0.23809523809523808,0.23809523809523808,0.23255813953488372,0.22727272727272727,0.22727272727272727,0.2222222222222222,0.2173913043478261,0.2127659574468085,0.20833333333333334,0.2,0.19607843137254904,0.1923076923076923,0.18867924528301888,0.18181818181818182,0.17857142857142858,0.17543859649122806,0.1694915254237288,0.16666666666666666
U_0.70,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.25641025641025644,0.25641025641025644,0.25,0.24390243902439027,0.23809523809523808,0.23809523809523808,0.23255813953488372,0.22727272727272727,0.2222222222222222,0.2173913043478261,0.2127659574468085,0.20833333333333334,0.2040816326530612,0.2,0.19607843137254904,0.1923076923076923
