,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.10,0.00023803289614624738,0.00023803289614624738,0.00028456788366864916,0.0008103071063933231,0.0013511687609782462,0.001804728388377549,0.002131741632914091,0.002341372044017794,0.0024746349913387774,0.002583311805734952,0.0026518164942985942,0.002687449610319806,0.002738975623116954,0.0027314941272876263,0.0027314941272876263,0.0027166530834012493,0.002701972439881113,0.002680246582685607,0.0026171159382360636
U_0.15,0.00023803289614624738,0.0004608082576839777,0.001446968600781363,0.002701972439881113,0.0040633888663145065,0.0052328623757195184,0.006020469596628537,0.006574621959237344,0.006939625260235948,0.007189072609633357,0.0073475385745775165,0.0073475385745775165,0.007457121551081283,0.007457121551081283,0.007457121551081283,0.007401924500370097,0.0073475385745775165,0.007293946024799417,0.007189072609633357
U_0.20,0.00023803289614624738,0.0014003640946646128,0.0032776138970829235,0.005646527385657821,0.007993605115907274,0.010090817356205853,0.011614401858304297,0.012642225031605564,0.01314060446780552,0.013679890560875515,0.013869625520110958,0.014064697609001408,0.014064697609001408,0.014064697609001408,0.014064697609001408,0.014064697609001408,0.013869625520110958,0.013869625520110958,0.013679890560875515
U_0.25,0.0007781495603454984,0.002738975623116954,0.005777007510109763,0.009425070688030161,0.013315579227696406,0.016366612111292964,0.018832391713747645,0.020366598778004074,0.021231422505307854,0.021691973969631236,0.022172949002217293,0.022172949002217293,0.022675736961451247,0.022675736961451247,0.022675736961451247,0.022172949002217293,0.022172949002217293,0.022172949002217293,0.021691973969631236
U_0.30,0.0014511681903932665,0.004422821760283061,0.008841732979664015,0.014064697609001408,0.019569471624266144,0.023752969121140142,0.026954177897574122,0.029325513196480937,0.03115264797507788,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286,0.03215434083601286
U_0.35,0.002251745102454402,0.0064061499039077515,0.012330456226880395,0.019569471624266144,0.026246719160104987,0.03215434083601286,0.03690036900369004,0.0398406374501992,0.04149377593360996,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.04524886877828054,0.04524886877828054,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.04329004329004329,0.04329004329004329
U_0.40,0.0031938677738741613,0.008688097306689836,0.016366612111292964,0.026246719160104987,0.03558718861209964,0.04149377593360996,0.04739336492890995,0.05235602094240837,0.055248618784530384,0.055248618784530384,0.055248618784530384,0.05847953216374269,0.05847953216374269,0.05847953216374269,0.05847953216374269,0.05847953216374269,0.055248618784530384,0.055248618784530384,0.055248618784530384
U_0.45,0.004327131112072696,0.011350737797956869,0.020790020790020788,0.03322259136212624,0.04524886877828054,0.055248618784530384,0.06211180124223602,0.06622516556291391,0.06622516556291391,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284,0.07092198581560284
U_0.50,0.0056785917092561046,0.014471780028943561,0.026246719160104987,0.04149377593360996,0.055248618784530384,0.06622516556291391,0.07633587786259542,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.08264462809917356
U_0.55,0.007293946024799417,0.018484288354898334,0.03215434083601286,0.05235602094240837,0.07092198581560284,0.08264462809917356,0.0900900900900901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901
