,delta_0.10,delta_0.15,delta_0.20,delta_0.25,delta_0.30,delta_0.35,delta_0.40,delta_0.45,delta_0.50,delta_0.55,delta_0.60,delta_0.65,delta_0.70,delta_0.75,delta_0.80,delta_0.85,delta_0.90,delta_0.95,delta_1.00
U_0.10,0.02320185614849188,0.018484288354898334,0.014064697609001408,0.010976948408342482,0.008920606601248885,0.00757002271006813,0.006574621959237344,0.0058445353594389245,0.0052328623757195184,0.004805382027871216,0.004462293618920125,0.004182350480970306,0.0039510075069142635,0.003757985719654265,0.003582945180938731,0.0034352456200618343,0.0032883919763235774,0.003214400514304082,0.00308546744831842
U_0.15,0.038314176245210725,0.034364261168384876,0.030211480362537763,0.024937655860349125,0.021231422505307854,0.018484288354898334,0.01610305958132045,0.014684287812041117,0.013315579227696406,0.01218026796589525,0.011350737797956869,0.010741138560687433,0.010090817356205853,0.009606147934678195,0.00916590284142988,0.008841732979664015,0.008539709649871904,0.008257638315441783,0.007993605115907274
U_0.20,0.055248618784530384,0.04975124378109452,0.04739336492890995,0.04149377593360996,0.03690036900369004,0.03322259136212624,0.029325513196480937,0.026246719160104987,0.024330900243309,0.022675736961451247,0.021231422505307854,0.01996007984031936,0.018832391713747645,0.017825311942959002,0.01721170395869191,0.016366612111292964,0.01584786053882726,0.015360983102918589,0.01490312965722802
U_0.25,0.07092198581560284,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.055248618784530384,0.04975124378109452,0.04524886877828054,0.04149377593360996,0.038314176245210725,0.03558718861209964,0.03322259136212624,0.03115264797507788,0.030211480362537763,0.02849002849002849,0.027700831024930747,0.026246719160104987,0.02557544757033248,0.024937655860349125,0.023752969121140142
U_0.30,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.07633587786259542,0.07092198581560284,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.055248618784530384,0.04975124378109452,0.04739336492890995,0.04524886877828054,0.04329004329004329,0.04149377593360996,0.0398406374501992,0.038314176245210725,0.03690036900369004,0.03558718861209964,0.03558718861209964
U_0.35,0.11235955056179775,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.07633587786259542,0.07092198581560284,0.06622516556291391,0.06622516556291391,0.06211180124223602,0.05847953216374269,0.055248618784530384,0.055248618784530384,0.05235602094240837,0.04975124378109452,0.04975124378109452,0.04739336492890995
U_0.40,0.13513513513513511,0.13157894736842105,0.12658227848101264,0.12195121951219513,0.11627906976744186,0.10989010989010989,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.07633587786259542,0.07633587786259542,0.07092198581560284,0.07092198581560284,0.06622516556291391,0.06622516556291391,0.06622516556291391,0.06211180124223602
U_0.45,0.15625,0.15384615384615385,0.14925373134328357,0.14492753623188406,0.1388888888888889,0.13333333333333333,0.12658227848101264,0.12048192771084336,0.11627906976744186,0.1111111111111111,0.09900990099009901,0.09900990099009901,0.0900900900900901,0.0900900900900901,0.0900900900900901,0.08264462809917356,0.08264462809917356,0.08264462809917356,0.07633587786259542
U_0.50,0.18181818181818182,0.17857142857142858,0.1724137931034483,0.16666666666666666,0.16129032258064516,0.15625,0.14925373134328357,0.14285714285714285,0.136986301369863,0.13157894736842105,0.12658227848101264,0.1234567901234568,0.11904761904761904,0.1149425287356322,0.1111111111111111,0.09900990099009901,0.09900990099009901,0.09900990099009901,0.09900990099009901
U_0.55,0.2040816326530612,0.2,0.19607843137254904,0.18867924528301888,0.18518518518518517,0.17857142857142858,0.1724137931034483,0.16666666666666666,0.16129032258064516,0.15384615384615385,0.14925373134328357,0.14492753623188406,0.14084507042253522,0.13513513513513511,0.13157894736842105,0.12820512820512822,0.125,0.12195121951219513,0.11904761904761904
