time,C3-_L14_U0.08,C3+_L12_U0.08,C3+_L13_U0.08,C3+_L14_U0.08,C3-_L14_U0.32,C3+_L12_U0.32,C3+_L13_U0.32,C3+_L14_U0.32,C3-_L14_U1.28,C3+_L12_U1.28,C3+_L13_U1.28,C3+_L14_U1.28
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.999978776018134674e-01,9.999819950306284566e-01,9.999030797280485938e-01,1.000122872392039897e+00,9.998594960479336713e-01,9.997103273301168880e-01,9.992439597508115945e-01,1.000269074787323076e+00,1.000114138559752952e+00,9.957266239429070076e-01,1.000204095693108419e+00,9.998233431064359467e-01
1.000000000000000056e-01,1.000009946412475648e+00,9.999309809507423985e-01,9.997980455040291758e-01,9.999874658651115578e-01,9.995664634412416705e-01,9.989012415969953373e-01,9.991974396777142386e-01,9.999923773339205457e-01,9.958180167859126408e-01,9.830395074766579144e-01,9.958574041688567080e-01,9.953992659547115096e-01
2.000000000000000111e-01,9.999608818985826764e-01,9.998469577603419367e-01,9.997496587740326568e-01,9.999387875692915539e-01,9.987771021038691632e-01,9.975697461868088256e-01,9.983969846814727545e-01,9.992007271158309667e-01,9.832320853563571994e-01,9.623906903807535329e-01,9.832450759855367872e-01,9.827954156162199695e-01
2.999999999999999889e-01,9.998800646066900999e-01,9.997319260115792305e-01,9.996692122717328877e-01,9.998582659840775655e-01,9.974772968046261568e-01,9.957557959505758394e-01,9.970845186844815577e-01,9.979004786834594354e-01,9.627507202524751007e-01,9.345042363728007784e-01,9.627084216236755365e-01,9.623028477474488973e-01
4.000000000000000222e-01,9.997690335123756711e-01,9.995888865326830741e-01,9.995583435680037709e-01,9.997475000006755819e-01,9.956929927171582762e-01,9.934923536403863498e-01,9.952871436298468266e-01,9.961184625903065637e-01,9.350753225189096796e-01,9.003302290601572500e-01,9.349652406817363648e-01,9.346402128303433754e-01
5.000000000000000000e-01,9.996297638761744153e-01,9.994188395997295471e-01,9.994192571332378705e-01,9.996086446611278653e-01,9.934578207214066481e-01,9.908263662061869148e-01,9.930412193858173531e-01,9.938906530530754457e-01,9.011083826901148397e-01,8.609857667474737353e-01,9.009594378980366747e-01,9.007507466142899988e-01
5.999999999999999778e-01,9.994645265463438788e-01,9.992267865930998250e-01,9.992546356034976984e-01,9.994443269896587934e-01,9.908106908106211197e-01,9.878057794691996740e-01,9.903909024067216738e-01,9.912607233289043585e-01,8.618853532968915321e-01,8.176969573322452334e-01,8.618049019111749809e-01,8.617460707474964288e-01
6.999999999999999556e-01,9.992757324111488648e-01,9.990157283410221467e-01,9.990675346777873056e-01,9.992575459575854246e-01,9.877931121068646014e-01,9.844875290921258904e-01,9.873864170870648715e-01,9.882783400407808561e-01,8.185014778240724542e-01,7.717289121442687527e-01,8.187218638031203977e-01,8.188426046253909352e-01
8.000000000000000444e-01,9.990657761803082293e-01,9.987886656717254175e-01,9.988612675551513664e-01,9.990515620560153076e-01,9.844464889476908231e-01,9.809275518663909121e-01,9.840821572734801403e-01,9.849972925555158243e-01,7.720414948243317088e-01,7.243207402251398142e-01,7.729709269974037733e-01,7.732957771094404187e-01
