time,C4-_L14_U0.08,C4+_L12_U0.08,C4+_L13_U0.08,C4+_L14_U0.08,C4-_L14_U0.32,C4+_L12_U0.32,C4+_L13_U0.32,C4+_L14_U0.32,C4-_L14_U1.28,C4+_L12_U1.28,C4+_L13_U1.28,C4+_L14_U1.28
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,9.995790477733709212e-01,9.999800051986484917e-01,1.000480956573757574e+00,1.000006129011846934e+00,1.000065866320734242e+00,9.997209416768104706e-01,9.993679851788931368e-01,9.998627890814332231e-01,1.000099387548891050e+00,9.955698775708028414e-01,1.000454952217183502e+00,9.998046660727324397e-01
1.000000000000000056e-01,9.996274797420727776e-01,9.999300181952691657e-01,1.000499769250019488e+00,1.000046194210843398e+00,9.996462298713774119e-01,9.988987698428971607e-01,9.991269834383204040e-01,9.996428233638128269e-01,9.959385455539268017e-01,9.825759199213313089e-01,9.964069874039437336e-01,9.955021975370784704e-01
2.000000000000000111e-01,9.995780578825802509e-01,9.998500389898627994e-01,1.000450189844750648e+00,9.999958747176294072e-01,9.988604200491384422e-01,9.975514882610465595e-01,9.983206966526907422e-01,9.988434603587487137e-01,9.834061914713079222e-01,9.615027968652677393e-01,9.835600502553150104e-01,9.826591971655392888e-01
2.999999999999999889e-01,9.994966455268657901e-01,9.997330694019556097e-01,1.000367666403476408e+00,9.999128837524903224e-01,9.975646925948450372e-01,9.957071027844820454e-01,9.969956916792039880e-01,9.975245279173294843e-01,9.629755623736063752e-01,9.331175684796388925e-01,9.626558751370749567e-01,9.617989982819687977e-01
4.000000000000000222e-01,9.993845969383561290e-01,9.995881070921560640e-01,1.000253806429230341e+00,9.997988489375374543e-01,9.957809982582397357e-01,9.934026211478199642e-01,9.951790437121071919e-01,9.957131017873550594e-01,9.353072399866779740e-01,8.984025923826728377e-01,9.344565425894406641e-01,9.336827416808333169e-01
5.000000000000000000e-01,9.992436696070173818e-01,9.994171515405995132e-01,1.000110752503981404e+00,9.996559087164893498e-01,9.935380489014602468e-01,9.906810523399389723e-01,9.929062844783604902e-01,9.934446779478567358e-01,9.012579841159384930e-01,8.584884310116580597e-01,8.999416469865914037e-01,8.992880638707022589e-01
5.999999999999999778e-01,9.990759113600471419e-01,9.992222022274209747e-01,9.999410526571201885e-01,9.994865809226621822e-01,9.908695224919816802e-01,9.875884059768491596e-01,9.902192303062891110e-01,9.907609940578767649e-01,8.618217876872232841e-01,8.145677326064620916e-01,8.602340739841428663e-01,8.597349476889217801e-01
6.999999999999999556e-01,9.988835331807932594e-01,9.990072581128907059e-01,9.997475137148020830e-01,9.992936176800865100e-01,9.878120337980739185e-01,9.841736923016910499e-01,9.871635696304034147e-01,9.877076246978253593e-01,8.180659688860331125e-01,7.678271371034769421e-01,8.165217208020443262e-01,8.162074919484642033e-01
8.000000000000000444e-01,9.986687782907661681e-01,9.987733189370763265e-01,9.995330514624356510e-01,9.990798603744643902e-01,9.844030395113935183e-01,9.804839211395182108e-01,9.837864399234934609e-01,9.843315795101422738e-01,7.710688293587206754e-01,7.193791820295648565e-01,7.699839276675763955e-01,7.698803914175204044e-01
9.000000000000000222e-01,9.984337980686390779e-01,9.985243836602484269e-01,9.993005510200874131e-01,9.988481075550426080e-01,9.806788463693703051e-01,9.765641018972965881e-01,9.801342109357654708e-01,9.806791178586752311e-01,7.218646922270046673e-01,6.702202443777299790e-01,7.217298494145522048e-01,7.218573901549217853e-01
1.000000000000000000e+00,9.981805444165691155e-01,9.982624517625418026e-01,9.990527488497310538e-01,9.986010062838087675e-01,9.766728749313645652e-01,9.724532427277300384e-01,9.762506529545883494e-01,9.767939534168224025e-01,6.714007194944343615e-01,6.212065073932174775e-01,6.727535206152688296e-01,6.731264928264950598e-01
1.100000000000000089e+00,9.979106863536739702e-01,9.979895227240919153e-01,9.987921445886966954e-01,9.983409739827877605e-01,9.724143020329740761e-01,9.681883513654353512e-01,9.721756115329631687e-01,9.727159634971084268e-01,6.205080547056250895e-01,5.730379384309115531e-01,6.239074599143843436e-01,6.245337968548774210e-01
1.199999999999999956e+00,9.976255561207444389e-01,9.977075960250335607e-01,9.985209468996675275e-01,9.980701537323989347e-01,9.679271650100342850e-01,9.638004342907667832e-01,9.679442420310092610e-01,9.684804495593267726e-01,5.698878496641234248e-01,5.262693041783744752e-01,5.758938564987330366e-01,5.767749854359857098e-01
1.300000000000000044e+00,9.973261271842959186e-01,9.974186711455022003e-01,9.982410532990739771e-01,9.977904018039712719e-01,9.632299649049884671e-01,9.593144967298166126e-01,9.635867877371528945e-01,9.641179267578128265e-01,5.201109113033707265e-01,4.813261927984474609e-01,5.292701467873478505e-01,5.304012662530669386e-01
1.399999999999999911e+00,9.970130235308235500e-01,9.971227480854978342e-01,9.979540600367728942e-01,9.975033025214662397e-01,9.583357588562479989e-01,9.547535434905896068e-01,9.591288234553909664e-01,9.596543607513471352e-01,4.716282870755900691e-01,4.385240402235889845e-01,4.844644290003720655e-01,4.858351643494251970e-01
1.500000000000000000e+00,9.966865568442946355e-01,9.968228260652230999e-01,9.976612950435480576e-01,9.972102028107505678e-01,9.532526884640598608e-01,9.501355783358722551e-01,9.545918400115209757e-01,9.551117267218490747e-01,4.247892447654758596e-01,3.980911619858644168e-01,4.417957853117573941e-01,4.433911911232417680e-01
1.600000000000000089e+00,9.963467858320448345e-01,9.965189050846781083e-01,9.973638650940053196e-01,9.969122573295524647e-01,9.479848552809500006e-01,9.454776048194072358e-01,9.499940194626015355e-01,9.505087433503416339e-01,3.798628417231955656e-01,3.601877795112846115e-01,4.014950982254140710e-01,4.032969285222898215e-01
1.699999999999999956e+00,9.959935903183454453e-01,9.962119848839302572e-01,9.970627078231089069e-01,9.966104750049298300e-01,9.425334298398586608e-01,9.407936258678063490e-01,9.453510481072771032e-01,9.458616348551973640e-01,3.370595674267329311e-01,3.249180367267563985e-01,3.637231185154770063e-01,3.657112469488739137e-01
