time,alpha=0.0,alpha=0.5,alpha=1.0
0.000000000000000000e+00,9.997110000000000163e-01,1.000799999999999912e+00,1.001489999999999991e+00
1.000000000000000056e-01,9.996509999999999563e-01,1.000780000000000003e+00,1.001430000000000042e+00
2.000000000000000111e-01,9.994750000000000023e-01,1.000690000000000079e+00,1.001249999999999973e+00
2.999999999999999889e-01,9.991860000000000186e-01,1.000539999999999985e+00,1.000960000000000072e+00
4.000000000000000222e-01,9.987899999999999556e-01,1.000340000000000007e+00,1.000559999999999894e+00
5.000000000000000000e-01,9.982929999999999859e-01,1.000080000000000080e+00,1.000059999999999949e+00
5.999999999999999778e-01,9.977070000000000105e-01,9.997740000000000515e-01,9.994520000000000071e-01
6.999999999999999556e-01,9.970400000000000373e-01,9.994239999999999791e-01,9.987610000000000099e-01
8.000000000000000444e-01,9.963049999999999962e-01,9.990350000000000064e-01,9.979909999999999615e-01
9.000000000000000222e-01,9.955140000000000100e-01,9.986140000000000017e-01,9.971510000000000096e-01
1.000000000000000000e+00,9.946800000000000086e-01,9.981670000000000265e-01,9.962530000000000552e-01
1.100000000000000089e+00,9.938129999999999464e-01,9.976990000000000025e-01,9.953070000000000528e-01
1.199999999999999956e+00,9.929249999999999465e-01,9.972159999999999913e-01,9.943250000000000144e-01
1.300000000000000044e+00,9.920280000000000209e-01,9.967249999999999721e-01,9.933149999999999480e-01
1.399999999999999911e+00,9.911299999999999555e-01,9.962290000000000312e-01,9.922900000000000054e-01
1.500000000000000000e+00,9.902389999999999803e-01,9.957340000000000080e-01,9.912560000000000260e-01
1.600000000000000089e+00,9.893629999999999924e-01,9.952429999999999888e-01,9.902239999999999931e-01
1.699999999999999956e+00,9.885070000000000245e-01,9.947589999999999488e-01,9.891990000000000505e-01
1.800000000000000044e+00,9.876759999999999984e-01,9.942860000000000031e-01,9.881900000000000128e-01
1.899999999999999911e+00,9.868710000000000537e-01,9.938240000000000407e-01,9.872009999999999952e-01
2.000000000000000000e+00,9.860959999999999726e-01,9.933760000000000367e-01,9.862370000000000303e-01
2.100000000000000089e+00,9.853509999999999769e-01,9.929419999999999913e-01,9.853009999999999824e-01
2.200000000000000178e+00,9.846359999999999557e-01,9.925230000000000441e-01,9.843960000000000488e-01
2.299999999999999822e+00,9.839510000000000201e-01,9.921189999999999731e-01,9.835230000000000361e-01
2.399999999999999911e+00,9.832940000000000014e-01,9.917300000000000004e-01,9.826840000000000019e-01
2.500000000000000000e+00,9.826650000000000107e-01,9.913549999999999862e-01,9.818780000000000285e-01
2.600000000000000089e+00,9.820630000000000193e-01,9.909940000000000415e-01,9.811060000000000336e-01
2.700000000000000178e+00,9.814840000000000231e-01,9.906470000000000553e-01,9.803669999999999884e-01
2.799999999999999822e+00,9.809290000000000509e-01,9.903119999999999701e-01,9.796589999999999465e-01
2.899999999999999911e+00,9.803950000000000164e-01,9.899890000000000079e-01,9.789820000000000189e-01
3.000000000000000000e+00,9.798810000000000020e-01,9.896770000000000289e-01,9.783349999999999547e-01
3.100000000000000089e+00,9.793859999999999788e-01,9.893760000000000332e-01,9.777150000000000007e-01
