time,alpha=0.0,alpha=0.5,alpha=1.0
0.000000000000000000e+00,1.000000000000000000e+00,1.001030000000000086e+00,9.996479999999999810e-01
1.000000000000000056e-01,9.999400000000000510e-01,1.000979999999999981e+00,9.995370000000000088e-01
2.000000000000000111e-01,9.997599999999999820e-01,1.000850000000000017e+00,9.992020000000000346e-01
2.999999999999999889e-01,9.994650000000000478e-01,1.000620000000000065e+00,9.986469999999999514e-01
4.000000000000000222e-01,9.990609999999999769e-01,1.000310000000000032e+00,9.978810000000000180e-01
5.000000000000000000e-01,9.985549999999999704e-01,9.999209999999999487e-01,9.969149999999999956e-01
5.999999999999999778e-01,9.979569999999999830e-01,9.994530000000000358e-01,9.957650000000000112e-01
6.999999999999999556e-01,9.972750000000000226e-01,9.989160000000000261e-01,9.944450000000000234e-01
8.000000000000000444e-01,9.965209999999999901e-01,9.983180000000000387e-01,9.929750000000000520e-01
9.000000000000000222e-01,9.957040000000000335e-01,9.976660000000000528e-01,9.913720000000000310e-01
1.000000000000000000e+00,9.948329999999999673e-01,9.969670000000000476e-01,9.896570000000000089e-01
1.100000000000000089e+00,9.939179999999999682e-01,9.962280000000000024e-01,9.878479999999999484e-01
1.199999999999999956e+00,9.929639999999999578e-01,9.954579999999999540e-01,9.859649999999999803e-01
1.300000000000000044e+00,9.919799999999999729e-01,9.946620000000000461e-01,9.840250000000000385e-01
1.399999999999999911e+00,9.909710000000000463e-01,9.938460000000000072e-01,9.820440000000000280e-01
1.500000000000000000e+00,9.899419999999999886e-01,9.930160000000000098e-01,9.800370000000000470e-01
1.600000000000000089e+00,9.888970000000000260e-01,9.921769999999999756e-01,9.780170000000000252e-01
1.699999999999999956e+00,9.878379999999999939e-01,9.913330000000000197e-01,9.759949999999999459e-01
1.800000000000000044e+00,9.867700000000000360e-01,9.904880000000000351e-01,9.739809999999999857e-01
1.899999999999999911e+00,9.856960000000000166e-01,9.896449999999999969e-01,9.719820000000000126e-01
2.000000000000000000e+00,9.846160000000000467e-01,9.888059999999999627e-01,9.700039999999999774e-01
2.100000000000000089e+00,9.835350000000000481e-01,9.879740000000000189e-01,9.680509999999999948e-01
2.200000000000000178e+00,9.824519999999999920e-01,9.871510000000000007e-01,9.661269999999999580e-01
2.299999999999999822e+00,9.813709999999999933e-01,9.863370000000000193e-01,9.642340000000000355e-01
2.399999999999999911e+00,9.802929999999999700e-01,9.855340000000000211e-01,9.623739999999999517e-01
2.500000000000000000e+00,9.792170000000000041e-01,9.847420000000000062e-01,9.605489999999999862e-01
2.600000000000000089e+00,9.781450000000000422e-01,9.839609999999999745e-01,9.587579999999999991e-01
2.700000000000000178e+00,9.770769999999999733e-01,9.831919999999999549e-01,9.570030000000000481e-01
2.799999999999999822e+00,9.760130000000000194e-01,9.824340000000000295e-01,9.552840000000000220e-01
2.899999999999999911e+00,9.749529999999999585e-01,9.816869999999999763e-01,9.536019999999999497e-01
3.000000000000000000e+00,9.738970000000000127e-01,9.809510000000000174e-01,9.519570000000000531e-01
3.100000000000000089e+00,9.728449999999999598e-01,9.802250000000000130e-01,9.503489999999999993e-01
3.200000000000000178e+00,9.717970000000000219e-01,9.795099999999999918e-01,9.487799999999999567e-01
3.299999999999999822e+00,9.707540000000000058e-01,9.788040000000000074e-01,9.472500000000000364e-01
3.399999999999999911e+00,9.697179999999999689e-01,9.781090000000000062e-01,9.457600000000000451e-01
3.500000000000000000e+00,9.686890000000000223e-01,9.774239999999999595e-01,9.443110000000000115e-01
3.600000000000000089e+00,9.676690000000000014e-01,9.767500000000000071e-01,9.429039999999999644e-01
