time,alpha=0.0,alpha=0.5,alpha=1.0
0.000000000000000000e+00,9.998460000000000125e-01,9.998770000000000158e-01,1.000150000000000095e+00
1.000000000000000056e-01,9.996150000000000313e-01,9.997909999999999853e-01,1.000089999999999923e+00
2.000000000000000111e-01,9.989170000000000549e-01,9.995509999999999673e-01,9.999080000000000190e-01
2.999999999999999889e-01,9.977679999999999882e-01,9.991609999999999658e-01,9.996159999999999490e-01
4.000000000000000222e-01,9.961900000000000199e-01,9.986289999999999889e-01,9.992140000000000466e-01
5.000000000000000000e-01,9.942149999999999599e-01,9.979649999999999910e-01,9.987089999999999579e-01
5.999999999999999778e-01,9.918820000000000414e-01,9.971809999999999841e-01,9.981090000000000240e-01
6.999999999999999556e-01,9.892360000000000042e-01,9.962919999999999554e-01,9.974210000000000020e-01
8.000000000000000444e-01,9.863239999999999785e-01,9.953109999999999458e-01,9.966549999999999576e-01
9.000000000000000222e-01,9.831959999999999589e-01,9.942549999999999999e-01,9.958209999999999562e-01
1.000000000000000000e+00,9.799020000000000508e-01,9.931400000000000228e-01,9.949289999999999523e-01
1.100000000000000089e+00,9.764909999999999979e-01,9.919820000000000304e-01,9.939900000000000402e-01
1.199999999999999956e+00,9.730079999999999840e-01,9.907960000000000100e-01,9.930139999999999523e-01
1.300000000000000044e+00,9.694970000000000532e-01,9.895939999999999737e-01,9.920109999999999761e-01
1.399999999999999911e+00,9.659929999999999906e-01,9.883910000000000196e-01,9.909890000000000088e-01
1.500000000000000000e+00,9.625299999999999967e-01,9.871950000000000447e-01,9.899580000000000046e-01
1.600000000000000089e+00,9.591330000000000133e-01,9.860170000000000323e-01,9.889250000000000540e-01
1.699999999999999956e+00,9.558240000000000069e-01,9.848639999999999617e-01,9.878970000000000251e-01
1.800000000000000044e+00,9.526179999999999648e-01,9.837409999999999766e-01,9.868789999999999507e-01
1.899999999999999911e+00,9.495249999999999524e-01,9.826510000000000522e-01,9.858770000000000033e-01
2.000000000000000000e+00,9.465519999999999490e-01,9.815970000000000528e-01,9.848930000000000184e-01
2.100000000000000089e+00,9.437020000000000408e-01,9.805800000000000072e-01,9.839329999999999465e-01
2.200000000000000178e+00,9.409729999999999484e-01,9.796000000000000263e-01,9.829970000000000097e-01
2.299999999999999822e+00,9.383629999999999471e-01,9.786569999999999991e-01,9.820870000000000433e-01
2.399999999999999911e+00,9.358670000000000044e-01,9.777479999999999505e-01,9.812049999999999939e-01
2.500000000000000000e+00,9.334810000000000052e-01,9.768710000000000448e-01,9.803509999999999724e-01
