time,alpha=0.0,alpha=0.5,alpha=1.0
0.000000000000000000e+00,9.991240000000000121e-01,9.994380000000000486e-01,1.001849999999999907e+00
1.000000000000000056e-01,9.990630000000000344e-01,9.993680000000000341e-01,1.001619999999999955e+00
2.000000000000000111e-01,9.988860000000000516e-01,9.991440000000000321e-01,1.000930000000000097e+00
2.999999999999999889e-01,9.985960000000000392e-01,9.987700000000000466e-01,9.997740000000000515e-01
4.000000000000000222e-01,9.981989999999999474e-01,9.982529999999999459e-01,9.981830000000000425e-01
5.000000000000000000e-01,9.977040000000000353e-01,9.975990000000000135e-01,9.961769999999999792e-01
5.999999999999999778e-01,9.971189999999999776e-01,9.968200000000000394e-01,9.937869999999999759e-01
6.999999999999999556e-01,9.964560000000000084e-01,9.959270000000000067e-01,9.910470000000000113e-01
8.000000000000000444e-01,9.957270000000000287e-01,9.949329999999999563e-01,9.879959999999999853e-01
9.000000000000000222e-01,9.949449999999999683e-01,9.938529999999999864e-01,9.846749999999999670e-01
1.000000000000000000e+00,9.941210000000000324e-01,9.927009999999999446e-01,9.811280000000000001e-01
1.100000000000000089e+00,9.932670000000000110e-01,9.914910000000000112e-01,9.773979999999999890e-01
1.199999999999999956e+00,9.923950000000000271e-01,9.902370000000000339e-01,9.735270000000000312e-01
1.300000000000000044e+00,9.915140000000000065e-01,9.889529999999999710e-01,9.695589999999999486e-01
1.399999999999999911e+00,9.906329999999999858e-01,9.876519999999999744e-01,9.655319999999999458e-01
1.500000000000000000e+00,9.897590000000000554e-01,9.863439999999999985e-01,9.614829999999999766e-01
1.600000000000000089e+00,9.888980000000000548e-01,9.850410000000000554e-01,9.574439999999999618e-01
1.699999999999999956e+00,9.880550000000000166e-01,9.837510000000000421e-01,9.534460000000000157e-01
1.800000000000000044e+00,9.872319999999999984e-01,9.824810000000000487e-01,9.495139999999999691e-01
1.899999999999999911e+00,9.864330000000000043e-01,9.812370000000000259e-01,9.456679999999999531e-01
2.000000000000000000e+00,9.856580000000000341e-01,9.800250000000000350e-01,9.419260000000000410e-01
2.100000000000000089e+00,9.849080000000000057e-01,9.788480000000000514e-01,9.383019999999999694e-01
2.200000000000000178e+00,9.841820000000000013e-01,9.777080000000000215e-01,9.348049999999999971e-01
2.299999999999999822e+00,9.834789999999999921e-01,9.766070000000000029e-01,9.314419999999999922e-01
2.399999999999999911e+00,9.828000000000000069e-01,9.755449999999999955e-01,9.282169999999999588e-01
2.500000000000000000e+00,9.821419999999999595e-01,9.745230000000000281e-01,9.251300000000000079e-01
2.600000000000000089e+00,9.815049999999999608e-01,9.735399999999999610e-01,9.221810000000000285e-01
2.700000000000000178e+00,9.808869999999999534e-01,9.725960000000000161e-01,9.193679999999999630e-01
2.799999999999999822e+00,9.802870000000000195e-01,9.716890000000000249e-01,9.166860000000000008e-01
2.899999999999999911e+00,9.797040000000000193e-01,9.708170000000000410e-01,9.141310000000000269e-01
3.000000000000000000e+00,9.791370000000000351e-01,9.699790000000000356e-01,9.116969999999999796e-01
