time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,9.998606116058729176e-01,1.000012068836277024e+00,9.998646101087513838e-01,9.999748756624702306e-01,9.997069262152830094e-01,9.997233769788780311e-01,9.991849858908387061e-01,9.957043685233496477e-01,9.955751411664595096e-01
2.000000000000000111e-01,9.998471287496554227e-01,9.999630042182494627e-01,9.998159377934151548e-01,9.997550218926405385e-01,9.989174539539376063e-01,9.989319397166014358e-01,9.970603012176711966e-01,9.831198734699349018e-01,9.829690638775140377e-01
2.999999999999999889e-01,9.998243594538168688e-01,9.998821867548300935e-01,9.997354261008654097e-01,9.993928484961485115e-01,9.976174660012497863e-01,9.976320410541861250e-01,9.936017215831046689e-01,9.626408458127746481e-01,9.624728752157242218e-01
4.000000000000000222e-01,9.997927534762932611e-01,9.997711554248629451e-01,9.996246737258727144e-01,9.988958728480731297e-01,9.958329111767763031e-01,9.958505043276489888e-01,9.889289750711443006e-01,9.349686065487440301e-01,9.348053526400277313e-01
5.000000000000000000e-01,9.997529231602688693e-01,9.996318854930754672e-01,9.994858354457165639e-01,9.982741540391771862e-01,9.935974250863941482e-01,9.936232940765425958e-01,9.831989894806058006e-01,9.010055432150828603e-01,9.009098985583503527e-01
5.999999999999999778e-01,9.997056183695667286e-01,9.994666478125447950e-01,9.993215379618722860e-01,9.975398633702073914e-01,9.909499231911292894e-01,9.909940718097937085e-01,9.765963904628148784e-01,8.617869901710195624e-01,8.618983310292240851e-01
6.999999999999999556e-01,9.996516965764475904e-01,9.992778532766525279e-01,9.991347798772116651e-01,9.967067809731657846e-01,9.879319204460597081e-01,9.880124907899490161e-01,9.693227935919299654e-01,8.184080659061397922e-01,8.189872843749169684e-01
8.000000000000000444e-01,9.995920898242394159e-01,9.990678966002002337e-01,9.989288212822666768e-01,9.957897491608864726e-01,9.845848270070297614e-01,9.847323259143502261e-01,9.615857793329587455e-01,7.719533851767511612e-01,7.734324092762449032e-01
9.000000000000000222e-01,9.995277704078190384e-01,9.988390132274009847e-01,9.987070688110605277e-01,9.948041144176127393e-01,9.809474640880305740e-01,9.812095404942114962e-01,9.535884148415527672e-01,7.234366973047526850e-01,7.264654547211599755e-01
1.000000000000000000e+00,9.994597171078346554e-01,9.985931613960238318e-01,9.984729620214588541e-01,9.937651888707451642e-01,9.770540134793170850e-01,9.775003904411364575e-01,9.455200760003875660e-01,6.737557569835670446e-01,6.792387105129300551e-01
1.100000000000000089e+00,9.993888836849952328e-01,9.983319384545931152e-01,9.982298665720207298e-01,9.926877588342759573e-01,9.729325624488687208e-01,9.736596584695530465e-01,9.375491445192098983e-01,6.236654095102387441e-01,6.327802836739231385e-01
