time,C3-_Jperp0.2,C3+_Jperp0.2,C3-_Jperp0.6,C3+_Jperp0.6,C3-_Jperp2.0,C3+_Jperp2.0
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000101092748945764e+00,9.999087083527526953e-01,9.999622182720623309e-01,1.000236581339276176e+00,9.997048819229851224e-01,9.999133647667918234e-01
1.000000000000000056e-01,9.997823414521613827e-01,9.996915285255351113e-01,9.981922415615659405e-01,9.985150883338034244e-01,9.794251694537911002e-01,9.796592168621242047e-01
2.000000000000000111e-01,9.991685958402871659e-01,9.990856001799309771e-01,9.927155415395660931e-01,9.930638676433296563e-01,9.208689488291310621e-01,9.213048607483118602e-01
2.999999999999999889e-01,9.981556703359862892e-01,9.980821485015523020e-01,9.837060901765909415e-01,9.840931418957069576e-01,8.304787479818338536e-01,8.308899868836943092e-01
4.000000000000000222e-01,9.967552563220820616e-01,9.966925340747270212e-01,9.713389234974898478e-01,9.717718706158179343e-01,7.177441442012043593e-01,7.174826543986178029e-01
5.000000000000000000e-01,9.949831526606960352e-01,9.949321285147119109e-01,9.558475406465908319e-01,9.563256516210939528e-01,5.936624291567317302e-01,5.916572595353261077e-01
5.999999999999999778e-01,9.928587559698240916e-01,9.928198244204567979e-01,9.375134076923227200e-01,9.380268340430557572e-01,4.690714379065635264e-01,4.639374590425779932e-01
6.999999999999999556e-01,9.904044557665691029e-01,9.903774520388518576e-01,9.166539226374663674e-01,9.171831456985639619e-01,3.532028144636074063e-01,3.434309658338973170e-01
8.000000000000000444e-01,9.876449660924934149e-01,9.876291327818625954e-01,8.936097149552493235e-01,8.941256402367911971e-01,2.527106340380900762e-01,2.368945348893396752e-01
9.000000000000000222e-01,9.846066269198648913e-01,9.846006016003441275e-01,8.687321359206500171e-01,8.691967610612022499e-01,1.712934446918865372e-01,1.483449392271884715e-01
1.000000000000000000e+00,9.813167080012693555e-01,9.813185298669648837e-01,8.423716987745176743e-01,8.427392375373645717e-01,1.098785047603631354e-01,7.919520489142646558e-02
1.100000000000000089e+00,9.778027450669383169e-01,9.778098780136098567e-01,8.148680676572992443e-01,8.150863887817190179e-01,6.721667145830405310e-02,2.878211480831019756e-02
1.199999999999999956e+00,9.740919337675668643e-01,9.741013030334885192e-01,7.865419947854811467e-01,7.865542315768326853e-01,4.067344762487781068e-02,-4.912116000252784130e-03
1.300000000000000044e+00,9.702106010072112374e-01,9.702186405488035792e-01,7.576893925580566735e-01,7.574355945906255938e-01,2.700443737170367051e-02,-2.454430454213929122e-02
1.399999999999999911e+00,9.661837668827091274e-01,9.661864749882872472e-01,7.285775260831828248e-01,7.279962534793013029e-01,2.296009114138988089e-02,-3.285280553974949391e-02
1.500000000000000000e+00,9.620348039210906421e-01,9.620278050586584806e-01,6.994431426499150284e-01,6.984729396479657515e-01,2.564946325720165315e-02,-3.233159939799477162e-02
1.600000000000000089e+00,9.577851942089270487e-01,9.577638056371599040e-01,6.704922320905143396e-01,6.690729530423348281e-01,3.267602234892550556e-02,-2.512816684469125136e-02
1.699999999999999956e+00,9.534543797587164971e-01,9.534136818843614858e-01,6.419010423580533420e-01,6.399750335182919914e-01,4.211629630436002081e-02,-1.309664920237374290e-02
1.800000000000000044e+00,9.490596973418745641e-01,9.489946070895014518e-01,6.138179570494884940e-01,6.113311167887950370e-01,5.243250528564143836e-02,2.088588226106921110e-03
1.900000000000001021e+00,9.446163861711279752e-01,9.445217326955882564e-01,5.863658687148877169e-01,5.832686147704642110e-01,6.239549795053901671e-02,1.884478349875117267e-02
2.000000000000000000e+00,9.401376552303365441e-01,9.400082571559017497e-01,5.596447417879132358e-01,5.558929072792365700e-01,7.105731618253580129e-02,3.566903168593356377e-02
2.100000000000000977e+00,9.356347966030270635e-01,9.354655396738683626e-01,5.337341378254146784e-01,5.292898010042130785e-01,7.777140409368252238e-02,5.120955357830724031e-02
2.200000000000001066e+00,9.311173316370245923e-01,9.309032453041571342e-01,5.086955595263386032e-01,5.035277904772964552e-01,8.222871316542244846e-02,6.438861841909709893e-02
2.300000000000001155e+00,9.265931779560190318e-01,9.263295091092164091e-01,4.845745468214039953e-01,4.786600332963193982e-01,8.446861013657346040e-02,7.452559579331444195e-02
2.400000000000000799e+00,9.220688269408757742e-01,9.217511088079303194e-01,4.614025196549797481e-01,4.547260192767000886e-01,8.483456547309138618e-02,8.140989389581386459e-02
2.500000000000000888e+00,9.175495231308706812e-01,9.171736373621126592e-01,4.391984033376073460e-01,4.317529645314585607e-01,8.386864516722287999e-02,8.529242964532056381e-02
2.600000000000000977e+00,9.130394388571829722e-01,9.126016689952806127e-01,4.179700927897944673e-01,4.097569938804764278e-01,8.216474483304762877e-02,8.679190881549694869e-02
2.700000000000001066e+00,9.085418391857976728e-01,9.080389140516352819e-01,3.977158140683834664e-01,3.887441885685454790e-01,8.021802218843693266e-02,8.673833919239416768e-02
2.800000000000001155e+00,9.040592338278028439e-01,9.034883597673856181e-01,3.784254299064505056e-01,3.687115735172520337e-01,7.831120618539773315e-02,8.599273356306319505e-02
2.900000000000000799e+00,8.995935140232981242e-01,8.989523953867319950e-01,3.600817163342773242e-01,3.496481033682519168e-01,7.646735433858398157e-02,8.528510442082667953e-02
3.000000000000000888e+00,8.951460735010942082e-01,8.944329211064758756e-01,3.426616155428377497e-01,3.315356843125838449e-01,7.447822672698263535e-02,8.510365021195989699e-02
3.100000000000000977e+00,8.907179134618011807e-01,8.899314411072994924e-01,3.261374509185390180e-01,3.143502440681225640e-01,7.199538933935727136e-02,8.565117540541002106e-02
3.200000000000001954e+00,8.863097321438171416e-01,8.854491414760347068e-01,3.104780770718924554e-01,2.980628396467773222e-01,6.865471631731245861e-02,8.686645397519980605e-02
3.300000000000002043e+00,8.819219999383196562e-01,8.809869541957692229e-01,2.956499323798137402e-01,2.826407749266149905e-01,6.419862725476237209e-02,8.849385586663581493e-02
3.400000000000002132e+00,8.775550212560042640e-01,8.765456086261537161e-01,2.816179639660263967e-01,2.680486893592116115e-01,5.856483264815710854e-02,9.017721655578270212e-02
3.500000000000002220e+00,8.732089844542360035e-01,8.721256720486104674e-01,2.683464035922483726e-01,2.542495758947252993e-01,5.192277784391149259e-02,9.155398993491185855e-02
3.600000000000001865e+00,8.688840011475575942e-01,8.677275809301773224e-01,2.557993851208301139e-01,2.412056897124279509e-01,4.465458694058992151e-02,9.233133396879550370e-02
3.700000000000001954e+00,8.645801361832151644e-01,8.633516645745874518e-01,2.439414072372578512e-01,2.288793180533646443e-01,3.729118426380125667e-02,9.233401703935387173e-02
3.800000000000002043e+00,8.602974294967564717e-01,8.589981627834427647e-01,2.327376565065947533e-01,2.172333933431813136e-01,3.042291434959364452e-02,9.152208425155128335e-02
3.900000000000002132e+00,8.560359109940957056e-01,8.546672390469466363e-01,2.221542138735377314e-01,2.062319447720939447e-01,2.460614398697365604e-02,8.998219289376035990e-02
4.000000000000001776e+00,8.517956095508631975e-01,8.503589906288164801e-01,2.121581716766032799e-01,1.958403957304111764e-01,2.028393514155432675e-02,8.789973887096332039e-02
4.100000000000001421e+00,8.475765571841401558e-01,8.460734567138612494e-01,2.027176883383849382e-01,1.860257246217849325e-01,1.773223207013467292e-02,8.551971120399817772e-02
4.200000000000001066e+00,8.433787894339522806e-01,8.418106255624852041e-01,1.938020049886962914e-01,1.767565137845793499e-01,1.703571408478479071e-02,8.310354642845479978e-02
4.300000000000000711e+00,8.392023429818252778e-01,8.375704413779609947e-01,1.853814435502880997e-01,1.680029152463637376e-01,1.809150395225241070e-02,8.088804605625421473e-02
4.400000000000000355e+00,8.350472515144343744e-01,8.333528113517409963e-01,1.774274003963182689e-01,1.597365629146284827e-01,2.063519283886075875e-02,7.905124281341678605e-02
4.500000000000000000e+00,8.309135407917774829e-01,8.291576131189754006e-01,1.699123444262116978e-01,1.519304589306291198e-01,2.428206510758801687e-02,7.768905362323963448e-02
4.599999999999999645e+00,8.268012237834144740e-01,8.249847026381332826e-01,1.628098238045440904e-01,1.445588578085251485e-01,2.857635173837539191e-02,7.680540559904100451e-02
4.699999999999999289e+00,8.227102965833907877e-01,8.208339223128700013e-01,1.560944818863719274e-01,1.375971662792656591e-01,3.304210557148842820e-02,7.631698343415017904e-02
4.799999999999998934e+00,8.186407356076637054e-01,8.167051090106935973e-01,1.497420800822688303e-01,1.310218701636219618e-01,3.723037863592953967e-02,7.607175254789497187e-02
4.899999999999998579e+00,8.145924963352149106e-01,8.125981015145739006e-01,1.437295236305128343e-01,1.248104928627236931e-01,4.075855900600069276e-02,7.587821327401582383e-02
4.999999999999998224e+00,8.105655136054977783e-01,8.085127468854879096e-01,1.380348854742619868e-01,1.189415839214307269e-01,4.333894503545577398e-02,7.554042914001558862e-02
5.099999999999997868e+00,8.065597032659154175e-01,8.044489052298142706e-01,1.326374236732386358e-01,1.133947312451113465e-01,4.479492678041761128e-02,7.489277273393372958e-02
5.199999999999998401e+00,8.025749648054811836e-01,8.004064524631100408e-01,1.275175888711829186e-01,1.081505874072129780e-01,4.506451596323324260e-02,7.382838831989099737e-02
5.299999999999997158e+00,7.986111845346287597e-01,7.963852808376656878e-01,1.226570199790612825e-01,1.031908992879415898e-01,4.419234005352352251e-02,7.231661282018082837e-02
5.399999999999996803e+00,7.946682388793909757e-01,7.923852972378774284e-01,1.180385279723104863e-01,9.849853095423230509e-02,4.231241847980830167e-02,7.040674693423958075e-02
5.499999999999995559e+00,7.907459974367869737e-01,7.884064195133161368e-01,1.136460690772827103e-01,9.405747187441031165e-02,3.962485218232050799e-02,6.821813908736379384e-02
5.599999999999996092e+00,7.868443255609511855e-01,7.844485713728890364e-01,1.094647093190404263e-01,8.985282569941692443e-02,3.636982083891378281e-02,6.591898862327509601e-02
5.699999999999995737e+00,7.829630863853058731e-01,7.805116765601374240e-01,1.054805823612239568e-01,8.587077827915570727e-02,3.280197727063945135e-02,6.369811705585641526e-02
5.799999999999995381e+00,7.791021423073406504e-01,7.765956531309237132e-01,1.016808420088497061e-01,8.209854668215482709e-02,2.916760061720722469e-02,6.173488825412443148e-02
5.899999999999995026e+00,7.752613560512016111e-01,7.727004086368584046e-01,9.805361006883031583e-02,7.852431325051310862e-02,2.568596980128217203e-02,6.017237723345952860e-02
5.999999999999994671e+00,7.714405914726363278e-01,7.688258368778227991e-01,9.458791988145986984e-02,7.513714987511563304e-02,2.253560471450084812e-02,5.909789414168121341e-02
6.099999999999994316e+00,7.676397142843186527e-01,7.649718166450517609e-01,9.127365599186720857e-02,7.192693770862751412e-02,1.984546624147487739e-02,5.853333563367328629e-02
6.199999999999993960e+00,7.638585928664202163e-01,7.611382125726665615e-01,8.810149109656467692e-02,6.888428668365240148e-02,1.769093958597059771e-02,5.843593746722684779e-02
6.299999999999993605e+00,7.600970992976778806e-01,7.573248779028266542e-01,8.506282229669548389e-02,6.600045787903174865e-02,1.609434543263389694e-02,5.870823914560478057e-02
6.399999999999993250e+00,7.563551107034717225e-01,7.535316587023255241e-01,8.214970940843398239e-02,6.326729043799489416e-02,1.502965922506717400e-02,5.921477070929888342e-02
6.499999999999992895e+00,7.526325109724404383e-01,7.497583988913488762e-01,7.935481826271467698e-02,6.067713376842655271e-02,1.443093388146529134e-02,5.980231030531530517e-02
6.599999999999993427e+00,7.489291928413901456e-01,7.460049453846383516e-01,7.667137140903824977e-02,5.822278534879918310e-02,1.420359462756412387e-02,6.032053621883230049e-02
6.699999999999992184e+00,7.452450602882492170e-01,7.422711527041401247e-01,7.409310751792223815e-02,5.589743460368002542e-02,1.423740597897021551e-02,6.064035904154985862e-02
6.799999999999991829e+00,7.415800311056390814e-01,7.385568865801969141e-01,7.161424936143019615e-02,5.369461379085949809e-02,1.441965110352273413e-02,6.066795133551650815e-02
6.899999999999990585e+00,7.379340394590065966e-01,7.348620262777423306e-01,6.922947893419104104e-02,5.160815734761248219e-02,1.464702654188215249e-02,6.035329528418106881e-02
6.999999999999991118e+00,7.343070381742072827e-01,7.311864656187477829e-01,6.693391738957518711e-02,4.963217137670995760e-02,1.483496776462292326e-02,5.969281960314837265e-02
7.099999999999990763e+00,7.306990004641596981e-01,7.275301128780993221e-01,6.472310716895000871e-02,4.776101471949572436e-02,1.492352964958746676e-02,5.872635197742956392e-02
7.199999999999990408e+00,7.271099208067948183e-01,7.238928898731343820e-01,6.259299395685673228e-02,4.598929232287270880e-02,1.487945671933292233e-02,5.752917357552782968e-02
7.299999999999990052e+00,7.235398147359736187e-01,7.202747306293494356e-01,6.053990670718599476e-02,4.431186046417431856e-02,1.469460248367927997e-02,5.620042446062872149e-02
7.399999999999989697e+00,7.199887174040958682e-01,7.166755799857261744e-01,5.856053470016012868e-02,4.272384205389671841e-02,1.438133716425246331e-02,5.484943890461906751e-02
7.499999999999989342e+00,7.164566809098525946e-01,7.130953924175463809e-01,5.665190119121300827e-02,4.122064892614537429e-02,1.396597801293958732e-02,5.358173777832497126e-02
7.599999999999988987e+00,7.129437705378995904e-01,7.095341312280247781e-01,5.481133359065401556e-02,3.979800696807835741e-02,1.348152973477203219e-02,5.248634517852502485e-02
7.699999999999988631e+00,7.094500602038599224e-01,7.059917681229158637e-01,5.303643027792066117e-02,3.845197930548054782e-02,1.296105132160088255e-02,5.162584967281300119e-02
7.799999999999988276e+00,7.059756275118225233e-01,7.024682830635214925e-01,5.132502420530107162e-02,3.717898267113399491e-02,1.243270782058350510e-02,5.103024985102233568e-02
7.899999999999987921e+00,7.025205488905647000e-01,6.989636642162335711e-01,4.967514351171198328e-02,3.597579259778621585e-02,1.191705397141276657e-02,5.069515710768594113e-02
7.999999999999987566e+00,6.990848952658763604e-01,6.954779077938177956e-01,4.808496954664906453e-02,3.483953419224668224e-02,1.142648430046415593e-02,5.058440360663317426e-02
