time,C4-_Jperp0.2,C4+_Jperp0.2,C4-_Jperp0.6,C4+_Jperp0.6,C4-_Jperp2.0,C4+_Jperp2.0
-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,1.000119460693532636e+00,9.995313658365427845e-01,9.996854961250689620e-01,9.997230398635628124e-01,1.000041233624522352e+00,1.000003976375127168e+00
1.000000000000000056e-01,9.997671816679399859e-01,9.994371240647446086e-01,9.978178557645954738e-01,9.971414058644627598e-01,9.801022654646854848e-01,9.706629362808738559e-01
2.000000000000000111e-01,9.991661088164609517e-01,9.985444446279639896e-01,9.924311525405022927e-01,9.891808660277793264e-01,9.232325347297299922e-01,8.874428418242457095e-01
2.999999999999999889e-01,9.981733256745027871e-01,9.970712541199333590e-01,9.835952377322962903e-01,9.761329653432678777e-01,8.368321322087005631e-01,7.637463373973050196e-01
4.000000000000000222e-01,9.968006278931347275e-01,9.950355895534227502e-01,9.715021588178728296e-01,9.583160663693979231e-01,7.313994146811502173e-01,6.179876424959191983e-01
5.000000000000000000e-01,9.950639502475989717e-01,9.924617811754893326e-01,9.564064566018033453e-01,9.361505859661592988e-01,6.181727867145776489e-01,4.691958794014379208e-01
5.999999999999999778e-01,9.929828496515238356e-01,9.893796349054870820e-01,9.386125628504472518e-01,9.101365026539347536e-01,5.070439512054923936e-01,3.330813362889230578e-01
6.999999999999999556e-01,9.905798918754821214e-01,9.858234684274505000e-01,9.184606003912283434e-01,8.808282785513658064e-01,4.052022627244679653e-01,2.196634474070030540e-01
8.000000000000000444e-01,9.878799745962945078e-01,9.818310545038455572e-01,8.963117270349637566e-01,8.488093467218339461e-01,3.167227926398732407e-01,1.328372522706199044e-01
9.000000000000000222e-01,9.849096209892980180e-01,9.774425268390181110e-01,8.725340916067712005e-01,8.146681303807342678e-01,2.429606199621109908e-01,7.152938242840008176e-02
1.000000000000000000e+00,9.816962771843845692e-01,9.726993014487107514e-01,8.474902876672285590e-01,7.789771649616349380e-01,1.833911139983497030e-01,3.165325653353073809e-02
1.100000000000000089e+00,9.782676437982935624e-01,9.676430605250453398e-01,8.215269337251972503e-01,7.422763648152612692e-01,1.365037536512496430e-01,8.038972269340104171e-03
1.199999999999999956e+00,9.746510668867449656e-01,9.623148370729791568e-01,7.949667202135998201e-01,7.050609023461338332e-01,1.004810444706737971e-01,-4.198887405527945531e-03
1.300000000000000044e+00,9.708730076161284916e-01,9.567542281786820535e-01,7.681029846332971811e-01,6.677736331295367478e-01,7.357808670693175013e-02,-8.993951197962543956e-03
1.399999999999999911e+00,9.669586033679042902e-01,9.509987537591791940e-01,7.411966410040633502e-01,6.308015724156821324e-01,5.426405280961518751e-02,-9.197298052552593806e-03
1.500000000000000000e+00,9.629313264597529898e-01,9.450833670696644484e-01,7.144751202249435273e-01,5.944756464040698019e-01,4.124250196240730748e-02,-6.713852452758037846e-03
1.600000000000000089e+00,9.588127406973121492e-01,9.390401139547313036e-01,6.881328828715901347e-01,5.590728168366497774e-01,3.344147200055600649e-02,-2.700487913176910938e-03
1.699999999999999956e+00,9.546223509215395753e-01,9.328979303981481674e-01,6.623330416951942468e-01,5.248196949781855913e-01,3.000396796074900757e-02,2.251362910256710093e-03
1.800000000000000044e+00,9.503775367996256662e-01,9.266825626289971751e-01,6.372096645808905668e-01,4.918968871744292537e-01,3.026437407058802861e-02,7.935364562707870190e-03
1.900000000000001021e+00,9.460935593922400466e-01,9.204165908762415027e-01,6.128704015312722575e-01,4.604435052508175641e-01,3.368991283430392697e-02,1.432807218110347322e-02
2.000000000000000000e+00,9.417836274758705217e-01,9.141195366056639182e-01,5.893991716371489442e-01,4.305614865238598932e-01,3.978992559396898887e-02,2.138386958441878052e-02
2.100000000000000977e+00,9.374590100890192179e-01,9.078080333622884357e-01,5.668587403774725253e-01,4.023195622359884704e-01,4.802315688729198034e-02,2.888651279720493015e-02
2.200000000000001066e+00,9.331291821432425859e-01,9.014960427637019880e-01,5.452931007003929409e-01,3.757568633815407400e-01,5.774183884662845850e-02,3.641324337073310879e-02
2.300000000000001155e+00,9.288019910105023147e-01,8.951950993440938031e-01,5.247296352076837866e-01,3.508862462313386277e-01,6.819610649004803626e-02,4.341981620771755146e-02
